,name,github_id,group_id,group,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,open_issue_count,closed_issue_count,release_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,labels,dockerhub_stars,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,new_addition
61,spiffe,spiffe/spiffe,,,machine,https://github.com/spiffe/spiffe,https://github.com/spiffe/spiffe,Apache-2.0,2017-08-07 20:45:21,2023-04-21 20:29:54.000000,2023-04-21 20:29:54,522.0,142.0,82.0,192.0,1215,The SPIFFE Project.,56.0,17,True,19.0,17.0,37.0,,,,,3,,,,,,,,"['cncf', 'linux-foundation']",,,,,,,,,,,,,
62,barbican,openstack/barbican,,,pki,https://github.com/openstack/barbican,https://github.com/openstack/barbican,Apache-2.0,2014-05-23 22:15:27,2023-04-20 13:52:53.000000,2023-04-20 08:22:44,3548.0,67.0,27.0,5.0,225,"Barbican is a ReST API designed for the secure storage, provisioning and management of secrets, including in OpenStack..",295.0,17,True,11.0,,,,,,,3,,,,,,,,['openstack'],,,,,,,,,,,,,
63,aries-mobile-agent-react-native,hyperledger/aries-mobile-agent-react-native,aries,,decentralized,https://github.com/hyperledger/aries-mobile-agent-react-native,https://github.com/hyperledger/aries-mobile-agent-react-native,Apache-2.0,2020-11-06 19:58:19,2023-04-21 19:34:22.000000,2023-04-21 19:34:21,1368.0,88.0,22.0,547.0,93,Aries Mobile Agent React Native - Part of the Aries Bifold effort to provide SSI capabilities in a production ready app.,31.0,17,False,83.0,41.0,127.0,,,,,3,,,,,,,,,,,,,,,,,,,,,
64,waltid-walletkit,walt-id/waltid-walletkit,waltid-ssikit,,decentralized,https://github.com/walt-id/waltid-walletkit,https://github.com/walt-id/waltid-walletkit,Apache-2.0,2021-09-24 15:14:51,2023-04-21 06:33:40.000000,2023-04-19 09:56:57,625.0,21.0,2.0,79.0,23,"Supercharge your app with SSI, NFTs or fungible tokens.",11.0,17,False,159.0,2.0,37.0,9.0,2023-01-23 16:25:45,,25.0,3,0.6.0,,,waltid/walletkit,https://hub.docker.com/r/waltid/walletkit,2023-04-19 10:03:17.668008,481.0,,,,,,,,,,,,,,
65,openid4vci,sphereon-opensource/openid4vci,sphereon-ssi,,decentralized,https://github.com/Sphereon-Opensource/OpenID4VCI,https://github.com/Sphereon-Opensource/OpenID4VCI,Apache-2.0,2022-10-09 21:29:30,2023-04-21 14:43:17.000000,2023-04-20 14:55:47,428.0,5.0,4.0,41.0,17,OpenID for Verifiable Credential Issuance - client and issuer library.,6.0,17,False,213.0,,3.0,8.0,2023-03-17 00:39:19,11.0,,3,0.4.0,,11.0,,,,,,,,,,,,,,,,,,
66,spruceid-ssi,spruceid/ssi,spruceid,,decentralized,https://github.com/spruceid/ssi,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2023-04-21 19:07:13.000000,2023-04-21 09:44:27,518.0,35.0,28.0,336.0,137,Core library for decentralized identity.,19.0,16,True,5.0,68.0,100.0,,,98.0,,3,,,98.0,,,,,,,,,,,,,,,,,,
67,talao-wallet,talaodao/talao-wallet,talao-altme,,decentralized,https://github.com/TalaoDAO/talao-wallet,https://github.com/TalaoDAO/talao-wallet,Apache-2.0,2021-06-29 14:41:04,2023-03-20 12:52:28.000000,2023-03-20 08:12:52,3967.0,5.0,2.0,69.0,9,An open source SSI wallet prpposed as a white label solution - EBSI conformant.,14.0,15,False,400.0,19.0,243.0,1.0,2023-01-06 16:00:40,,,3,old_talao,,,,,,,,,,,,,,,,,,,,
68,aries-framework-dotnet,hyperledger/aries-framework-dotnet,aries,,decentralized,https://github.com/hyperledger/aries-framework-dotnet,https://github.com/hyperledger/aries-framework-dotnet,Apache-2.0,2019-08-19 18:49:27,2023-04-03 11:38:44.000000,2023-04-03 11:38:44,142.0,66.0,27.0,170.0,78,Aries Framework .NET for building multiplatform SSI services.,29.0,14,False,1.0,40.0,28.0,,,38.0,,3,,,38.0,,,,,,,,,,,,,,,,,,
69,siop-oid4vp,sphereon-opensource/siop-oid4vp,sphereon-ssi,,decentralized,https://github.com/Sphereon-Opensource/SIOP-OID4VP,https://github.com/Sphereon-Opensource/SIOP-OID4VP,Apache-2.0,2021-09-08 22:32:38,2023-04-13 20:24:31.000000,2023-04-13 20:24:25,543.0,14.0,6.0,40.0,59,Self Issued OpenID Provider v2 (SIOP) with optional OpenID for Verifiable Presentations (OpenID4VP).,9.0,14,False,54.0,7.0,5.0,10.0,,32.0,0.0,3,,17.0,32.0,,,,,,,,,,,,,,,,,,
70,verity-sdk,evernym/verity-sdk,evernym-ssi,,decentralized,https://github.com/evernym/verity-sdk,https://github.com/evernym/verity-sdk,Apache-2.0,2020-06-18 20:16:43,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,1451.0,39.0,12.0,115.0,44,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repo contains..,36.0,14,False,2.0,,,,,14.0,,3,,,14.0,,,,,,,,,,,,,,,,,,
