,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id,github,github-id
61,oso,https://github.com/osohq/oso,authorization,Deprecated: See README.,,,26,True,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2025-02-26 16:59:39.000000,2025-02-26 16:59:37,1215.0,1.0,178.0,27.0,1529.0,110.0,104.0,3481.0,2024-01-13 04:08:30,0.27.3,100.0,211.0,211.0,68.0,,,22537.0,3.0,,3539.0,,,,,,oso,https://pypi.org/project/oso,22468.0,,,,,,,,,
62,aries-python,https://github.com/openwallet-foundation/acapy,ssi-sdks,ACA-Py is a foundation for building decentralized identity applications and services running in non-mobile environments.,,['hyperledger'],26,True,hyperledger/aries-cloudagent-python,,https://github.com/openwallet-foundation/acapy,Apache-2.0,2019-06-24 18:12:14,2025-05-20 18:01:56.000000,2025-05-20 18:01:24,10052.0,132.0,496.0,28.0,2357.0,134.0,1242.0,449.0,2025-05-01 17:11:14,1.3.0,100.0,,,160.0,,,,1.0,,,,,,,,,,,openwallet-foundation/acapy,,,,,,,,
63,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,dids,DID resolver for Ethereum Addresses with support for key management.,,['dif'],26,True,decentralized-identity/ethr-did-resolver,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,Apache-2.0,2018-03-31 18:40:19,2025-05-22 16:22:50.000000,2025-04-04 10:50:07,522.0,2.0,74.0,27.0,154.0,5.0,48.0,225.0,2025-01-06 05:24:12,11.0.3,69.0,1795.0,1795.0,28.0,https://www.npmjs.com/package/ethr-did-resolver,22585.0,22585.0,1.0,,,,,,,,,,,,,,,,,,,
64,hanko,https://github.com/teamhanko/hanko,idp,"The Complete Authentication and User Management Solution for the Passkey Era. Open Source Alternative to Clerk, Auth0,..",,,25,False,teamhanko/hanko,,https://github.com/teamhanko/hanko,,2022-03-14 17:03:46,2025-05-21 10:11:12.000000,2025-05-21 07:37:08,2271.0,52.0,956.0,41.0,1717.0,43.0,346.0,8096.0,2025-05-21 10:05:04,backend/v2.1.0,34.0,321.0,321.0,50.0,,,19.0,3.0,,649.0,,,,,,,,,,,,,,,,,
65,py_webauthn,https://github.com/duo-labs/py_webauthn,authentication,Pythonic WebAuthn.,,,25,True,duo-labs/py_webauthn,,https://github.com/duo-labs/py_webauthn,BSD-3-Clause,2017-11-10 18:02:28,2025-03-07 19:43:28.000000,2025-03-07 19:43:16,526.0,6.0,174.0,34.0,138.0,,103.0,928.0,2025-03-07 19:43:46,2.5.2,32.0,,,30.0,,,467326.0,2.0,,,,,,,-1.0,webauthn,https://pypi.org/project/webauthn,467326.0,,,,,,,,,
66,veramo,https://github.com/decentralized-identity/veramo,ssi-sdks,A JavaScript Framework for Verifiable Data.,,,25,True,decentralized-identity/veramo,,https://github.com/decentralized-identity/veramo,Apache-2.0,2019-11-12 14:18:17,2025-05-21 14:10:26.000000,2025-02-27 17:32:56,1900.0,12.0,133.0,22.0,833.0,65.0,392.0,467.0,2024-04-02 18:54:31,6.0.0,44.0,855.0,855.0,58.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
67,iota-identity,https://github.com/iotaledger/identity,ssi-sdks,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,,,25,True,iotaledger/identity.rs,,https://github.com/iotaledger/identity,Apache-2.0,2020-02-06 14:33:11,2025-05-22 17:44:46.000000,2025-05-22 17:39:29,1664.0,79.0,90.0,26.0,1239.0,97.0,304.0,317.0,2025-04-16 11:51:25,1.5.1,39.0,146.0,146.0,43.0,,,,1.0,,,,,,,,,,,iotaledger/identity,,,,,,,,
68,deepfacelab,https://github.com/iperov/DeepFaceLab,biometrics,DeepFaceLab is the leading software for creating deepfakes.,,,24,True,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2024-11-13 19:29:05.000000,2024-11-13 19:29:05,1317.0,,500.0,37.0,130.0,531.0,786.0,18035.0,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,2.0,21.0,21.0,22.0,,,3295.0,3.0,,204324.0,,,,,,,,,,,,,,,,,
69,supertokens,https://github.com/supertokens/supertokens-core,idp,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,,,24,True,supertokens/supertokens-core,,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2025-05-22 10:05:09.000000,2025-05-22 05:46:23,1306.0,101.0,574.0,66.0,603.0,129.0,396.0,14140.0,2025-05-15 07:03:39,11.0.1,87.0,,,32.0,,,,3.0,registry.supertokens.io/supertokens/supertokens-postgresql,,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,,,
70,lemur,https://github.com/Netflix/lemur,pki,Repository for the Lemur Certificate Manager.,,,24,True,netflix/lemur,,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2025-05-21 22:00:19.000000,2025-05-21 22:00:19,6838.0,171.0,311.0,424.0,4573.0,126.0,420.0,1741.0,2024-06-11 16:44:34,1.8.2,31.0,,,153.0,,,0.0,3.0,,64.0,,,,,,,,,,,,,,,,,
