,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,trending,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
82,appauth-android,openid/appauth-android,,,authentication,['openid'],https://github.com/openid/AppAuth-Android,https://github.com/openid/AppAuth-Android,Apache-2.0,2016-02-19 15:09:43,2023-09-30 08:20:34.000000,2023-07-12 07:05:13,339.0,787.0,238.0,230.0,2566.0,Android client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,47.0,19,True,,,172.0,526.0,,,,3.0,,,,,,,,,,,,,,,,,,net.openid:appauth,https://search.maven.org/artifact/net.openid/appauth,,,
83,ja3,salesforce/ja3,,,pki,,https://github.com/salesforce/ja3,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2023-09-10 20:26:13.000000,2023-08-17 18:37:54,150.0,271.0,96.0,42.0,2315.0,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,26.0,19,True,1.0,,28.0,23.0,,,1840.0,3.0,,,,,,,,,,,,,,pyja3,https://pypi.org/project/pyja3,1840.0,,,,,,
84,trinsic-okapi,trinsic-id/okapi,trinsic-id,,decentralized,,https://github.com/trinsic-id/okapi,https://github.com/trinsic-id/okapi,Apache-2.0,2020-10-19 15:17:13,2023-10-18 15:28:36.000000,2023-09-11 22:25:57,541.0,11.0,11.0,531.0,26.0,Collection of tools that support workflows for authentic data and identity management. Libraries available in most..,14.0,19,False,9.0,19.0,22.0,80.0,2022-05-29 21:14:21,534.0,607.0,3.0,1.6.0,17622.0,,534.0,,,,,,,,,,,,,,,,,,
85,ladon,ory/ladon,,,authorization,['ory'],https://github.com/ory/ladon,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2023-06-09 16:12:30.000000,2023-06-09 16:12:30,149.0,222.0,64.0,103.0,2274.0,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,50.0,18,True,,40.0,4.0,54.0,2020-04-30 07:36:33,,,3.0,1.2.0,,,,,,,,,,,,,,,,,,,,,
86,ion,decentralized-identity/ion,,,decentralized,,https://github.com/decentralized-identity/ion,https://github.com/decentralized-identity/ion,Apache-2.0,2019-01-25 00:34:40,2023-08-25 15:24:32.000000,2023-08-25 15:23:54,215.0,158.0,92.0,184.0,1213.0,The Identity Overlay Network (ION) is a DID Method implementation using the Sidetree protocol atop Bitcoin.,31.0,18,True,1.0,17.0,69.0,68.0,2022-06-09 01:42:53,,,3.0,1.0.4,,,,,,,,,,,,,,,,,,,,,
87,vc-data-model,w3c/vc-data-model,,,standards,['w3c'],https://github.com/w3c/vc-data-model,https://github.com/w3c/vc-data-model,W3C,2016-11-15 20:14:42,2023-10-19 15:27:44.000000,2023-10-18 13:45:05,1562.0,77.0,82.0,675.0,255.0,W3C Verifiable Credentials Working Group VC Data Model and Representations specification.,61.0,18,True,167.0,,64.0,562.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
88,spruceid-ssi,spruceid/ssi,spruceid,,decentralized,,https://github.com/spruceid/ssi,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2023-10-19 00:16:56.000000,2023-09-28 13:26:57,527.0,45.0,29.0,351.0,155.0,Core library for decentralized identity.,21.0,18,True,4.0,,72.0,102.0,,113.0,,3.0,,,,113.0,,,,,,,,,,,,,,,,,,
89,aries-mobile-agent-react-native,hyperledger/aries-mobile-agent-react-native,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-mobile-agent-react-native,https://github.com/hyperledger/aries-mobile-agent-react-native,Apache-2.0,2020-11-06 19:58:19,2023-10-19 17:34:45.000000,2023-10-19 16:38:26,1581.0,104.0,21.0,760.0,119.0,Aries Mobile Agent React Native - Part of the Aries Bifold effort to provide SSI capabilities in a production ready app.,39.0,18,True,70.0,,61.0,173.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
90,waltid-walletkit,walt-id/waltid-walletkit,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-walletkit,https://github.com/walt-id/waltid-walletkit,Apache-2.0,2021-09-24 15:14:51,2023-09-28 10:19:59.142653,2023-09-28 10:14:37,1369.0,25.0,2.0,109.0,32.0,Toolkit for SSI and NFT/SBT wallets.,12.0,18,False,24.0,42.0,5.0,40.0,2023-09-28 10:20:00,,149.0,3.0,1.2309281014.0,,1.0,,waltid/walletkit,https://hub.docker.com/r/waltid/walletkit,2023-09-28 10:19:59.142653,3733.0,,,,,,,,,,,,,,
91,aries-rfcs,hyperledger/aries-rfcs,,,standards,['hyperledger'],https://github.com/hyperledger/aries-rfcs,https://github.com/hyperledger/aries-rfcs,Apache-2.0,2019-05-08 16:49:20,2023-09-20 13:47:49.000000,2023-07-24 21:30:11,2151.0,206.0,60.0,573.0,310.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",84.0,17,True,1.0,,52.0,171.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
