,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,maven_id,maven_url,trending,helm_id,brew_id,gem_url,apt_id,github,github-id
12,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2025-11-11 03:22:50.000000,2025-11-11 03:22:47,4446.0,170.0,2269.0,226.0,5016.0,240.0,2215.0,13683.0,2025-10-08 20:47:23,1.13.1,76.0,14209.0,14209.0,450.0,,,2875968.0,1.0,coredns/coredns,9340090.0,https://hub.docker.com/r/coredns/coredns,2025-10-08 20:48:53.393158,162.0,323762908.0,,,,,,,,,,,,,
13,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],41,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2025-11-13 06:39:25.000000,2025-11-13 06:39:25,10164.0,384.0,2205.0,145.0,4296.0,150.0,3493.0,13306.0,2025-10-15 15:33:31,1.19.1,100.0,2215.0,2215.0,526.0,,,2329195.0,1.0,,93167814.0,,,,,,,,,,,,,,,,,
14,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",41,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2025-11-13 15:24:04.393767,2025-11-12 15:23:13,5994.0,160.0,1456.0,130.0,5178.0,370.0,2464.0,10883.0,2025-11-05 09:23:17,1.10.1,100.0,6082.0,6082.0,548.0,,,5388109.0,1.0,openpolicyagent/opa,18107144.0,https://hub.docker.com/r/openpolicyagent/opa,2025-11-13 15:24:04.393767,45.0,606982738.0,,,,,,,,,,,,,
15,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,41,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2025-11-05 04:20:08.000000,2025-11-05 04:20:07,1781.0,5.0,487.0,62.0,517.0,83.0,305.0,2936.0,2025-06-20 05:53:03,3.3.1,50.0,640053.0,640053.0,201.0,,,206085041.0,1.0,,,,,,,oauthlib,https://pypi.org/project/oauthlib,206085041.0,,,,,,,,,,
16,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS, JWE, JWK, JWA, JWT included.",,,39,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2025-11-11 18:14:51.000000,2025-11-11 18:14:51,1630.0,61.0,501.0,57.0,281.0,119.0,406.0,5097.0,2025-10-14 06:27:46,1.6.5,46.0,46689.0,46689.0,134.0,,,45783150.0,1.0,,,,,,,authlib,https://pypi.org/project/authlib,45783150.0,authlib/authlib,,,,,,,,,
17,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,38,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2025-10-21 18:01:33.000000,2025-10-21 18:01:32,2071.0,12.0,2825.0,174.0,305.0,9.0,1200.0,21034.0,2025-08-05 20:40:18,0.0.95,15.0,8413.0,8413.0,96.0,,,343580.0,1.0,,,,,,,deepface,https://pypi.org/project/deepface,343580.0,,,,,,,,,,
18,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,38,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2025-11-13 12:43:44.000000,2025-11-04 12:29:19,1138.0,12.0,1687.0,234.0,575.0,18.0,855.0,19403.0,2025-11-04 12:30:59,2.132.0,100.0,3537.0,3537.0,159.0,https://www.npmjs.com/package/casbin,344123.0,1256085.0,1.0,,,,,,,casbin,https://pypi.org/project/casbin,911962.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,,
19,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2025-11-13 18:02:22.000000,2025-11-13 18:02:20,22185.0,547.0,4369.0,780.0,25022.0,1171.0,5266.0,33461.0,2025-10-22 20:29:23,1.21.0,100.0,15161.0,15161.0,1612.0,,,,1.0,,,,,,,,,,,,,,,,,,,
20,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,37,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2025-11-07 23:46:17.000000,2025-11-07 23:46:16,10558.0,9.0,1569.0,132.0,1409.0,129.0,1047.0,10783.0,2025-04-07 17:05:07,1.0.3,14.0,3929.0,3929.0,266.0,,,1095983.0,1.0,,,,,,,speechbrain,https://pypi.org/project/speechbrain,1095983.0,,,,-1.0,,,,,,
21,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,False,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1231.0,293.0,162.0,354.0,430.0,23460.0,,,,1315408.0,1315408.0,38.0,https://www.npmjs.com/package/passport,17895757.0,17895757.0,2.0,,,,,,,,,,,,,,,,,,,
22,ory-hydra,https://github.com/ory/hydra,authentication,"The only web-scale, fully customizable OpenID Certified OpenID Connect and OAuth2 Provider in the world. Become an..",,['ory'],36,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2025-11-13 08:27:53.000000,2025-11-13 08:27:51,4304.0,178.0,1485.0,234.0,1923.0,86.0,1485.0,16751.0,2025-11-07 14:57:03,25.4.0,100.0,,,316.0,,,3403775.0,2.0,oryd/hydra,461496.0,https://hub.docker.com/r/oryd/hydra,2025-11-07 14:56:52.769480,79.0,428229756.0,,,,,,,1.0,https://k8s.ory.sh/helm/charts,,,,,
23,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],36,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2025-11-13 14:40:20.000000,2025-11-13 14:40:18,4896.0,145.0,1033.0,111.0,2237.0,154.0,1261.0,12653.0,2025-11-07 15:48:50,25.4.0,48.0,52.0,52.0,240.0,,,1277094.0,1.0,oryd/kratos,51216.0,https://hub.docker.com/r/oryd/kratos,2025-11-07 15:48:38.908032,22.0,114872731.0,,,,,,,1.0,https://k8s.ory.sh/helm/charts,,,,,
24,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,36,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2025-11-12 03:01:37.000000,2025-08-12 14:47:33,1669.0,,289.0,38.0,478.0,19.0,482.0,6641.0,2025-08-07 05:11:22,@casl/prisma@1.5.2,100.0,101516.0,101516.0,73.0,https://www.npmjs.com/package/@casl/ability,3473220.0,3473220.0,2.0,,,,,,,,,,,,,1.0,,,,,,
25,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13460.0,1557.0,248.0,775.0,598.0,55770.0,2018-04-02 17:18:43,1.2.2,2.0,5564.0,5564.0,54.0,,,194718.0,2.0,animcogn/face_recognition,1436.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,19.0,10082.0,face_recognition,https://pypi.org/project/face_recognition,194609.0,,,,,,,,,,
26,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,34,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2025-11-12 12:55:27.303266,2025-11-12 12:39:44,3015.0,135.0,1452.0,78.0,2181.0,83.0,1869.0,12599.0,2025-11-12 12:48:54,2.138.0,100.0,12.0,12.0,256.0,,,13544.0,1.0,casbin/casdoor,,https://hub.docker.com/r/casbin/casdoor,2025-11-12 12:55:27.303266,22.0,826219.0,,,,,,,,,,,,,
27,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,34,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2025-10-20 19:56:12.000000,2025-09-28 02:58:15,4895.0,7.0,1934.0,185.0,1907.0,255.0,1756.0,12356.0,2025-03-05 07:11:35,r1.5.0,17.0,165.0,165.0,159.0,,,770065.0,2.0,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,770065.0,,,,,,,,,,
28,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,34,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2025-11-13 18:07:32.341682,2025-11-13 12:10:14,30434.0,1153.0,3927.0,588.0,6620.0,,,11361.0,2025-11-09 16:48:27,7.3.1,100.0,21.0,21.0,369.0,,,7955.0,1.0,apereo/cas,1467.0,https://hub.docker.com/r/apereo/cas,2025-11-13 18:07:32.341682,131.0,1347228.0,,,,,,,,,,,,,
29,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",34,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2025-11-11 17:08:15.000000,2025-11-11 15:23:20,7441.0,128.0,533.0,74.0,4786.0,113.0,1528.0,2111.0,2025-10-23 13:05:05,1.13.3,100.0,201.0,201.0,237.0,,,13517.0,2.0,ghcr.io/spiffe/spire-server,824547.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,,
30,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,34,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2025-10-07 20:35:20.000000,2025-10-07 20:35:19,3632.0,20.0,418.0,27.0,555.0,92.0,362.0,596.0,2025-10-07 20:02:21,7.5.4,55.0,2126.0,2126.0,181.0,,,1848014.0,2.0,,,,,,,pysaml2,https://pypi.org/project/pysaml2,1848014.0,,,,,,,,,,
31,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,33,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2025-11-13 12:38:45.000000,2025-11-13 00:55:12,8452.0,545.0,1294.0,157.0,8481.0,59.0,1334.0,25806.0,2025-11-09 07:18:40,4.39.14,100.0,,,259.0,,,839.0,2.0,,50347.0,,,,,,,,,,,,,,,,,
32,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,33,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2025-11-13 18:20:07.000000,2025-11-13 17:58:55,5264.0,243.0,344.0,48.0,2076.0,96.0,443.0,6195.0,2025-10-24 16:23:54,1.46.2,100.0,132.0,132.0,70.0,,,118401.0,2.0,authzed/spicedb,177204.0,https://hub.docker.com/r/authzed/spicedb,2025-10-27 19:47:57.620439,7.0,5833094.0,,,,,,,,,,,,,
33,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2025-11-12 22:24:12.926958,2025-11-12 20:58:09,4005.0,115.0,314.0,41.0,4796.0,99.0,968.0,4537.0,2025-10-24 16:32:30,0.30.7,100.0,22.0,22.0,100.0,,,19671741.0,2.0,pomerium/pomerium,55725.0,https://hub.docker.com/r/pomerium/pomerium,2025-11-12 22:24:12.926958,13.0,1613011502.0,,,,,,,,,,,,,
34,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],32,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2025-11-11 18:58:36.000000,2025-11-11 18:58:35,1781.0,108.0,370.0,53.0,1366.0,35.0,293.0,5186.0,2025-11-07 14:48:11,25.4.0,54.0,39.0,39.0,82.0,,,558334.0,2.0,oryd/keto,37504.0,https://hub.docker.com/r/oryd/keto,2025-11-07 14:47:59.149121,9.0,51325712.0,,,,,,,,,,,,,
35,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,32,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2025-11-04 16:28:50.000000,2025-11-04 11:27:32,2724.0,23.0,766.0,66.0,266.0,,,3598.0,2025-10-24 08:28:38,9.5.2,100.0,1908.0,1908.0,76.0,https://www.npmjs.com/package/oidc-provider,744585.0,744585.0,2.0,,,,,,,,,,,,,,,,,,,
36,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],32,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2025-11-11 18:59:06.000000,2025-11-11 18:59:05,1573.0,98.0,375.0,47.0,764.0,62.0,301.0,3511.0,2025-11-07 14:57:21,25.4.0,100.0,15.0,15.0,120.0,,,922706.0,2.0,oryd/oathkeeper,23047.0,https://hub.docker.com/r/oryd/oathkeeper,2025-11-07 14:57:11.257698,43.0,90401759.0,,,,,,,,,,,,,
37,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2025-11-13 12:35:11.000000,2025-11-13 12:35:11,17388.0,505.0,924.0,108.0,8928.0,1378.0,15806.0,864.0,2025-10-24 04:51:27,7.2.0,100.0,,,729.0,,,14686.0,2.0,wso2/wso2is,19831.0,https://hub.docker.com/r/wso2/wso2is,2025-11-04 21:41:11.324073,40.0,1988436.0,,,,,,,,,,,,,
38,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,31,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-09-08 10:58:26.000000,2025-06-26 01:05:47,166.0,,11210.0,678.0,336.0,,,90776.0,2025-06-26 01:06:09,20250625,13.0,21.0,21.0,79.0,,,1088884.0,2.0,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,1088884.0,,,,,,,,,,
39,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,31,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2025-09-27 16:27:11.000000,2025-09-27 16:27:10,2372.0,2.0,5747.0,507.0,199.0,1201.0,1394.0,27018.0,2023-04-02 07:43:27,0.7,1.0,4815.0,4815.0,67.0,,,345453.0,2.0,animcogn/insightface,10709009.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,211.0,,,,,,,,,,,,,
40,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2025-11-13 18:14:29.000000,2025-11-13 16:57:27,19615.0,1156.0,1355.0,67.0,13969.0,757.0,2840.0,18790.0,2025-11-03 16:49:16,ersion/2025.10.1,100.0,,,449.0,,,167.0,2.0,,4846.0,,,,,,,,,,,,https://charts.goauthentik.io,,,,,
41,logto,https://github.com/logto-io/logto,idp,"Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy,..",,,31,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2025-11-13 12:39:17.000000,2025-11-13 12:32:53,7899.0,207.0,626.0,48.0,7091.0,177.0,553.0,11034.0,2025-10-31 06:54:33,1.33.0,76.0,30.0,30.0,79.0,,,6136.0,2.0,svhd/logto,6642.0,https://hub.docker.com/r/svhd/logto,2025-11-13 12:37:55.970348,5.0,317098.0,,,,,,,,,,,,,
42,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2025-11-13 18:26:00.000000,2025-11-12 22:45:29,4905.0,178.0,295.0,194.0,5851.0,107.0,281.0,3981.0,2025-11-03 18:46:15,0.20.1,72.0,11.0,11.0,197.0,,,304044.0,3.0,hashicorp/boundary,,https://hub.docker.com/r/hashicorp/boundary,2025-11-03 18:53:47.754438,18.0,21283139.0,,,,,,,,,,,,,
43,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,30,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2025-11-13 17:59:27.000000,2025-11-13 06:14:25,4087.0,219.0,849.0,55.0,6874.0,817.0,2424.0,12156.0,2025-11-12 15:24:16,3.4.4,100.0,1.0,1.0,228.0,,,1489.0,3.0,ghcr.io/zitadel/zitadel,11918.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,,https://charts.zitadel.com,,,,,
44,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],30,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2025-11-12 04:01:59.000000,2025-11-03 12:52:37,3550.0,140.0,1747.0,170.0,2927.0,332.0,858.0,10358.0,2025-09-01 13:23:20,2.44.0,92.0,177.0,177.0,280.0,,,2.0,2.0,quay.io/dexidp/dex,358.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,,
45,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2025-11-01 20:03:28.000000,2025-10-02 07:52:09,2959.0,16.0,131.0,58.0,327.0,36.0,319.0,1015.0,2025-09-03 07:38:43,5.8.0,45.0,197.0,197.0,48.0,,,140158.0,2.0,,32096.0,,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,139872.0,,,,,,,,,,
46,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],30,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2025-11-12 04:41:57.000000,2025-11-03 02:52:53,672.0,15.0,70.0,36.0,232.0,6.0,86.0,364.0,2025-08-25 22:29:37,8.0.18,100.0,6044.0,6044.0,42.0,https://www.npmjs.com/package/did-jwt,321932.0,321932.0,1.0,,,,,,,,,,,,,,,,,,,
47,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],29,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2025-11-13 18:16:22.000000,2025-11-12 18:42:43,7179.0,83.0,613.0,132.0,5215.0,170.0,3071.0,5591.0,2025-11-10 18:32:54,0.20251110.0,100.0,,,143.0,,,17219.0,2.0,letsencrypt/boulder-tools,37289.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2025-10-07 19:11:39.538310,13.0,2033875.0,,,,,,,,,,,,,
48,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,29,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2025-11-03 18:17:20.000000,2025-11-02 00:53:16,9720.0,3.0,562.0,52.0,7293.0,,1780.0,4573.0,2025-06-30 22:09:21,ockam_v0.157.0,100.0,188.0,188.0,318.0,,,354.0,3.0,,14877.0,,,,,,,,,,,,,build-trust/ockam/ockam,,,,
49,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,29,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2025-11-12 06:57:47.361821,2025-11-11 08:23:05,2540.0,78.0,271.0,19.0,2652.0,225.0,890.0,4234.0,2025-11-12 06:41:31,1.8.0,46.0,42.0,42.0,134.0,,,8293.0,3.0,kanidm/server,420.0,https://hub.docker.com/r/kanidm/server,2025-11-12 06:57:47.361821,4.0,671396.0,,,,,,,,,,,,,
50,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2025-11-13 09:34:03.000000,2025-11-13 09:34:03,2186.0,100.0,167.0,31.0,2325.0,47.0,354.0,4132.0,2025-10-28 08:42:42,0.47.0,71.0,33.0,33.0,33.0,,,1139.0,3.0,ghcr.io/cerbos/cerbos,63821.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,
51,identity-server,https://github.com/DuendeSoftware/products,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/products,https://duendesoftware.com/license,2020-10-01 08:46:31,2025-11-13 10:57:02.000000,2025-11-13 10:57:00,7835.0,269.0,388.0,36.0,1423.0,4.0,320.0,1578.0,2025-09-17 16:58:52,is-7.3.2,100.0,2984.0,2984.0,338.0,,,,2.0,,,,,,,,,,DuendeSoftware/products,,,,,,,,,
52,jansen,https://github.com/JanssenProject/jans,idp,"The Janssen Project is a home for open source IAM components, featuring Auth Server (OAuth/OpenID), Agama low-code..",,['linux-foundation'],29,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2025-11-13 17:34:45.000000,2025-11-13 15:56:27,35396.0,212.0,154.0,29.0,7304.0,415.0,4771.0,592.0,2025-10-14 13:41:20,1.13.0,100.0,8.0,8.0,138.0,,,475.0,3.0,,11887.0,,,,,,,,,,,,,,,,,
53,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,28,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2025-11-11 15:35:34.000000,2025-11-11 15:35:21,1847.0,10.0,13282.0,1530.0,533.0,37.0,850.0,54709.0,2023-06-18 18:08:19,2.2.0,4.0,,,98.0,,,509.0,3.0,,41285.0,,,,,,,,,,,,,,,,,
