,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,trending,updated_github_id,gem_url,apt_id
50,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,27,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2023-12-28 14:35:09.000000,2023-12-28 13:31:41,2764.0,186.0,328.0,35.0,4818.0,453.0,1396.0,5753.0,100.0,,,92.0,,,893.0,3.0,ghcr.io/zitadel/zitadel,2023-12-22 13:52:36,2.41.9,2681.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,https://charts.zitadel.com,,,,-1.0,,,
51,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,27,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2023-12-28 16:15:50.000000,2023-12-28 13:21:08,13267.0,682.0,418.0,29.0,6073.0,452.0,1287.0,5343.0,100.0,,,202.0,,,94.0,3.0,,2023-12-21 13:33:00,ersion/2023.10.5,2538.0,,,,,,,,https://charts.goauthentik.io,,,,,,,
52,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure and fast identity management platform.",,,27,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2023-12-28 11:53:28.000000,2023-12-28 02:24:29,1736.0,144.0,117.0,17.0,1719.0,139.0,501.0,1823.0,17.0,42.0,42.0,59.0,,,1622.0,3.0,kanidm/server,2023-10-31 12:08:26,1.1.0-rc.15,244.0,https://hub.docker.com/r/kanidm/server,2023-12-19 01:12:11.590576,,93863.0,,,,,,,,,,,
53,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],27,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2023-12-27 17:00:43.000000,2023-12-17 17:09:26,2994.0,39.0,289.0,79.0,836.0,283.0,614.0,1756.0,52.0,2.0,2.0,85.0,https://www.npmjs.com/package/solid-server,676.0,9390.0,1.0,nodesolidserver/node-solid-server,2023-12-17 18:26:45,5.7.8,,https://hub.docker.com/r/nodesolidserver/node-solid-server,2023-12-17 18:38:41.970023,4.0,967338.0,,,,,,,,,,,
54,jansen,https://github.com/JanssenProject/jans,idp,"An open source enterprise digital identity platform that scales: Janssen is a distribution of standards-based,..",,['linux-foundation'],27,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2023-12-28 15:46:31.000000,2023-12-27 16:29:39,33452.0,477.0,55.0,31.0,4176.0,329.0,2614.0,327.0,100.0,,,110.0,,,301.0,3.0,,2023-12-14 13:58:11,1.0.21,905.0,,,,,,,,,,,,1.0,,,
55,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,credentials-sdks,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,,['dif'],27,True,decentralized-identity/did-jwt-vc,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2023-12-25 19:03:12.000000,2023-12-12 10:19:45,357.0,17.0,38.0,23.0,94.0,2.0,47.0,159.0,53.0,838.0,838.0,22.0,https://www.npmjs.com/package/did-jwt-vc,18122.0,18122.0,1.0,,2023-12-12 10:20:04,3.2.15,,,,,,,,,,,,,,,,
56,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,26,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2023-12-27 12:33:47.000000,2023-12-20 13:51:33,2439.0,28.0,730.0,73.0,239.0,,,2892.0,100.0,2.0,2.0,69.0,https://www.npmjs.com/package/oidc-provider,180222.0,180222.0,3.0,,2023-12-14 11:37:15,8.4.3,,,,,,,,,,,,,,,,
57,lemur,https://github.com/Netflix/lemur,pki,Repository for the Lemur Certificate Manager.,,,26,True,netflix/lemur,,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2023-12-25 16:57:56.000000,2023-12-18 20:29:44,6014.0,222.0,307.0,409.0,4145.0,117.0,417.0,1674.0,27.0,,,152.0,,,0.0,2.0,,2023-10-23 21:10:51,1.6.0,51.0,,,,,,,,,,,,,,,
58,athenz,https://github.com/AthenZ/athenz,pki,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,,['linux-foundation'],25,True,athenz/athenz,,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2023-12-28 02:02:47.000000,2023-12-28 02:02:47,2929.0,117.0,257.0,52.0,2210.0,37.0,201.0,826.0,100.0,26.0,26.0,79.0,,,,3.0,,2023-12-07 00:08:14,1.11.48,,,,,,,,,,,,,,,,
59,conjur,https://github.com/cyberark/conjur,machine,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,,,25,True,cyberark/conjur,,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2023-11-20 08:18:32.000000,2023-10-13 18:18:58,3449.0,11.0,122.0,48.0,1887.0,207.0,901.0,726.0,73.0,,,96.0,,,78165.0,3.0,cyberark/conjur,2023-08-04 21:07:07,1.20.0,376.0,https://hub.docker.com/r/cyberark/conjur,2023-10-27 18:55:35.655413,30.0,7034440.0,,,,,,,,,,,
