,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,trending,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
38,oathkeeper,ory/oathkeeper,,,machine,['ory'],https://github.com/ory/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2023-09-08 14:28:23.000000,2023-09-08 08:05:44,1354.0,318.0,49.0,714.0,3061.0,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",109.0,29,True,36.0,100.0,49.0,274.0,2023-07-18 10:23:06,2.0,1214141.0,3.0,0.40.6,29524.0,2.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2023-07-18 10:23:05.234030,87387849.0,,,,,30.0,,,,,,,,,,
39,identity-server,duendesoftware/identityserver,,,authentication,,https://github.com/DuendeSoftware/IdentityServer,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2023-09-14 17:47:38.000000,2023-09-13 02:11:09,4972.0,252.0,38.0,689.0,1141.0,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,292.0,29,True,128.0,45.0,57.0,231.0,2023-09-08 20:15:59,1283.0,,3.0,6.3.4,,1283.0,,,,,,,,,,,,,-1.0,,,,,,
40,deepfacelab,iperov/DeepFaceLab,,,face,,https://github.com/iperov/DeepFaceLab,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-08-31 22:29:15.000000,2023-04-27 06:45:45,1313.0,8736.0,1088.0,129.0,42465.0,DeepFaceLab is the leading software for creating deepfakes.,22.0,28,True,,2.0,532.0,795.0,2020-04-09 05:48:48,13.0,3819.0,3.0,DF.wf.288res.384.92.72.22,160399.0,13.0,,,,,,,,,,,,,,,,,,,
41,authelia,authelia/authelia,,,idp,,https://github.com/authelia/authelia,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2023-09-14 18:11:49.000000,2023-09-14 18:11:47,4737.0,937.0,156.0,4555.0,17351.0,The Single Sign-On Multi-Factor portal for web apps.,131.0,28,True,331.0,100.0,69.0,1065.0,2022-12-21 09:01:04,,590.0,2.0,4.37.5,25980.0,,,,,,,,,,,,,,,,,,,,
42,openface,cmusatyalab/openface,,,face,,https://github.com/cmusatyalab/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-06-14 17:20:44.000000,2023-06-14 17:20:41,735.0,3479.0,761.0,73.0,14853.0,Face recognition with deep neural networks.,30.0,28,True,,4.0,9.0,370.0,2016-02-25 17:42:46,67.0,1674.0,3.0,0.2.1,,67.0,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,160729.0,,,,,70.0,,,,,,,,,,
43,logto,logto-io/logto,,,idp,,https://github.com/logto-io/logto,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2023-09-14 17:04:17.000000,2023-09-14 09:28:00,4769.0,239.0,34.0,4191.0,6283.0,"Logto is a modern Auth0 alternative for building identity infrastructure with minimal effort, for both your customers..",40.0,28,True,450.0,46.0,57.0,219.0,2023-08-30 14:48:16,7.0,732.0,2.0,1.8.0,2451.0,7.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2023-08-30 14:41:45.135859,15893.0,,,,,1.0,,,,,,,,,,
44,doorkeeper,doorkeeper-gem/doorkeeper,,,authentication,,https://github.com/doorkeeper-gem/doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2023-09-13 15:21:25.000000,2023-08-31 12:36:20,2362.0,1003.0,107.0,815.0,5186.0,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,309.0,28,True,5.0,62.0,24.0,826.0,2023-03-29 07:20:04,8111.0,,3.0,5.6.6,,8111.0,,,,,,,,,,,,,,,,,,doorkeeper,
45,boulder,letsencrypt/boulder,,,pki,['linux-foundation'],https://github.com/letsencrypt/boulder,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2023-09-14 17:23:01.000000,2023-09-14 17:21:49,6296.0,533.0,138.0,4216.0,4748.0,"An ACME-based certificate authority, written in Go.",126.0,28,True,84.0,83.0,194.0,2656.0,2023-09-11 23:39:57,,21690.0,2.0,release-2023-09-11,57761.0,,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2023-09-07 22:26:46.992904,1940612.0,,,,,13.0,,,,,,,,,,
46,zitadel,zitadel/zitadel,,,idp,,https://github.com/zitadel/zitadel,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2023-09-14 18:04:23.000000,2023-09-14 13:30:59,2454.0,244.0,28.0,4526.0,4609.0,"ZITADEL - Identity infrastructure, simplified foryou.",72.0,28,True,216.0,100.0,390.0,1260.0,2023-09-13 07:19:56,,341.0,2.0,2.31.9,1706.0,,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,,,https://charts.zitadel.com,,,,,
47,oso,osohq/oso,,,authorization,,https://github.com/osohq/oso,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2023-08-27 21:38:50.000000,2023-07-24 15:50:06,1200.0,154.0,31.0,1518.0,3208.0,Oso is a batteries-included framework for building authorization in your application.,63.0,28,True,9.0,100.0,103.0,100.0,2023-04-03 23:25:23,77.0,34319.0,3.0,0.27.0,2600.0,77.0,,,,,,,,,,oso,https://pypi.org/project/oso,34236.0,,,,,,,
