,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,dockerhub_stars,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,new_addition,github_Id
77,aries-mobile-agent-react-native,hyperledger/aries-mobile-agent-react-native,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-mobile-agent-react-native,https://github.com/hyperledger/aries-mobile-agent-react-native,Apache-2.0,2020-11-06 19:58:19,2023-04-26 16:32:58.000000,2023-04-26 16:10:41,1385.0,89.0,22.0,554.0,92.0,Aries Mobile Agent React Native - Part of the Aries Bifold effort to provide SSI capabilities in a production ready app.,31.0,17,False,98.0,,41.0,130.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
78,waltid-walletkit,walt-id/waltid-walletkit,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-walletkit,https://github.com/walt-id/waltid-walletkit,Apache-2.0,2021-09-24 15:14:51,2023-04-25 15:02:27.125276,2023-04-25 14:54:30,636.0,21.0,2.0,82.0,23.0,"Supercharge your app with SSI, NFTs or fungible tokens.",11.0,17,False,137.0,11.0,1.0,38.0,2023-04-25 15:02:30,,25.0,3.0,1.2304251454.0,,,waltid/walletkit,https://hub.docker.com/r/waltid/walletkit,2023-04-25 15:02:27.125276,491.0,,,,,,,,,,,,,,,
79,openid4vci,sphereon-opensource/openid4vci,sphereon-ssi,,decentralized,,https://github.com/Sphereon-Opensource/OpenID4VCI,https://github.com/Sphereon-Opensource/OpenID4VCI,Apache-2.0,2022-10-09 21:29:30,2023-04-26 15:06:46.000000,2023-04-26 14:03:25,450.0,5.0,4.0,42.0,19.0,OpenID for Verifiable Credential Issuance - client and issuer library.,6.0,17,False,232.0,8.0,,3.0,2023-03-17 00:39:19,11.0,,3.0,0.4.0,,11.0,,,,,,,,,,,,,,,,,,,
80,solid-specification,solid/specification,solid-project,,standards,['solid'],https://github.com/solid/specification,https://github.com/solid/specification,MIT,2019-05-14 21:20:03,2023-04-20 15:15:16.000000,2023-04-20 15:15:14,871.0,35.0,50.0,151.0,402.0,Solid Technical Reports.,19.0,16,True,46.0,1.0,181.0,124.0,2021-12-21 13:00:06,,,3.0,protocol-v0.9.0,,,,,,,,,,,,,,,,,,,,,
81,tbd-ssi-sdk,tbd54566975/ssi-sdk,,,decentralized,['web5'],https://github.com/TBD54566975/ssi-sdk,https://github.com/TBD54566975/ssi-sdk,Apache-2.0,2022-02-02 20:20:10,2023-04-25 00:37:46.000000,2023-04-25 00:37:45,231.0,42.0,13.0,230.0,163.0,self sovereign identity sdk.,15.0,16,True,55.0,3.0,46.0,83.0,,2.0,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,
82,spruceid-ssi,spruceid/ssi,spruceid,,decentralized,,https://github.com/spruceid/ssi,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2023-04-27 00:19:06.000000,2023-04-24 13:49:11,521.0,35.0,28.0,336.0,138.0,Core library for decentralized identity.,20.0,16,True,8.0,,68.0,100.0,,98.0,,3.0,,,98.0,,,,,,,,,,,,,,,,,,,
83,did-core,w3c/did-core,,,standards,['w3c'],https://github.com/w3c/did-core,https://github.com/w3c/did-core,W3C,2019-09-10 07:46:26,2023-04-11 23:37:45.000000,2023-04-11 23:37:45,1309.0,81.0,76.0,487.0,369.0,W3C Decentralized Identifier Specification v1.0.,61.0,15,True,1.0,,26.0,324.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,True,
84,presentation-exchange,decentralized-identity/presentation-exchange,,,standards,['dif'],https://github.com/decentralized-identity/presentation-exchange,https://github.com/decentralized-identity/presentation-exchange,Apache-2.0,2020-01-07 23:10:12,2023-03-30 20:44:08.000000,2023-03-30 20:43:43,609.0,30.0,31.0,214.0,70.0,Specification that codifies an inter-related pair of data formats for defining proof presentations (Presentation..,34.0,15,False,4.0,,45.0,160.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,True,
85,waltid-idpkit,walt-id/waltid-idpkit,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-idpkit,https://github.com/walt-id/waltid-idpkit,Apache-2.0,2022-03-21 16:28:15,2023-04-26 08:08:04.064974,2023-04-26 08:02:08,263.0,3.0,2.0,16.0,12.0,OIDC identity provider for SSI & NFTs.,8.0,15,False,90.0,12.0,4.0,31.0,2023-04-26 08:12:52,,41.0,3.0,1.2304260802.0,,,waltid/idpkit,https://hub.docker.com/r/waltid/idpkit,2023-04-26 08:08:04.064974,537.0,1.0,,,,,,,,,,,,,,
86,talao-wallet,talaodao/talao-wallet,talao-altme,,decentralized,,https://github.com/TalaoDAO/talao-wallet,https://github.com/TalaoDAO/talao-wallet,Apache-2.0,2021-06-29 14:41:04,2023-03-20 12:52:28.000000,2023-03-20 08:12:52,3967.0,5.0,2.0,69.0,9.0,An open source SSI wallet prpposed as a white label solution - EBSI conformant.,14.0,15,False,331.0,1.0,19.0,243.0,2023-01-06 16:00:40,,,3.0,old_talao,,,,,,,,,,,,,,,,,,,,,
