,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,trending,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,npm_id,npm_url,npm_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
90,spiffe,spiffe/spiffe,,,machine,"['cncf', 'linux-foundation']",https://github.com/spiffe/spiffe,https://github.com/spiffe/spiffe,Apache-2.0,2017-08-07 20:45:21,2023-05-19 16:36:58.000000,2023-05-10 21:38:22,528.0,142.0,82.0,196.0,1246.0,The SPIFFE Project.,57.0,17,True,13.0,,16.0,38.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
91,appauth-js,openid/appauth-js,,,authentication,['openid'],https://github.com/openid/AppAuth-JS,https://github.com/openid/AppAuth-JS,Apache-2.0,2017-04-03 11:22:40,2022-10-15 14:37:14.000000,2022-07-19 15:07:09,89.0,148.0,37.0,93.0,922.0,JavaScript client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,10.0,17,True,,,30.0,102.0,,1672.0,,3.0,,,1672.0,,,,,,,,,,,,,,,,,,,
92,waltid-walletkit,walt-id/waltid-walletkit,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-walletkit,https://github.com/walt-id/waltid-walletkit,Apache-2.0,2021-09-24 15:14:51,2023-06-29 16:43:26.175786,2023-06-29 16:35:53,681.0,24.0,2.0,100.0,31.0,"Supercharge your app with SSI, NFTs or fungible tokens.",12.0,17,False,71.0,32.0,3.0,39.0,2023-06-29 16:43:29,,68.0,3.0,1.2306291636.0,,,waltid/walletkit,https://hub.docker.com/r/waltid/walletkit,2023-06-29 16:43:26.175786,1447.0,,,,,,,,,,,,,,,
93,openid4vci,sphereon-opensource/openid4vci,sphereon-ssi,,decentralized,,https://github.com/Sphereon-Opensource/OID4VCI,https://github.com/Sphereon-Opensource/OID4VCI,Apache-2.0,2022-10-09 21:29:30,2023-06-27 12:24:38.000000,2023-06-27 12:24:36,557.0,8.0,5.0,55.0,29.0,OpenID for Verifiable Credential Issuance - client and issuer library.,11.0,17,False,236.0,9.0,,5.0,2023-06-24 17:03:38,8.0,,3.0,0.6.0,,8.0,,,,,Sphereon-Opensource/OID4VCI,,,,,,,,,,,,,,
94,barbican,openstack/barbican,,,pki,['openstack'],https://github.com/openstack/barbican,https://github.com/openstack/barbican,Apache-2.0,2014-05-23 22:15:27,2023-06-07 10:54:43.000000,2023-06-07 10:53:19,3552.0,67.0,27.0,5.0,228.0,"Barbican is a ReST API designed for the secure storage, provisioning and management of secrets, including in OpenStack..",295.0,16,True,5.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
95,tbd-ssi-sdk,tbd54566975/ssi-sdk,,,decentralized,['web5'],https://github.com/TBD54566975/ssi-sdk,https://github.com/TBD54566975/ssi-sdk,Apache-2.0,2022-02-02 20:20:10,2023-06-28 20:00:08.000000,2023-06-28 20:00:07,274.0,46.0,13.0,276.0,176.0,self sovereign identity sdk.,16.0,16,True,62.0,4.0,41.0,101.0,,2.0,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,
96,spruceid-ssi,spruceid/ssi,spruceid,,decentralized,,https://github.com/spruceid/ssi,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2023-06-29 00:21:14.000000,2023-06-28 13:49:36,522.0,37.0,28.0,337.0,145.0,Core library for decentralized identity.,20.0,16,True,8.0,,70.0,100.0,,105.0,,3.0,,,105.0,,,,,,,,,,,,,,,,,,,
97,pex,sphereon-opensource/pex,sphereon-ssi,,decentralized,,https://github.com/Sphereon-Opensource/PEX,https://github.com/Sphereon-Opensource/PEX,Apache-2.0,2021-04-12 14:54:14,2023-06-29 14:40:32.000000,2023-06-29 10:40:10,882.0,7.0,7.0,98.0,24.0,A Typescript implementation of the DIF Presentation Exchange specification.,14.0,16,False,21.0,24.0,8.0,14.0,2023-04-30 19:45:02,55.0,2.0,3.0,2.0.0,55.0,55.0,,,,,,,,,,,,,,,,,,,
98,solid-specification,solid/specification,solid-project,,standards,['solid'],https://github.com/solid/specification,https://github.com/solid/specification,MIT,2019-05-14 21:20:03,2023-06-29 13:58:04.000000,2023-06-25 22:01:55,888.0,35.0,50.0,163.0,417.0,Solid Technical Reports.,19.0,15,True,26.0,1.0,183.0,127.0,2021-12-21 13:00:06,,,2.0,protocol-v0.9.0,,,,,,,,,,,,,,,,,,,,,
99,did-core,w3c/did-core,,,standards,['w3c'],https://github.com/w3c/did-core,https://github.com/w3c/did-core,W3C,2019-09-10 07:46:26,2023-04-11 23:37:45.000000,2023-04-11 23:37:45,1309.0,82.0,76.0,487.0,374.0,W3C Decentralized Identifier Specification v1.0.,62.0,15,True,1.0,,28.0,324.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
