,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,maven_id,maven_url,helm_id,brew_id,gem_url,apt_id,github,github-id
137,sphereon-openid4vci,https://github.com/Sphereon-Opensource/OID4VC,ssi-sdks,"OpenID for Verifiable Credentials - modules for issuers, holders and RPs.",,,14,False,sphereon-opensource/openid4vci,,https://github.com/Sphereon-Opensource/OID4VC,Apache-2.0,2022-10-09 21:29:30,2025-07-09 20:23:14.000000,2025-07-09 20:22:46,1430.0,7.0,20.0,8.0,148.0,17.0,17.0,82.0,2025-05-22 00:44:52,0.19.0,27.0,,,20.0,,,,3.0,,,,,,,,,,,Sphereon-Opensource/OID4VC,,,,,,,,
138,universal-registrar,https://github.com/decentralized-identity/universal-registrar,dids,Universal Registrar implementation and drivers.,,,14,False,decentralized-identity/universal-registrar,,https://github.com/decentralized-identity/universal-registrar,Apache-2.0,2017-09-29 13:01:11,2025-05-08 06:43:48.000000,2025-05-08 06:43:48,526.0,4.0,29.0,27.0,67.0,14.0,13.0,81.0,2021-10-08 12:33:05,0.2.0,2.0,,,14.0,,,,3.0,,,,,,,,,,,,,,,,,,,
139,selective-disclosure-jwt,https://github.com/oauth-wg/oauth-selective-disclosure-jwt,specs,,,,14,False,oauth-wg/oauth-selective-disclosure-jwt,,https://github.com/oauth-wg/oauth-selective-disclosure-jwt,,2022-05-09 14:15:35,2025-07-10 00:18:17.000000,2025-05-29 16:40:39,795.0,13.0,32.0,18.0,283.0,,296.0,61.0,2025-05-29 16:46:56,draft-ietf-oauth-selective-disclosure-jwt-22,17.0,,,26.0,,,,3.0,,,,,,,,,,,,,,,,,,,
140,verity-sdk,https://github.com/evernym/verity-sdk,ssi-sdks,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repo contains..,,,14,False,evernym/verity-sdk,,https://github.com/evernym/verity-sdk,Apache-2.0,2020-06-18 20:16:43,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,1451.0,,37.0,12.0,115.0,,,47.0,,,,16.0,16.0,38.0,,,,3.0,,,,,,,,,,,,,,,,,,,
141,appauth-js,https://github.com/openid/AppAuth-JS,authentication,JavaScript client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],13,False,openid/appauth-js,,https://github.com/openid/AppAuth-JS,Apache-2.0,2017-04-03 11:22:40,2024-04-22 03:03:12.000000,2024-04-15 20:19:29,90.0,,161.0,34.0,95.0,33.0,102.0,1005.0,,,,,,10.0,,,,3.0,,,,,,,,,,,,,,,,,,,
142,did-spec-registries,https://github.com/w3c/did-extensions,dids,Decentralized Identifier Ecosystem Extensions.,,,13,False,w3c/did-spec-registries,,https://github.com/w3c/did-extensions,,2020-02-11 17:25:04,2025-04-29 13:01:14.000000,2025-04-29 13:00:47,891.0,2.0,214.0,50.0,414.0,45.0,177.0,129.0,,,,,,218.0,,,,3.0,,,,,,,,,,,w3c/did-extensions,,,,,,,,
143,sphereon-ssi-mobile-wallet,https://github.com/Sphereon-Opensource/mobile-wallet,ssi-agents,Open-Source Mobile SSI Wallet.,,,13,False,sphereon-opensource/ssi-mobile-wallet,,https://github.com/Sphereon-Opensource/mobile-wallet,Apache-2.0,2022-11-08 00:55:26,2025-07-10 15:11:14.000000,2025-07-10 15:11:10,2087.0,35.0,25.0,8.0,336.0,19.0,17.0,83.0,,,,,,14.0,,,,3.0,,,,,,,,,,,Sphereon-Opensource/mobile-wallet,,,,,,,,
144,waltid-idpkit,https://github.com/walt-id/waltid-idpkit,ssi-sdks,OIDC identity provider for digital identity.,,,13,False,walt-id/waltid-idpkit,,https://github.com/walt-id/waltid-idpkit,Apache-2.0,2022-03-21 16:28:15,2024-07-17 14:26:13.313442,2024-07-17 14:21:31,351.0,,5.0,3.0,36.0,,36.0,25.0,2023-09-07 16:06:04,1.2309071555.0,28.0,,,9.0,,,24.0,3.0,waltid/idpkit,,https://hub.docker.com/r/waltid/idpkit,2024-07-17 14:26:13.313442,,984.0,,,,,,,,,,,,,
145,pyMDOC-CBOR,https://github.com/IdentityPython/pyMDOC-CBOR,ssi-sdks,MDOC CBOR static Verifier and Issuer for EUDI Wallet PID and mDL use cases.,,,13,False,IdentityPython/pyMDOC-CBOR,,https://github.com/IdentityPython/pyMDOC-CBOR,Apache-2.0,2023-04-23 15:28:16,2025-07-04 14:47:34.000000,2025-07-04 14:47:34,167.0,26.0,14.0,9.0,12.0,1.0,9.0,20.0,2025-07-04 14:15:24,1.0.0,6.0,,,7.0,,,,3.0,,,,,,,,pymdoccobr,https://pypi.org/project/pymdoccobr,,,,,,,,,,
146,web-access-control,https://github.com/solid/web-access-control-spec,specs,Web Access Control (WAC).,,['solid'],12,True,solid/web-access-control-spec,,https://github.com/solid/web-access-control-spec,MIT,2016-04-01 18:02:56,2025-03-17 16:19:05.000000,2025-03-17 16:17:08,511.0,,23.0,27.0,44.0,26.0,47.0,123.0,,,,,,19.0,,,,3.0,,,,,,,,,,,,,,,,,,,
147,crypto,https://github.com/docknetwork/crypto,pki,"Library providing privacy enhancing cryptographic primitives, ZKPs, BBS+ and BBS# signatures.",,,12,True,docknetwork/crypto,,https://github.com/docknetwork/crypto,Apache-2.0,2021-08-02 10:17:00,2025-06-20 16:42:32.000000,2025-06-20 16:42:26,292.0,2.0,39.0,9.0,13.0,6.0,9.0,113.0,,,,17.0,17.0,7.0,,,,3.0,,,,,,,,,,,,,,,,,,,
