,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,trending,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
61,aries-python,hyperledger/aries-cloudagent-python,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-cloudagent-python,https://github.com/hyperledger/aries-cloudagent-python,Apache-2.0,2019-06-24 18:12:14,2023-07-12 22:04:36.000000,2023-07-12 14:32:44,7596.0,408.0,32.0,1369.0,355.0,Hyperledger Aries Cloud Agent Python (ACA-Py) is a foundation for building decentralized identity applications and..,119.0,24,True,277.0,57.0,183.0,752.0,2023-06-29 16:36:31,,,2.0,0.8.2,,,,,,,,,,,,,,,,,,,,,
62,iota-identity,iotaledger/identity.rs,,,decentralized,,https://github.com/iotaledger/identity.rs,https://github.com/iotaledger/identity.rs,Apache-2.0,2020-02-06 14:33:11,2023-07-13 13:25:22.000000,2023-07-12 06:35:56,1366.0,65.0,24.0,925.0,257.0,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,32.0,24,True,37.0,18.0,55.0,199.0,2023-03-08 16:34:58,95.0,,2.0,0.6.2,,95.0,,,,,,,,,,,,,,,,,,,
63,aries-vcx,hyperledger/aries-vcx,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-vcx,https://github.com/hyperledger/aries-vcx,Apache-2.0,2020-07-21 07:26:03,2023-07-13 15:02:19.000000,2023-07-13 12:56:35,9589.0,40.0,11.0,753.0,53.0,"AriesVCX is a Rust library for building web and mobile applications issuing, holding, presenting and verifying..",138.0,24,False,54.0,61.0,35.0,105.0,2023-05-23 13:25:58,10.0,316.0,2.0,0.56.0,11087.0,10.0,,,,,,,,,,,,,,,,,,,
64,deepfacelive,iperov/DeepFaceLive,,,face,,https://github.com/iperov/DeepFaceLive,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2023-07-09 18:06:58.000000,2023-07-09 18:01:38,325.0,2195.0,226.0,25.0,15644.0,Real-time face swap for PC streaming or video calls.,11.0,23,True,5.0,35.0,1.0,127.0,2023-01-21 09:26:53,,18635.0,3.0,TINA_SHIFT,465893.0,,,,,,,,,,,,,,,,,,,,
65,supertokens,supertokens/supertokens-core,,,idp,,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2023-07-13 11:27:58.000000,2023-07-11 11:08:04,802.0,345.0,63.0,310.0,9655.0,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,24.0,23,True,92.0,27.0,96.0,321.0,2023-07-12 09:25:19,,,3.0,6.0.3,,,registry.supertokens.io/supertokens/supertokens-postgresql,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,,,,
66,permify,permify/permify,,,authorization,,https://github.com/Permify/permify,https://github.com/Permify/permify,Apache-2.0,2022-07-14 11:16:57,2023-07-12 16:31:07.000000,2023-07-06 23:02:05,1624.0,51.0,13.0,468.0,1541.0,Permify is an open-source authorization service inspired by Google Zanzibar.,22.0,23,True,408.0,32.0,23.0,82.0,2023-07-04 12:41:12,,84.0,3.0,0.4.7,924.0,,ghcr.io/permify/permify,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,,,,
67,freeipa,freeipa/freeipa,,,idp,,https://github.com/freeipa/freeipa,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2023-07-12 21:33:49.000000,2023-07-05 18:48:52,15633.0,299.0,51.0,6913.0,967.0,"Mirror of FreeIPA, an integrated security information management solution.",216.0,23,True,94.0,,,,,,40832.0,3.0,,,,freeipa/freeipa-server,https://hub.docker.com/r/freeipa/freeipa-server,2023-07-12 05:26:53.723569,5471564.0,,,,,,150.0,,,,,,,,,
68,athenz,athenz/athenz,,,pki,['linux-foundation'],https://github.com/AthenZ/athenz,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2023-07-13 09:58:47.000000,2023-07-12 16:35:07,2713.0,241.0,52.0,2007.0,789.0,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,72.0,23,True,97.0,100.0,27.0,188.0,2023-07-07 18:12:32,,,3.0,1.11.34,,,,,,,,,,,,,,,,,,,,,
69,universal-resolver,decentralized-identity/universal-resolver,,,decentralized,,https://github.com/decentralized-identity/universal-resolver,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2023-07-13 18:11:02.000000,2023-07-03 07:15:03,1622.0,208.0,58.0,270.0,468.0,Universal Resolver implementation and drivers.,95.0,23,True,22.0,6.0,24.0,79.0,2022-01-07 16:42:38,,1544.0,2.0,0.5.0,,,universalresolver/uni-resolver-web,https://hub.docker.com/r/universalresolver/uni-resolver-web,2023-07-03 07:17:03.049207,109634.0,,,,,,,,,,,,,,,
70,howdy,boltgolt/howdy,,,authentication,,https://github.com/boltgolt/howdy,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2023-07-05 21:26:05.000000,2023-06-25 10:52:49,510.0,257.0,52.0,131.0,4775.0,Windows Hello style facial authentication for Linux.,55.0,22,True,4.0,11.0,174.0,505.0,2020-09-02 15:57:23,,197.0,3.0,2.6.1,12822.0,,,,,,,,,,,,,,,,,,,,howdy
