,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,trending,updated_github_id,gem_url,apt_id,new_addition
10,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,38,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-11-20 18:36:48.000000,2023-10-25 05:42:36,1677.0,1.0,459.0,69.0,493.0,78.0,293.0,2689.0,48.0,475178.0,475178.0,195.0,,,82863837.0,1.0,,2023-01-10 13:13:43,3.2.2,,,,,,oauthlib,https://pypi.org/project/oauthlib,82863837.0,,,,,,,,,
11,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,37,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2023-11-27 23:03:09.000000,2023-11-27 22:57:28,624.0,6.0,1184.0,310.0,157.0,334.0,426.0,22059.0,,968992.0,968992.0,38.0,https://www.npmjs.com/package/passport,9628342.0,9628342.0,2.0,,,,,,,,,,,,,,,,,,,,
12,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],37,True,keycloak/keycloak,,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2023-12-21 16:38:00.000000,2023-12-21 12:49:07,23609.0,688.0,5765.0,371.0,13771.0,1897.0,6407.0,18425.0,47.0,,,1293.0,,,64173.0,1.0,quay.io/keycloak/keycloak,2023-12-15 14:11:09,23.0.3,2310240.0,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,
13,speechbrain,https://github.com/speechbrain/speechbrain,voice,A PyTorch-based Speech Toolkit.,,,37,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2023-12-21 07:48:55.000000,2023-12-13 18:07:01,9603.0,120.0,1159.0,123.0,1064.0,105.0,873.0,6982.0,10.0,1335.0,1335.0,224.0,,,187651.0,1.0,,2023-11-22 02:28:28,0.5.16,,,,,,speechbrain,https://pypi.org/project/speechbrain,187651.0,,,,,,,,,
14,authlib,https://github.com/lepture/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS,JWE,JWK,JWA,JWT included.",,,37,True,lepture/authlib,,https://github.com/lepture/authlib,BSD-3-Clause,2017-10-27 06:52:26,2023-12-20 16:49:07.000000,2023-12-17 07:55:15,1369.0,19.0,385.0,62.0,184.0,64.0,346.0,4081.0,33.0,29711.0,29711.0,104.0,,,7019839.0,2.0,,2023-12-17 12:54:58,1.3.0,,,,,,authlib,https://pypi.org/project/authlib,7019839.0,,,,,,,,,
15,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],36,False,hashicorp/vault,,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2023-12-21 17:25:08.000000,2023-12-21 16:48:07,18715.0,467.0,3846.0,829.0,18670.0,935.0,4863.0,29022.0,100.0,6796.0,6796.0,1430.0,,,,2.0,,2023-12-05 20:48:13,1.15.4,,,,,,,,,,,,,,,,,
16,ory-kratos,https://github.com/ory/kratos,idp,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, PassKeys, MFA, FIDO2, TOTP,..",,['ory'],36,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2023-12-21 05:08:47.000000,2023-12-14 09:27:24,4062.0,109.0,836.0,108.0,1778.0,168.0,1024.0,9702.0,43.0,326.0,326.0,215.0,,,1680725.0,1.0,oryd/kratos,2023-07-12 20:24:48,1.0.0,35814.0,https://hub.docker.com/r/oryd/kratos,2023-07-12 20:24:47.415774,17.0,112557547.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,,
17,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,35,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2023-12-19 06:54:20.000000,2023-12-19 06:53:08,1527.0,31.0,252.0,42.0,365.0,14.0,428.0,5310.0,100.0,61382.0,61382.0,67.0,https://www.npmjs.com/package/@casl/ability,2091221.0,2091221.0,1.0,,2023-11-21 22:26:52,@casl/angular@8.2.3,,,,,,,,,,,,,,,,,
18,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,34,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-12-19 17:54:27.000000,2023-12-19 17:50:47,1082.0,6.0,1546.0,232.0,483.0,37.0,737.0,16188.0,100.0,2631.0,2631.0,137.0,https://www.npmjs.com/package/casbin,178044.0,273456.0,2.0,,2023-12-18 12:48:17,2.80.0,,,,,,casbin,https://pypi.org/project/casbin,95412.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
19,ory-hydra,https://github.com/ory/hydra,authentication,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",,['ory'],34,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2023-12-18 23:59:25.000000,2023-12-18 15:04:28,3744.0,34.0,1325.0,232.0,1730.0,78.0,1392.0,14782.0,100.0,2.0,2.0,291.0,,,3998865.0,2.0,oryd/hydra,2023-05-24 08:55:23,2.1.2,681728.0,https://hub.docker.com/r/oryd/hydra,2023-08-16 21:09:15.061728,75.0,410865480.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,,
20,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,34,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2023-12-21 18:11:39.000000,2023-12-21 15:00:30,7633.0,903.0,528.0,58.0,5344.0,291.0,1405.0,3957.0,100.0,183.0,183.0,299.0,,,14151.0,2.0,,2023-12-20 01:13:31,ockam_v0.113.0,339633.0,,,,,,,,,,,build-trust/ockam/ockam,,,,,
21,face-api-js,https://github.com/justadudewhohacks/face-api.js,face,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,33,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2023-09-03 13:34:38.000000,2020-04-22 16:40:10,488.0,,3511.0,335.0,107.0,425.0,389.0,15729.0,38.0,7932.0,7932.0,25.0,https://www.npmjs.com/package/face-api.js,147990.0,147990.0,1.0,,2020-03-22 14:01:55,0.22.2,,,,,,,,,,,,,,,,,
22,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,33,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2023-12-21 16:54:07.107396,2023-12-21 15:34:37,24343.0,586.0,3822.0,605.0,4596.0,,,10608.0,100.0,21.0,21.0,344.0,,,5921.0,2.0,apereo/cas,2023-11-17 08:24:37,6.6.14,,https://hub.docker.com/r/apereo/cas,2023-12-21 16:54:07.107396,129.0,870395.0,,,,,,,,,,,,
23,deepface,https://github.com/serengil/deepface,face,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,33,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2023-12-21 09:52:37.000000,2023-12-21 09:52:37,1134.0,53.0,1606.0,118.0,102.0,2.0,821.0,8642.0,,2315.0,2315.0,50.0,,,155071.0,1.0,,,,,,,,,deepface,https://pypi.org/project/deepface,155071.0,,,,,1.0,,,,
24,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2023-12-21 17:28:35.629101,2023-12-21 16:41:41,3252.0,159.0,272.0,37.0,3860.0,82.0,867.0,3742.0,100.0,13.0,13.0,91.0,,,18530642.0,2.0,pomerium/pomerium,2023-11-16 19:06:01,0.24.0,50006.0,https://hub.docker.com/r/pomerium/pomerium,2023-12-21 17:28:35.629101,10.0,1093247719.0,,,,,,,,,,,,
25,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,face,The worlds simplest facial recognition api for Python and the command line.,,,32,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-11-06 06:38:09.000000,2022-06-10 09:12:18,238.0,,12900.0,1567.0,224.0,719.0,584.0,50585.0,2.0,21.0,21.0,54.0,,,73455.0,2.0,animcogn/face_recognition,2018-04-02 17:18:43,1.2.2,1223.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,16.0,7205.0,face_recognition,https://pypi.org/project/face_recognition,73352.0,,,,,,,,,
26,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,voice,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,32,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2023-12-05 06:57:20.000000,2023-12-05 06:57:20,4734.0,3.0,1675.0,181.0,1688.0,429.0,1339.0,9386.0,15.0,86.0,86.0,130.0,,,195362.0,3.0,,2023-04-14 09:36:52,r1.4.1,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,195362.0,,,,,,,,,
27,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",32,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2023-12-21 17:59:12.000000,2023-12-21 17:00:42,6334.0,146.0,414.0,81.0,3430.0,140.0,1178.0,1581.0,95.0,126.0,126.0,180.0,,,2349.0,2.0,ghcr.io/spiffe/spire-server,2023-12-08 19:59:47,1.8.6,173867.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,
28,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,32,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2023-11-29 00:13:18.000000,2023-11-07 19:41:15,3599.0,9.0,386.0,31.0,522.0,69.0,353.0,533.0,50.0,1627.0,1627.0,172.0,,,554616.0,2.0,,2023-06-11 17:22:24,7.4.2,,,,,,pysaml2,https://pypi.org/project/pysaml2,554616.0,,,,,,,,,
29,insightface,https://github.com/deepinsight/insightface,face,State-of-the-art 2D and 3D Face Analysis Project.,,,31,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2023-12-18 02:19:09.000000,2023-09-10 02:01:49,2281.0,,4869.0,497.0,151.0,990.0,1346.0,19444.0,1.0,1355.0,1355.0,57.0,,,164882.0,2.0,animcogn/insightface,2023-04-02 07:43:27,0.7,1319050.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,138.0,,,,,,,,,,,,
30,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",,,31,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2023-12-20 23:05:17.000000,2023-12-20 18:23:58,3404.0,278.0,220.0,37.0,1260.0,101.0,307.0,4055.0,63.0,39.0,39.0,39.0,,,57862.0,2.0,authzed/spicedb,2023-11-30 17:07:14,1.28.0,38298.0,https://hub.docker.com/r/authzed/spicedb,2023-11-30 17:07:13.676851,6.0,1580450.0,,,,,,,,,,,,
31,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],30,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2023-12-19 04:39:55.000000,2023-10-25 14:03:03,2625.0,60.0,1484.0,175.0,1945.0,285.0,796.0,8670.0,80.0,144.0,144.0,223.0,,,3.0,2.0,quay.io/dexidp/dex,2023-06-30 14:12:39,2.37.0,306.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,
32,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],30,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2023-12-21 15:21:46.000000,2023-12-13 12:52:28,612.0,21.0,63.0,40.0,211.0,4.0,83.0,307.0,100.0,4304.0,4304.0,41.0,https://www.npmjs.com/package/did-jwt,167774.0,167774.0,1.0,,2023-12-13 12:52:55,7.4.7,,,,,,,,,,,,,,,,,
33,deepfacelab,https://github.com/iperov/DeepFaceLab,face,DeepFaceLab is the leading software for creating deepfakes.,,,29,True,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-10-24 10:56:48.000000,2023-04-27 06:45:45,1313.0,,9042.0,1110.0,131.0,541.0,801.0,43786.0,2.0,21.0,21.0,22.0,,,3746.0,3.0,,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,168583.0,,,,,,,,,,,,,,,,
34,openface,https://github.com/cmusatyalab/openface,face,Face recognition with deep neural networks.,,,29,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-10-25 21:16:29.000000,2023-06-14 17:20:41,735.0,,3488.0,759.0,74.0,9.0,370.0,14941.0,4.0,68.0,68.0,30.0,,,1627.0,3.0,bamos/openface,2016-02-25 17:42:46,0.2.1,,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,70.0,161102.0,,,,,,,,,,,,
35,casdoor,https://github.com/casbin/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,29,True,casdoor/casdoor,,https://github.com/casbin/casdoor,Apache-2.0,2020-10-22 14:40:03,2023-12-21 18:06:31.000000,2023-12-21 18:04:25,2142.0,168.0,893.0,56.0,1319.0,96.0,1036.0,7602.0,100.0,3.0,3.0,152.0,,,2814.0,2.0,casbin/casdoor,2023-12-21 15:44:59,1.479.0,,https://hub.docker.com/r/casbin/casdoor,2023-12-21 15:50:22.103800,11.0,106947.0,,,,,,,,,casbin/casdoor,,,
36,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2023-12-01 16:03:07.000000,2023-12-01 16:01:35,2389.0,22.0,1005.0,107.0,820.0,26.0,831.0,5224.0,64.0,8317.0,8317.0,314.0,,,,3.0,,2023-12-01 16:03:07,.5.6.8,,,,,,,,,,,,,,,doorkeeper,,
37,keto,https://github.com/ory/keto,authorization,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",,['ory'],29,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2023-12-19 03:04:42.000000,2023-10-18 14:17:30,1482.0,11.0,313.0,56.0,1103.0,43.0,262.0,4389.0,50.0,22.0,22.0,71.0,,,737119.0,2.0,oryd/keto,,,18383.0,https://hub.docker.com/r/oryd/keto,2023-03-09 14:30:27.177505,7.0,50840491.0,,,,,,,,,,,,
38,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],29,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2023-12-21 18:07:43.000000,2023-12-15 20:15:03,3586.0,190.0,253.0,201.0,3870.0,75.0,244.0,3735.0,49.0,8.0,8.0,148.0,,,243799.0,3.0,hashicorp/boundary,2023-12-12 20:49:05,0.14.3,,https://hub.docker.com/r/hashicorp/boundary,2023-12-12 20:57:03.493064,12.0,11458587.0,,,,,,,,-1.0,,,,
39,identity-server,https://github.com/DuendeSoftware/IdentityServer,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2023-12-20 21:00:28.000000,2023-12-20 20:27:16,5216.0,189.0,275.0,38.0,759.0,47.0,253.0,1226.0,50.0,1519.0,1519.0,295.0,,,,3.0,,2023-12-15 13:49:36,6.3.7,,,,,,,,,,,,,,,,,
40,whisper,https://github.com/openai/whisper,voice,Robust Speech Recognition via Large-Scale Weak Supervision.,,,28,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2023-12-20 03:53:25.000000,2023-12-18 20:11:16,136.0,13.0,5810.0,460.0,196.0,,,52973.0,10.0,21.0,21.0,66.0,,,226599.0,3.0,,2023-11-17 19:59:53,20231117,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,226599.0,,,,,,,,,
41,faceswap,https://github.com/deepfakes/faceswap,face,Deepfakes Software For All.,,,28,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2023-11-22 21:08:05.000000,2023-11-17 02:09:55,1783.0,6.0,12570.0,1525.0,514.0,17.0,816.0,47928.0,4.0,,,97.0,,,3362.0,3.0,,2023-06-18 18:08:19,2.2.0,195040.0,,,,,,,,,,,,,,,,
42,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,28,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2023-12-21 18:13:47.000000,2023-12-20 13:06:35,5085.0,321.0,967.0,158.0,4922.0,68.0,1092.0,18180.0,100.0,,,141.0,,,644.0,2.0,,2022-12-21 09:01:04,4.37.5,30306.0,,,,,,,,,,,,,,,,
43,logto,https://github.com/logto-io/logto,idp,Every app needs authentication and authorization. Logto is an Auth0 alternative designed for modern apps and SaaS..,,,28,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2023-12-21 12:43:29.000000,2023-12-21 08:37:26,5402.0,570.0,280.0,35.0,4767.0,80.0,246.0,6571.0,52.0,8.0,8.0,45.0,,,942.0,2.0,svhd/logto,2023-12-06 09:10:56,1.12.0,2837.0,https://hub.docker.com/r/svhd/logto,2023-12-21 08:42:59.913146,2.0,24039.0,,,,,,,,,,,,
44,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,28,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2023-12-21 16:46:54.000000,2023-12-21 13:57:33,2761.0,193.0,327.0,35.0,4813.0,451.0,1395.0,5691.0,100.0,,,91.0,,,667.0,2.0,ghcr.io/zitadel/zitadel,2023-12-20 19:32:57,2.42.3,2670.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,https://charts.zitadel.com,,,,,,,,
45,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2023-12-21 18:07:07.000000,2023-12-21 18:07:06,6402.0,96.0,540.0,139.0,4331.0,179.0,2703.0,4863.0,97.0,,,127.0,,,21098.0,2.0,letsencrypt/boulder-tools,2023-12-11 22:36:34,release-2023-12-11,62996.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2023-12-20 18:46:54.576324,13.0,1954711.0,,,,,,,,,,,,
46,oso,https://github.com/osohq/oso,authorization,Oso is a batteries-included framework for building authorization in your application.,,,28,True,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2023-12-20 18:52:35.000000,2023-12-20 18:11:56,1209.0,9.0,162.0,31.0,1525.0,108.0,101.0,3321.0,100.0,81.0,81.0,65.0,,,36892.0,3.0,,2023-12-20 19:06:36,0.27.2,2675.0,,,,,oso,https://pypi.org/project/oso,36814.0,,,,,1.0,,,,
47,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],28,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2023-12-15 14:20:58.000000,2023-09-08 08:05:44,1354.0,,321.0,48.0,717.0,49.0,277.0,3123.0,100.0,2.0,2.0,109.0,,,1170094.0,3.0,oryd/oathkeeper,2023-07-18 10:23:06,0.40.6,33052.0,https://hub.docker.com/r/oryd/oathkeeper,2023-07-18 10:23:05.234030,34.0,87723160.0,,,,,,,,,,,,
48,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,28,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2023-12-19 08:19:34.000000,2023-12-19 08:19:01,1466.0,85.0,94.0,28.0,1557.0,51.0,272.0,2154.0,55.0,19.0,19.0,24.0,,,1588.0,3.0,ghcr.io/cerbos/cerbos,2023-11-30 08:51:39,0.32.0,52419.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,,
49,did-resolver,https://github.com/decentralized-identity/did-resolver,dids,Universal did-resolver for javascript environments.,,['dif'],28,True,decentralized-identity/did-resolver,did-resolver,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2023-12-19 23:03:24.000000,2023-12-18 01:27:29,384.0,11.0,40.0,23.0,127.0,3.0,18.0,196.0,24.0,5310.0,5310.0,24.0,https://www.npmjs.com/package/did-resolver,182705.0,182705.0,2.0,,2023-03-08 14:05:37,4.1.0,,,,,,,,,,,,,,,,,
50,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,dids,DID resolver for Ethereum Addresses with support for key management.,,['dif'],28,True,decentralized-identity/ethr-did-resolver,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,Apache-2.0,2018-03-31 18:40:19,2023-12-20 12:07:02.000000,2023-12-20 12:07:01,453.0,24.0,66.0,29.0,143.0,5.0,47.0,183.0,55.0,1425.0,1425.0,26.0,https://www.npmjs.com/package/ethr-did-resolver,26008.0,26008.0,2.0,,2023-12-20 12:07:30,10.1.1,,,,,,,,,,,,,,,,,
51,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,27,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2023-12-21 18:01:10.000000,2023-12-21 14:30:00,13243.0,708.0,416.0,29.0,6047.0,441.0,1282.0,5301.0,100.0,,,200.0,,,93.0,3.0,,2023-12-21 13:33:00,ersion/2023.10.5,2537.0,,,,,,,,https://charts.goauthentik.io,,,,,,,,
