,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,updated_github_id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-05-04 19:22:29.000000,2023-05-03 20:03:38,22349.0,907.0,192.0,5654.0,1216.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",428.0,34,True,490.0,197.0,819.0,2565.0,2023-05-04 09:37:21,332.0,552.0,1.0,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-05-04 13:18:00.000000,2023-05-03 12:01:19,1501.0,27.0,11.0,1590.0,48.0,Trinsic SDK repository.,41.0,27,False,83.0,33.0,4.0,370.0,2023-04-24 13:26:38,423.0,1659.0,1.0,1.11.0,7478.0,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/ssi-sdk,https://github.com/Sphereon-Opensource/ssi-sdk,Apache-2.0,2021-04-12 14:54:14,2023-05-04 15:08:06.000000,2023-05-04 15:08:03,3538.0,29.0,22.0,400.0,135.0,Self Sovereign Identity SDK.,48.0,25,True,1028.0,58.0,7.0,34.0,2023-05-01 01:36:25,91.0,4.0,2.0,0.10.1,,5.0,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-05-03 17:22:12.000000,2023-05-02 16:26:08,2707.0,63.0,12.0,326.0,129.0,Use web3 identity / self-sovereign identity (SSI).,55.0,23,True,527.0,99.0,21.0,257.0,2023-05-02 16:52:23,,456.0,2.0,1.2305021626.0,33.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-05-02 16:52:21.014079,4988.0,,,,,,,,,,,,,
4,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-05-03 15:03:36.000000,2023-05-03 13:33:05,1005.0,406.0,623.0,208.0,8577.0,Solid - Re-decentralizing the web (project directory).,41.0,21,True,36.0,1.0,313.0,206.0,2021-12-21 13:00:06,,,1.0,,,,,,,,,,,,,,,,,,,,
5,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-05-04 08:15:13.000000,2023-05-02 16:55:06,1006.0,107.0,75.0,633.0,382.0,A cross-platform toolkit for decentralized identity.,50.0,20,True,18.0,,122.0,193.0,,140.0,,2.0,,,40.0,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,
6,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/sh-id-platform,https://github.com/0xPolygonID/sh-id-platform,,2022-11-08 12:11:09,2023-05-04 18:47:34.000000,2023-05-04 10:54:42,1217.0,21.0,13.0,369.0,55.0,Self Hosted Issuer Node.,23.0,19,False,820.0,9.0,8.0,75.0,2023-05-02 16:24:03,6.0,,2.0,2.0.0,,,,,,,,,,,,,,,,,,,
7,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,6279.0,55.0,96.0,197.0,90.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,18,False,15.0,100.0,3.0,,2021-03-22 11:09:10,38.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,
8,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-05-04 13:00:06.000000,2023-05-04 12:59:48,6882.0,10.0,7.0,478.0,27.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,18,False,734.0,1.0,82.0,1377.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-05-04 19:39:43.000000,2023-05-04 19:26:53,2260.0,1937.0,91.0,1774.0,16329.0,Authentication for the Web.,527.0,41,True,170.0,100.0,124.0,2842.0,2023-04-28 15:09:18,78312.0,1891474.0,1.0,@next-auth/neo4j-adapter@1.0.6,,78312.0,,,,,next-auth,https://www.npmjs.com/package/next-auth,1891474.0,,,,,,,,,,
10,coredns,coredns/coredns,,,machine,"['linux-foundation', 'cncf']",https://github.com/coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-05-04 13:28:29.000000,2023-05-04 11:41:42,3630.0,1796.0,234.0,3846.0,10756.0,CoreDNS is a DNS server that chains plugins.,352.0,41,True,84.0,65.0,66.0,2039.0,2023-02-06 18:30:04,5088.0,2788258.0,1.0,1.10.1,6677058.0,5088.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-02-06 18:31:58.105381,232612404.0,,,,137.0,,,,,,,,,
11,keycloak,keycloak/keycloak,,,idp,['cncf'],https://github.com/keycloak/keycloak,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2023-05-04 18:44:08.000000,2023-05-04 17:08:10,21909.0,5199.0,358.0,11386.0,15902.0,Open Source Identity and Access Management For Modern Applications and Services.,1159.0,40,True,811.0,36.0,1619.0,4430.0,2023-04-26 10:24:38,275.0,59149.0,1.0,21.1.1,1715322.0,275.0,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,
12,oauthlib,oauthlib/oauthlib,,,authentication,,https://github.com/oauthlib/oauthlib,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-04-14 08:21:48.000000,2023-01-10 13:20:21,1645.0,455.0,68.0,480.0,2579.0,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",191.0,40,True,,48.0,74.0,289.0,2023-01-10 13:13:43,362130.0,79910422.0,2.0,3.2.2,,362130.0,,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,79910422.0,,,,,,
13,cert-manager,cert-manager/cert-manager,,,pki,['linux-foundation'],https://github.com/cert-manager/cert-manager,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2023-05-04 17:35:21.000000,2023-05-04 13:18:37,7697.0,1802.0,144.0,2848.0,10279.0,Automatically provision and manage TLS certificates in Kubernetes.,391.0,39,True,224.0,100.0,180.0,2798.0,2023-04-07 13:54:32,459.0,1234814.0,1.0,1.11.1,45688119.0,459.0,,,,,,,,,,,,,,,,,
14,open-policy-agent,open-policy-agent/opa,,,authorization,"['cncf', 'linux-foundation']",https://github.com/open-policy-agent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2023-05-04 19:37:04.000000,2023-05-03 16:03:50,4569.0,1099.0,119.0,3637.0,7996.0,"An open source, general-purpose policy engine.",385.0,39,True,150.0,100.0,297.0,1944.0,2023-04-27 18:26:52,2389.0,3318735.0,1.0,0.52.0,2945993.0,2389.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2023-04-28 18:07:53.109335,290226501.0,,,,30.0,,,,,,,,,
15,vault,hashicorp/vault,,,pki,['hashicorp'],https://github.com/hashicorp/vault,https://github.com/hashicorp/vault,MPL-2.0,2015-02-25 00:15:59,2023-05-04 19:39:37.000000,2023-05-04 18:22:30,17255.0,3639.0,816.0,14954.0,27624.0,"A tool for secrets management, encryption as a service, and privileged access management.",1336.0,38,True,618.0,90.0,863.0,4601.0,2023-04-26 19:33:13,6185.0,,2.0,1.13.2,,6185.0,,,,,,,,,,,,,,,,,
16,ory-hydra,ory/hydra,,,authentication,['ory'],https://github.com/ory/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2023-05-04 16:10:52.000000,2023-05-02 18:20:34,3600.0,1277.0,230.0,1652.0,14078.0,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",282.0,36,True,69.0,100.0,58.0,1369.0,2023-04-11 10:52:32,2.0,4043483.0,2.0,2.1.1,545998.0,2.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2023-04-11 10:52:32.445066,387355408.0,,,,72.0,,,,https://k8s.ory.sh/helm/charts,,,,,
17,ory-kratos,ory/kratos,,,idp,['ory'],https://github.com/ory/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2023-05-04 12:19:39.000000,2023-05-03 16:31:16,3762.0,731.0,110.0,1559.0,8661.0,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, MFA, FIDO2, TOTP, WebAuthn,..",192.0,36,True,141.0,42.0,230.0,859.0,2023-04-18 17:07:18,316.0,1727276.0,1.0,0.13.0,28695.0,316.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2023-04-18 17:07:17.440071,103593571.0,,,,16.0,,,,https://k8s.ory.sh/helm/charts,,,,,
18,casbin,casbin/casbin,,,authorization,,https://github.com/casbin/casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-04-26 13:58:03.000000,2023-04-15 13:21:02,1053.0,1473.0,229.0,447.0,14396.0,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang.",129.0,35,True,14.0,100.0,19.0,698.0,2023-04-15 13:22:27,2381.0,216262.0,2.0,2.68.0,,2381.0,,,,,casbin,https://www.npmjs.com/package/casbin,148364.0,,casbin,https://pypi.org/project/casbin,67898.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,
19,casl,stalniy/casl,,,authorization,,https://github.com/stalniy/casl,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2023-05-04 01:20:14.000000,2023-05-04 01:12:40,1446.0,243.0,40.0,307.0,4816.0,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,65.0,35,True,14.0,100.0,6.0,409.0,2023-04-28 17:52:31,42168.0,1663199.0,2.0,@casl/prisma@1.4.0,,42168.0,,,,,@casl/ability,https://www.npmjs.com/package/@casl/ability,1663199.0,,,,,,,,,,
20,pomerium,pomerium/pomerium,,,machine,,https://github.com/pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2023-05-03 21:57:37.621768,2023-05-03 20:36:42,2844.0,271.0,35.0,3248.0,3532.0,Pomerium is an identity and context-aware access proxy.,88.0,33,True,142.0,100.0,70.0,785.0,2023-05-01 19:40:07,12.0,4007158.0,2.0,0.22.0,41807.0,12.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2023-05-03 21:57:37.621768,208326996.0,,,,10.0,,,,,,,,,
21,ockam,build-trust/ockam,,,machine,,https://github.com/build-trust/ockam,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2023-05-04 19:00:13.000000,2023-05-04 17:37:21,5467.0,340.0,57.0,3608.0,3106.0,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",183.0,32,True,782.0,100.0,187.0,929.0,2023-04-28 00:44:22,175.0,10820.0,2.0,ockam_v0.85.0,194776.0,175.0,,,,,,,,,,,,,,,build-trust/ockam/ockam,,
22,spire,spiffe/spire,,,machine,"['cncf', 'linux-foundation']",https://github.com/spiffe/spire,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2023-05-04 18:10:27.000000,2023-05-04 18:04:14,5946.0,366.0,83.0,2925.0,1398.0,The SPIFFE Runtime Environment.,155.0,32,True,197.0,79.0,181.0,1027.0,2023-04-13 20:22:53,110.0,1832.0,2.0,1.6.3,122785.0,110.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,
23,cas,apereo/cas,,,idp,,https://github.com/apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2023-05-04 03:52:25.040034,2023-04-30 09:33:39,23011.0,3772.0,608.0,4304.0,10219.0,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,335.0,31,True,404.0,100.0,,,2023-03-31 06:34:19,,5762.0,2.0,6.6.7,,,apereo/cas,https://hub.docker.com/r/apereo/cas,2023-05-04 03:52:25.040034,806719.0,,,,121.0,,,,,,,,,
24,boundary,hashicorp/boundary,,,machine,['hashicorp'],https://github.com/hashicorp/boundary,https://github.com/hashicorp/boundary,MPL-2.0,2020-01-08 18:24:07,2023-05-04 19:16:47.000000,2023-05-04 15:29:08,2898.0,228.0,75.0,2909.0,3608.0,Boundary enables identity-based access management for dynamic infrastructure.,129.0,31,True,203.0,43.0,72.0,214.0,2023-04-07 19:27:59,8.0,158555.0,3.0,0.12.2,,8.0,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2023-04-07 19:36:45.208207,6342225.0,,,,10.0,,,,,,,,,
25,spicedb,authzed/spicedb,,,authorization,,https://github.com/authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2023-05-04 15:51:48.000000,2023-05-04 14:02:20,2685.0,177.0,34.0,963.0,3430.0,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",27.0,31,True,212.0,27.0,101.0,226.0,2023-04-19 16:39:52,22.0,11931.0,2.0,1.20.0,12745.0,22.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2023-04-19 16:30:08.515160,237190.0,,,,4.0,,,,,,,,,
26,node-oidc-provider,panva/node-oidc-provider,,,authentication,,https://github.com/panva/node-oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2023-05-03 09:54:21.000000,2023-05-03 09:54:17,2384.0,705.0,69.0,215.0,2649.0,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,61.0,31,True,34.0,100.0,,,2023-04-24 12:35:07,951.0,111432.0,2.0,8.2.0,,951.0,,,,,oidc-provider,https://www.npmjs.com/package/oidc-provider,111432.0,,,,,,,,,,
27,doorkeeper,doorkeeper-gem/doorkeeper,,,authentication,,https://github.com/doorkeeper-gem/doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2023-04-18 07:54:13.000000,2023-04-18 07:54:13,2354.0,996.0,108.0,807.0,5133.0,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,307.0,30,True,27.0,62.0,20.0,825.0,2023-03-29 07:20:04,7701.0,,3.0,5.6.6,,7701.0,,,,,,,,,,,,,,,,doorkeeper,
