,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,updated_github_id,apt_id,github,github-id
32,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2025-04-24 18:28:33.000000,2025-04-23 17:39:27,3730.0,89.0,291.0,41.0,4475.0,103.0,948.0,4231.0,2025-03-28 23:11:31,0.29.2,100.0,22.0,22.0,95.0,,,21502650.0,2.0,,67979.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2025-04-23 18:52:25.768842,11.0,1612613869.0,,,,,,,,,,,,
33,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",33,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2025-04-24 16:17:53.000000,2025-04-24 15:11:10,7163.0,141.0,490.0,77.0,4450.0,148.0,1425.0,1935.0,2025-03-21 19:39:35,1.12.0,100.0,168.0,168.0,216.0,,,8468.0,2.0,,558914.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,
34,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,33,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2025-04-24 14:25:22.000000,2025-04-24 14:25:22,15828.0,1085.0,747.0,115.0,8074.0,1178.0,14496.0,803.0,2025-02-28 19:19:04,7.1.0,100.0,,,717.0,,,15194.0,2.0,,16496.0,wso2/wso2is,https://hub.docker.com/r/wso2/wso2is,2025-03-31 19:25:21.460298,36.0,1959486.0,,,,,,,,,,,,
35,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,33,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2025-03-06 05:02:42.000000,2025-02-10 21:50:06,3612.0,7.0,410.0,29.0,540.0,86.0,358.0,582.0,2025-02-10 21:52:03,7.5.2,53.0,2004.0,2004.0,175.0,,,1352743.0,2.0,,,,,,,,pysaml2,https://pypi.org/project/pysaml2,1352743.0,,,,,,,,,
36,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,32,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2025-04-24 14:54:14.000000,2025-04-24 06:23:06,7298.0,579.0,1197.0,164.0,7259.0,52.0,1273.0,23533.0,2025-03-18 03:57:41,4.39.1,100.0,,,221.0,,,909.0,2.0,,53633.0,,,,,,,,,,,,,,,,,
37,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,32,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2025-04-23 14:17:56.000000,2025-04-23 14:17:44,2646.0,108.0,757.0,69.0,259.0,,,3381.0,2025-04-17 08:31:29,9.0.1,100.0,1681.0,1681.0,74.0,https://www.npmjs.com/package/oidc-provider,379546.0,379546.0,2.0,,,,,,,,,,,,,,,,,,,
38,logto,https://github.com/logto-io/logto,idp,The better auth and identity infrastructure and the open-source alternative to Auth0. No framework restrictions.,,,31,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2025-04-24 13:23:13.000000,2025-04-24 13:18:54,7415.0,300.0,511.0,50.0,6599.0,156.0,476.0,9928.0,2025-03-31 08:09:45,1.26.0,69.0,23.0,23.0,71.0,,,5719.0,2.0,,5414.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2025-04-24 13:22:54.472757,5.0,256210.0,,,,,,,,,,,,
39,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2025-04-24 04:26:37.000000,2025-04-15 09:26:41,3260.0,124.0,1657.0,174.0,2670.0,316.0,846.0,9832.0,2025-04-14 23:46:42,2.42.1,89.0,171.0,171.0,268.0,,,3.0,2.0,,357.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,
40,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],31,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2025-04-18 03:23:28.000000,2025-04-15 04:07:20,1606.0,15.0,351.0,55.0,1309.0,35.0,289.0,5007.0,2025-03-06 12:24:46,0.14.0,53.0,36.0,36.0,74.0,,,603012.0,2.0,,28855.0,oryd/keto,https://hub.docker.com/r/oryd/keto,2025-03-06 12:24:38.310177,9.0,51224274.0,,,,,,,,,,,,
41,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2025-04-24 18:03:26.000000,2025-04-24 16:34:14,4614.0,74.0,285.0,199.0,5296.0,116.0,264.0,3938.0,2025-03-04 18:32:32,0.19.1,68.0,11.0,11.0,181.0,,,301717.0,3.0,,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2025-03-04 18:35:27.449762,18.0,19008186.0,,,,,,,,,,,,
42,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],31,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2025-04-16 11:07:48.000000,2025-03-17 11:12:21,1429.0,10.0,350.0,49.0,755.0,63.0,293.0,3384.0,2025-01-30 10:40:58,0.40.9,100.0,15.0,15.0,112.0,,,989719.0,3.0,,51469.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2025-01-30 10:40:50.482881,41.0,90011914.0,,,,,,,,,,,,
43,py_webauthn,https://github.com/duo-labs/py_webauthn,authentication,Pythonic WebAuthn.,,,31,True,duo-labs/py_webauthn,,https://github.com/duo-labs/py_webauthn,BSD-3-Clause,2017-11-10 18:02:28,2025-03-07 19:43:28.000000,2025-03-07 19:43:16,526.0,18.0,174.0,34.0,138.0,,103.0,920.0,2025-03-07 19:43:46,2.5.2,32.0,1364.0,1364.0,30.0,,,558641.0,2.0,,,,,,,,webauthn,https://pypi.org/project/webauthn,558641.0,,,,,,,,,
44,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,30,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2025-04-24 18:24:51.000000,2025-04-24 18:22:56,17118.0,858.0,1084.0,66.0,10753.0,642.0,2354.0,15840.0,2025-04-08 18:39:57,ersion/2025.2.4,100.0,,,370.0,,,209.0,2.0,1.0,5856.0,,,,,,,,,https://charts.goauthentik.io,,,,,,,,
