,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,trending,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
51,kanidm,kanidm/kanidm,,,idp,,https://github.com/kanidm/kanidm,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2023-08-17 16:18:04.000000,2023-08-17 07:02:24,1468.0,99.0,16.0,1432.0,1591.0,"Kanidm: A simple, secure and fast identity management platform.",49.0,27,True,255.0,15.0,116.0,419.0,2023-08-01 05:15:57,42.0,157.0,3.0,,1.1.0-beta.13,76.0,42.0,kanidm/server,https://hub.docker.com/r/kanidm/server,2023-08-17 06:39:20.782605,8462.0,,,,,,,,,,,,,,
52,jansen,janssenproject/jans,,,idp,['linux-foundation'],https://github.com/JanssenProject/jans,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2023-08-17 18:07:35.000000,2023-08-17 15:20:51,32809.0,48.0,29.0,3300.0,267.0,"Welcome to the Janssen Project, a collaboration hub for digital identity infrastructure software... and introducing..",107.0,27,True,498.0,100.0,306.0,2206.0,2023-08-02 13:55:07,,469.0,3.0,,1.0.16,1877.0,,,,,,,,,,,,,,,,,,,
53,did-jwt-vc,decentralized-identity/did-jwt-vc,,,decentralized,['dif'],https://github.com/decentralized-identity/did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2023-08-15 16:58:36.000000,2023-08-14 02:01:15,324.0,37.0,23.0,87.0,153.0,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,22.0,27,True,15.0,43.0,4.0,45.0,2023-08-04 05:15:04,683.0,35467.0,1.0,,3.2.5,,683.0,,,,,,did-jwt-vc,https://www.npmjs.com/package/did-jwt-vc,35467.0,,,,,,,,,,
54,node-oidc-provider,panva/node-oidc-provider,,,authentication,,https://github.com/panva/node-oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2023-08-17 09:07:22.000000,2023-08-17 09:07:22,2400.0,713.0,72.0,223.0,2768.0,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,67.0,26,True,10.0,100.0,,,2023-05-30 16:30:27,2.0,183882.0,3.0,,8.2.2,,2.0,,,,,,oidc-provider,https://www.npmjs.com/package/oidc-provider,183882.0,,,,,,,,,,
55,node-solid-server,nodesolidserver/node-solid-server,,,decentralized,['solid'],https://github.com/nodeSolidServer/node-solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2023-07-23 09:53:03.000000,2023-04-06 13:30:49,2951.0,285.0,80.0,829.0,1746.0,Solid server on top of the file-system in NodeJS.,85.0,26,True,,51.0,280.0,610.0,2023-03-17 17:09:04,2.0,8772.0,2.0,,5.7.7,,2.0,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2023-04-06 13:43:13.183129,905788.0,,solid-server,https://www.npmjs.com/package/solid-server,307.0,4.0,,,,,,,,,
56,conjur,cyberark/conjur,,,machine,,https://github.com/cyberark/conjur,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2023-08-17 15:59:14.000000,2023-08-16 13:38:43,3372.0,118.0,47.0,1793.0,688.0,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,93.0,26,True,83.0,72.0,207.0,901.0,2023-05-17 19:48:54,,80526.0,3.0,,1.19.5,357.0,,cyberark/conjur,https://hub.docker.com/r/cyberark/conjur,2023-08-16 19:10:15.652052,6924890.0,,,,,30.0,,,,,,,,,
57,authentik,goauthentik/authentik,,,idp,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2023-08-17 17:39:48.000000,2023-08-17 17:38:39,12221.0,350.0,20.0,4971.0,4386.0,The authentication glue you need.,179.0,25,True,639.0,100.0,371.0,1082.0,2023-07-10 11:46:48,,78.0,3.0,,ersion/2023.6.1,2044.0,,,,,,,,,,,,,,https://charts.goauthentik.io,,,,,
58,iota-identity,iotaledger/identity.rs,,,decentralized,,https://github.com/iotaledger/identity.rs,https://github.com/iotaledger/identity.rs,Apache-2.0,2020-02-06 14:33:11,2023-08-17 15:08:54.000000,2023-08-16 09:17:44,1381.0,65.0,24.0,941.0,256.0,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,32.0,25,True,44.0,20.0,56.0,199.0,2023-08-17 15:09:36,96.0,,2.0,,0.6.3,,96.0,,,,,,,,,,,,,,,,,,
59,opal,permitio/opal,,,authorization,,https://github.com/permitio/opal,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2023-08-17 06:43:10.000000,2023-08-08 12:00:44,1652.0,110.0,19.0,323.0,1762.0,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",41.0,24,True,71.0,31.0,29.0,74.0,2023-06-27 11:40:41,,2852.0,3.0,,0.7.3,509.0,,permitio/opal-server,https://hub.docker.com/r/permitio/opal-server,2023-06-27 11:45:23.570678,85020.0,,,,,,,,,,,,,,
60,lemur,netflix/lemur,,,pki,,https://github.com/Netflix/lemur,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2023-08-14 20:12:24.000000,2023-08-14 20:12:24,5651.0,307.0,402.0,3970.0,1645.0,Repository for the Lemur Certificate Manager.,148.0,24,True,189.0,26.0,129.0,394.0,2023-07-05 22:37:33,,0.0,3.0,,1.5.0,51.0,,,,,,,,,,,,,,,,,,,
61,aries-python,hyperledger/aries-cloudagent-python,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-cloudagent-python,https://github.com/hyperledger/aries-cloudagent-python,Apache-2.0,2019-06-24 18:12:14,2023-08-17 17:15:58.000000,2023-08-17 14:50:33,7849.0,416.0,29.0,1421.0,361.0,Hyperledger Aries Cloud Agent Python (ACA-Py) is a foundation for building decentralized identity applications and..,122.0,24,True,474.0,60.0,220.0,786.0,2023-07-24 22:28:58,,,2.0,,0.9.0,,,,,,,,,,,,,,,,,,,,
62,deepfacelive,iperov/DeepFaceLive,,,face,,https://github.com/iperov/DeepFaceLive,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2023-07-28 10:14:16.000000,2023-07-28 10:14:10,326.0,2440.0,249.0,25.0,17115.0,Real-time face swap for PC streaming or video calls.,11.0,23,True,4.0,35.0,1.0,135.0,2023-01-21 09:26:53,,20314.0,3.0,,TINA_SHIFT,528174.0,,,,,,,,,,,,,,,,,,,
63,supertokens,supertokens/supertokens-core,,,idp,,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2023-08-16 14:00:27.000000,2023-08-16 11:59:15,836.0,359.0,62.0,325.0,9839.0,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,24.0,23,True,105.0,34.0,97.0,325.0,2023-08-16 14:01:18,,,3.0,,6.0.10,,,registry.supertokens.io/supertokens/supertokens-postgresql,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,,,
64,permify,permify/permify,,,authorization,,https://github.com/Permify/permify,https://github.com/Permify/permify,Apache-2.0,2022-07-14 11:16:57,2023-08-16 20:17:41.000000,2023-08-11 09:04:02,1738.0,52.0,13.0,501.0,1579.0,Permify is an open-source authorization service inspired by Google Zanzibar.,23.0,23,True,324.0,33.0,28.0,83.0,2023-08-05 13:40:56,,82.0,3.0,,0.4.8,986.0,,ghcr.io/permify/permify,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,,,
65,freeipa,freeipa/freeipa,,,idp,,https://github.com/freeipa/freeipa,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2023-08-17 12:33:58.000000,2023-08-17 12:28:26,15658.0,300.0,51.0,6961.0,985.0,"Mirror of FreeIPA, an integrated security information management solution.",218.0,23,True,94.0,,,,,,40788.0,3.0,,,,,freeipa/freeipa-server,https://hub.docker.com/r/freeipa/freeipa-server,2023-08-17 11:06:13.826500,5506486.0,,,,,151.0,,,,,,,,,
