,name,homepage,category,description,resource,labels,projectrank,show,github_id,dockerhub_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,helm_id,maven_id,maven_url,trending,gem_url,brew_id,apt_id,github,github-id
40,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,31,True,kanidm/kanidm,kanidm/server,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2026-05-07 02:36:13.000000,2026-05-07 02:36:13,2716.0,109.0,319.0,21.0,2859.0,235.0,989.0,4912.0,2026-05-07 02:20:01,1.10.1,446.0,9560.0,58.0,42.0,42.0,153.0,https://hub.docker.com/r/kanidm/server,2026-05-07 02:28:43.493774,4.0,831315.0,2.0,,,,,,,,,,,,,,,,
41,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,hashicorp/boundary,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2026-05-07 19:04:38.000000,2026-05-07 19:04:35,5093.0,99.0,302.0,186.0,6282.0,109.0,286.0,4046.0,2026-04-30 15:23:16,0.21.3,,306497.0,78.0,13.0,13.0,205.0,https://hub.docker.com/r/hashicorp/boundary,2026-04-30 15:31:22.303713,19.0,23293827.0,3.0,,,,,,,,,,,,,,,,
42,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,31,True,wso2/product-is,wso2/wso2is,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2026-05-07 01:42:52.000000,2026-05-07 01:42:52,18498.0,815.0,971.0,108.0,9652.0,1505.0,16445.0,893.0,2025-10-24 04:51:27,7.2.0,22075.0,14293.0,100.0,,,749.0,https://hub.docker.com/r/wso2/wso2is,2025-11-04 21:41:11.324073,40.0,2016469.0,2.0,,,,,,,,,,,,,,,,
43,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,30,True,zitadel/zitadel,ghcr.io/zitadel/zitadel,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2026-05-07 14:48:56.000000,2026-05-04 05:05:54,4463.0,223.0,1046.0,58.0,7538.0,877.0,2706.0,13714.0,2026-05-04 07:16:10,3.4.10,18542.0,1545.0,100.0,1.0,1.0,254.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,3.0,,,,,,,,https://charts.zitadel.com,,,,,,,,
44,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,30,True,stalniy/casl,,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2026-05-07 12:41:58.000000,2026-05-04 13:57:35,1783.0,46.0,298.0,38.0,614.0,10.0,501.0,6915.0,2026-04-20 04:58:05,@casl/ability@6.8.1,,5246070.0,100.0,,,78.0,,,,,2.0,@casl/ability,https://www.npmjs.com/package/@casl/ability,5246070.0,,,,,,,,-7.0,,,,,
45,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,30,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2026-05-05 06:20:02.000000,2026-05-05 06:20:02,2587.0,65.0,1041.0,99.0,906.0,38.0,865.0,5480.0,2026-03-04 12:04:39,.5.9.0,,,71.0,11221.0,11221.0,341.0,,,,,2.0,,,,,,,,,,,6.0,doorkeeper,,,,
46,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2026-05-07 14:54:37.000000,2026-04-15 10:54:27,3035.0,10.0,142.0,59.0,341.0,41.0,323.0,1111.0,2026-04-15 13:40:47,5.9.1,46424.0,24541.0,47.0,232.0,232.0,53.0,,,,,2.0,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,24148.0,,,,,,,,,,
47,jansen,https://github.com/JanssenProject/jans,idp,"The Janssen Project is a home for open source IAM components, featuring Auth Server (OAuth/OpenID), Agama low-code..",,['linux-foundation'],30,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2026-05-07 18:27:07.000000,2026-05-07 14:33:20,36035.0,456.0,167.0,30.0,8193.0,253.0,5368.0,628.0,2026-04-22 06:54:36,2.0.0,11657.0,376.0,100.0,16.0,16.0,145.0,,,,,3.0,,,,,,,,,,,,,,,,
48,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,29,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2026-05-01 09:36:42.000000,2026-05-01 09:34:52,1889.0,33.0,13257.0,1518.0,544.0,5.0,897.0,55218.0,2025-12-21 02:44:08,3.0.0,81491.0,936.0,5.0,,,98.0,,,,,3.0,,,,,,,,,,,,,,,,
49,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],29,True,letsencrypt/boulder,letsencrypt/boulder-tools,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2026-05-07 18:42:00.000000,2026-05-05 00:00:40,7339.0,82.0,617.0,129.0,5406.0,178.0,3130.0,5711.0,2026-05-05 01:58:43,0.20260504.0,34149.0,16510.0,100.0,,,148.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2026-04-07 23:09:29.625326,13.0,2058615.0,2.0,,,,,,,,,,,,,,,,
50,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,29,True,cerbos/cerbos,ghcr.io/cerbos/cerbos,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2026-05-07 13:21:08.000000,2026-05-07 13:21:07,2520.0,184.0,181.0,34.0,2686.0,49.0,368.0,4396.0,2026-05-05 11:34:52,0.53.0,74254.0,1197.0,77.0,34.0,34.0,33.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,3.0,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,,
51,lemur,https://github.com/Netflix/lemur,pki,Repository for the Lemur Certificate Manager.,,,29,True,netflix/lemur,,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2026-05-06 18:17:04.000000,2026-05-06 18:17:04,7319.0,199.0,319.0,413.0,4815.0,110.0,452.0,1769.0,2026-04-28 00:10:31,1.9.0,66.0,0.0,32.0,47.0,47.0,159.0,,,,,2.0,,,,,,,,,,,1.0,,,,,
