,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,trending,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,new_addition,brew_id,gem_url,apt_id
40,logto,logto-io/logto,,,idp,,https://github.com/logto-io/logto,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2023-05-09 10:26:59.000000,2023-05-09 07:14:56,4105.0,200.0,33.0,3545.0,5697.0,Logto is a cost-effective open-source alternative to Auth0. It offers a seamless developer experience and is well-..,33.0,28,True,781.0,39.0,48.0,197.0,2023-04-27 12:15:06,6.0,483.0,2.0,1.2.3,1579.0,6.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2023-05-09 07:27:22.163370,8326.0,,,,,,1.0,,,,,,,,,,
41,boulder,letsencrypt/boulder,,,pki,['linux-foundation'],https://github.com/letsencrypt/boulder,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2023-05-09 06:29:36.000000,2023-05-08 19:55:20,6167.0,526.0,138.0,4072.0,4627.0,"An ACME-based certificate authority, written in Go.",125.0,28,True,151.0,65.0,186.0,2601.0,2023-05-08 22:06:21,,22682.0,2.0,release-2023-05-08,51789.0,,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2023-05-03 02:37:18.589906,1917362.0,,,,,,12.0,,,,,,,,,,
42,keto,ory/keto,,,authorization,['ory'],https://github.com/ory/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2023-05-08 04:01:08.000000,2023-04-19 14:14:39,1395.0,287.0,59.0,959.0,4021.0,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",66.0,28,True,83.0,50.0,45.0,248.0,,2.0,731347.0,3.0,,14718.0,2.0,oryd/keto,https://hub.docker.com/r/oryd/keto,2023-03-09 14:30:27.177505,45326680.0,,,,,,6.0,,,,,,,,,,
43,zitadel,zitadel/zitadel,,,idp,,https://github.com/zitadel/zitadel,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2023-05-08 03:12:11.000000,2023-05-05 15:34:53,2152.0,181.0,24.0,4074.0,3377.0,ZITADEL - The best of Auth0 and Keycloak combined. Built for the serverless era.,52.0,28,True,229.0,100.0,336.0,1106.0,2023-05-03 05:10:12,1.0,317.0,2.0,2.25.6,1905.0,1.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,,,https://charts.zitadel.com,,,,,,
44,oso,osohq/oso,,,authorization,,https://github.com/osohq/oso,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2023-05-05 21:07:42.000000,2023-05-04 20:09:28,1191.0,146.0,30.0,1503.0,3031.0,Oso is a batteries-included framework for building authorization in your application.,62.0,28,True,18.0,100.0,98.0,97.0,2023-04-03 23:25:23,70.0,40929.0,3.0,0.27.0,2158.0,70.0,,,,,,,,,,,oso,https://pypi.org/project/oso,40850.0,,,,,,,
45,cerbos,cerbos/cerbos,,,authorization,,https://github.com/cerbos/cerbos,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2023-05-09 05:00:06.000000,2023-05-08 09:35:30,1232.0,61.0,22.0,1309.0,1361.0,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",18.0,27,True,85.0,49.0,31.0,210.0,2023-04-17 07:47:59,11.0,1301.0,3.0,0.26.0,33827.0,11.0,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,
46,jansen,janssenproject/jans,,,idp,['linux-foundation'],https://github.com/JanssenProject/jans,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2023-05-09 10:23:00.000000,2023-05-09 09:47:47,32228.0,48.0,23.0,2728.0,219.0,"Welcome to the Janssen Project, an open standards-based digital Identity platform introducing Agama, a programming..",107.0,27,True,625.0,100.0,310.0,1811.0,2023-04-18 11:47:38,,366.0,3.0,1.0.12,733.0,,,,,,,,,,,,,,,,,,,,,
47,did-resolver,decentralized-identity/did-resolver,,,decentralized,['dif'],https://github.com/decentralized-identity/did-resolver,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2023-05-08 01:44:42.000000,2023-03-08 14:05:28,373.0,42.0,23.0,123.0,177.0,Universal did-resolver for javascript environments.,24.0,27,True,2.0,24.0,3.0,18.0,2023-03-08 14:05:37,3912.0,150488.0,1.0,4.1.0,,3912.0,,,,,,,did-resolver,https://www.npmjs.com/package/did-resolver,150488.0,,,,,,,,,,,
48,kanidm,kanidm/kanidm,,,idp,,https://github.com/kanidm/kanidm,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2023-05-08 09:08:41.000000,2023-05-08 08:25:27,1196.0,85.0,14.0,1143.0,1448.0,"Kanidm: A simple, secure and fast identity management platform.",40.0,26,True,197.0,14.0,105.0,352.0,2023-05-01 01:14:41,42.0,101.0,3.0,1.1.0-alpha.12,18.0,42.0,kanidm/server,https://hub.docker.com/r/kanidm/server,2023-05-01 02:10:10.116593,5156.0,,1.0,,,,,,,,,,,,,,
49,conjur,cyberark/conjur,,,machine,,https://github.com/cyberark/conjur,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2023-05-09 10:59:43.000000,2023-05-04 17:16:42,3282.0,116.0,44.0,1684.0,668.0,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,88.0,26,True,62.0,67.0,206.0,901.0,2023-01-26 20:38:30,,82308.0,3.0,1.19.3,305.0,,cyberark/conjur,https://hub.docker.com/r/cyberark/conjur,2023-05-04 17:46:49.374283,6831233.0,,,,,,30.0,,,,,,,,,,
