,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
14,open-policy-agent,open-policy-agent/opa,,,authorization,"['cncf', 'linux-foundation']",https://github.com/open-policy-agent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2023-05-25 17:38:22.000000,2023-05-25 17:38:21,4595.0,1106.0,120.0,3669.0,8069.0,"An open source, general-purpose policy engine.",390.0,39,True,141.0,100.0,303.0,1958.0,2023-04-27 18:26:52,2461.0,3820591.0,1.0,0.52.0,3091091.0,2461.0,,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2023-05-25 14:53:41.810451,334638460.0,,,,,31.0,,,,,,,,,
15,vault,hashicorp/vault,,,pki,['hashicorp'],https://github.com/hashicorp/vault,https://github.com/hashicorp/vault,MPL-2.0,2015-02-25 00:15:59,2023-05-25 18:01:24.000000,2023-05-25 17:34:48,17379.0,3651.0,820.0,15193.0,27746.0,"A tool for secrets management, encryption as a service, and privileged access management.",1342.0,38,True,557.0,90.0,872.0,4618.0,2023-04-26 19:33:13,6230.0,,2.0,1.13.2,,6230.0,,,,,,,,,,,,,,,,,,,
16,passport,jaredhanson/passport,,,authentication,,https://github.com/jaredhanson/passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2023-05-02 16:33:16.000000,2023-03-10 17:27:55,617.0,1154.0,318.0,150.0,21481.0,"Simple, unobtrusive authentication for Node.js.",38.0,37,True,4.0,,329.0,416.0,,845879.0,8594390.0,2.0,,,845879.0,,,,,,,passport,https://www.npmjs.com/package/passport,8594390.0,,,,,,,,,,
17,ory-hydra,ory/hydra,,,authentication,['ory'],https://github.com/ory/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2023-05-25 12:07:13.000000,2023-05-24 08:56:34,3610.0,1278.0,230.0,1657.0,14134.0,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",283.0,36,True,75.0,100.0,60.0,1374.0,2023-05-24 08:55:23,2.0,4100539.0,2.0,2.1.2,558537.0,2.0,,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2023-05-24 08:55:23.133705,392800773.0,,,,,74.0,,,,https://k8s.ory.sh/helm/charts,,,,,
18,ory-kratos,ory/kratos,,,idp,['ory'],https://github.com/ory/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2023-05-25 14:43:24.000000,2023-05-25 14:43:22,3775.0,738.0,111.0,1573.0,8755.0,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, MFA, FIDO2, TOTP, WebAuthn,..",196.0,36,True,107.0,42.0,231.0,867.0,2023-04-18 17:07:18,321.0,1774011.0,1.0,0.13.0,29398.0,321.0,,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2023-04-18 17:07:17.440071,106396639.0,,,,,16.0,,,,https://k8s.ory.sh/helm/charts,,,,,
19,speechbrain,speechbrain/speechbrain,,,voice,,https://github.com/speechbrain/speechbrain,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2023-05-25 13:54:27.000000,2023-05-25 13:05:24,8126.0,1062.0,121.0,897.0,5996.0,A PyTorch-based Speech Toolkit.,202.0,36,True,225.0,8.0,107.0,778.0,2023-03-24 17:40:58,725.0,92709.0,1.0,0.5.14,,725.0,1.0,,,,,,,,,,speechbrain,https://pypi.org/project/speechbrain,92709.0,,,,,,
20,casbin,casbin/casbin,,,authorization,,https://github.com/casbin/casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-05-25 02:17:40.000000,2023-05-23 16:31:07,1055.0,1493.0,233.0,451.0,14790.0,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang.",130.0,35,True,12.0,100.0,24.0,701.0,2023-05-23 16:32:32,2424.0,210029.0,2.0,2.69.1,,2424.0,,,,,,,casbin,https://www.npmjs.com/package/casbin,141652.0,,casbin,https://pypi.org/project/casbin,68377.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,
21,casl,stalniy/casl,,,authorization,,https://github.com/stalniy/casl,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2023-05-22 02:18:27.000000,2023-05-15 06:43:39,1474.0,244.0,40.0,313.0,4849.0,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,65.0,35,True,42.0,100.0,6.0,410.0,2023-05-05 18:06:03,44209.0,1686616.0,2.0,@casl/mongoose@7.1.3,,44209.0,,,,,,,@casl/ability,https://www.npmjs.com/package/@casl/ability,1686616.0,,,,,,,,,,
22,paddlespeech,PaddlePaddle/PaddleSpeech,,,voice,,https://github.com/PaddlePaddle/PaddleSpeech,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2023-05-25 07:01:53.000000,2023-05-25 06:28:34,4661.0,1471.0,180.0,1646.0,7474.0,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",120.0,34,True,140.0,15.0,183.0,1267.0,2023-04-14 09:36:52,57.0,115664.0,3.0,r1.4.1,,57.0,,,,,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,115664.0,,,,,,
23,face-api-js,justadudewhohacks/face-api.js,,,face,,https://github.com/justadudewhohacks/face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2023-01-05 16:14:12.000000,2020-04-22 16:40:10,488.0,3426.0,336.0,106.0,15031.0,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,25.0,33,False,,38.0,408.0,387.0,2020-03-22 14:01:55,6410.0,102937.0,1.0,0.22.2,,6410.0,,,,,,,face-api.js,https://www.npmjs.com/package/face-api.js,102937.0,,,,,,,,,,
24,insightface,deepinsight/insightface,,,face,,https://github.com/deepinsight/insightface,https://github.com/deepinsight/insightface,MIT,2017-09-01 00:36:51,2023-05-22 12:02:38.000000,2023-05-22 12:02:38,2246.0,4259.0,476.0,138.0,14880.0,State-of-the-art 2D and 3D Face Analysis Project.,53.0,33,True,61.0,1.0,1235.0,936.0,2023-04-02 07:43:27,312.0,11371.0,1.0,0.7,11369.0,312.0,1.0,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,137.0,,,,,,,,,,,,,,
25,pomerium,pomerium/pomerium,,,machine,,https://github.com/pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2023-05-25 15:05:13.000000,2023-05-24 15:44:17,2879.0,269.0,35.0,3290.0,3558.0,Pomerium is an identity and context-aware access proxy.,89.0,33,True,132.0,100.0,68.0,789.0,2023-05-04 23:49:25,12.0,5443998.0,2.0,0.22.1,42531.0,12.0,,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2023-05-24 20:58:16.817726,283040892.0,,,,,10.0,,,,,,,,,
26,ockam,build-trust/ockam,,,machine,,https://github.com/build-trust/ockam,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2023-05-25 18:05:46.000000,2023-05-25 16:30:31,5694.0,350.0,57.0,3707.0,3242.0,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",185.0,33,True,867.0,100.0,190.0,953.0,2023-05-12 20:40:49,178.0,11272.0,2.0,ockam_v0.87.0,202902.0,178.0,1.0,,,,,,,,,,,,,,,,build-trust/ockam/ockam,,
27,cas,apereo/cas,,,idp,,https://github.com/apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2023-05-25 03:53:10.000000,2023-05-25 02:52:22,23140.0,3776.0,608.0,4318.0,10251.0,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,336.0,31,True,370.0,100.0,,,2023-03-31 06:34:19,,5787.0,2.0,6.6.7,,,,apereo/cas,https://hub.docker.com/r/apereo/cas,2023-05-24 17:19:55.019404,810286.0,,,,,123.0,,,,,,,,,
28,spicedb,authzed/spicedb,,,authorization,,https://github.com/authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2023-05-25 16:40:36.888542,2023-05-25 15:47:16,2835.0,181.0,33.0,1003.0,3512.0,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",27.0,31,True,327.0,29.0,93.0,247.0,2023-05-11 21:44:55,22.0,16182.0,2.0,1.21.0,14296.0,22.0,,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2023-05-25 16:40:36.888542,324835.0,,,,,4.0,,,,,,,,,
29,node-oidc-provider,panva/node-oidc-provider,,,authentication,,https://github.com/panva/node-oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2023-05-25 09:23:16.000000,2023-05-20 06:41:12,2391.0,709.0,69.0,217.0,2669.0,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,62.0,31,True,30.0,100.0,,,2023-05-06 15:35:59,977.0,108758.0,2.0,8.2.1,,977.0,,,,,,,oidc-provider,https://www.npmjs.com/package/oidc-provider,108758.0,,,,,,,,,,
30,spire,spiffe/spire,,,machine,"['cncf', 'linux-foundation']",https://github.com/spiffe/spire,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2023-05-25 17:02:44.000000,2023-05-25 03:48:46,5980.0,367.0,83.0,2964.0,1409.0,The SPIFFE Runtime Environment.,156.0,31,True,174.0,80.0,159.0,1053.0,2023-05-17 21:56:54,111.0,1862.0,2.0,1.6.4,124775.0,111.0,,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,,
31,ageitgey-face-recognition,ageitgey/face_recognition,,,face,,https://github.com/ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-05-23 09:52:12.000000,2022-06-10 09:12:18,238.0,12637.0,1575.0,217.0,48361.0,The worlds simplest facial recognition api for Python and the command line.,54.0,30,True,,2.0,697.0,578.0,2018-04-02 17:18:43,,63585.0,2.0,1.2.2,1104.0,,,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,6451.0,,,,,15.0,face_recognition,https://pypi.org/project/face_recognition,63483.0,,,,,,
32,doorkeeper,doorkeeper-gem/doorkeeper,,,authentication,,https://github.com/doorkeeper-gem/doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2023-05-22 09:03:20.000000,2023-05-13 14:03:33,2356.0,997.0,108.0,811.0,5143.0,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,308.0,30,True,22.0,62.0,20.0,825.0,2023-03-29 07:20:04,7801.0,,3.0,5.6.6,,7801.0,,,,,,,,,,,,,,,,,,doorkeeper,
33,boundary,hashicorp/boundary,,,machine,['hashicorp'],https://github.com/hashicorp/boundary,https://github.com/hashicorp/boundary,MPL-2.0,2020-01-08 18:24:07,2023-05-25 17:33:12.000000,2023-05-25 14:43:52,2931.0,227.0,75.0,2948.0,3615.0,Boundary enables identity-based access management for dynamic infrastructure.,131.0,30,True,173.0,43.0,73.0,218.0,2023-04-07 19:27:59,8.0,169403.0,3.0,0.12.2,,8.0,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2023-04-07 19:36:45.208207,6776155.0,,,,,10.0,,,,,,,,,
34,authelia,authelia/authelia,,,idp,,https://github.com/authelia/authelia,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2023-05-25 13:30:51.000000,2023-05-25 02:26:19,4349.0,902.0,155.0,4148.0,16428.0,The Single Sign-On Multi-Factor portal for web apps.,126.0,29,True,395.0,100.0,68.0,1034.0,2022-12-21 09:01:04,2.0,563.0,2.0,4.37.5,22525.0,2.0,,,,,,,,,,,,,,,,,,,
35,openface,cmusatyalab/openface,,,face,,https://github.com/cmusatyalab/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-05-24 04:12:30.000000,2019-11-26 15:56:28,734.0,3468.0,762.0,73.0,14760.0,Face recognition with deep neural networks.,30.0,29,False,,4.0,9.0,370.0,2016-02-25 17:42:46,66.0,1730.0,2.0,0.2.1,,66.0,1.0,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,159227.0,,,,,70.0,,,,,,,,,
36,dex,dexidp/dex,,,authentication,['linux-foundation'],https://github.com/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2023-05-25 04:57:36.000000,2023-05-23 15:34:08,2471.0,1415.0,175.0,1738.0,8137.0,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,216.0,29,True,139.0,79.0,281.0,775.0,2023-03-20 13:29:42,15.0,2.0,3.0,2.36.0,258.0,15.0,,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,,
37,deepface,serengil/deepface,,,face,,https://github.com/serengil/deepface,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2023-05-24 18:52:14.000000,2023-05-11 15:53:52,1012.0,1321.0,100.0,75.0,6396.0,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",41.0,29,True,30.0,,10.0,677.0,,1458.0,55632.0,2.0,,,1458.0,-1.0,,,,,,,,,,deepface,https://pypi.org/project/deepface,55632.0,,,,,,
38,oathkeeper,ory/oathkeeper,,,machine,['ory'],https://github.com/ory/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2023-05-25 08:44:02.000000,2023-05-25 08:44:01,1312.0,305.0,48.0,698.0,2969.0,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",106.0,29,True,25.0,100.0,51.0,263.0,2023-04-26 17:01:50,2.0,1161078.0,3.0,0.40.3,23238.0,2.0,,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2023-04-26 17:01:50.032478,78929792.0,,,,,25.0,,,,,,,,,
39,node-solid-server,nodesolidserver/node-solid-server,,,decentralized,['solid'],https://github.com/nodeSolidServer/node-solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2023-04-17 21:26:30.000000,2023-04-06 13:30:49,2951.0,284.0,82.0,828.0,1739.0,Solid server on top of the file-system in NodeJS.,85.0,29,True,12.0,51.0,277.0,610.0,2023-03-17 17:09:04,38.0,8733.0,1.0,5.7.7,,38.0,,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2023-04-06 13:43:13.183129,856792.0,,solid-server,https://www.npmjs.com/package/solid-server,495.0,4.0,,,,,,,,,
40,identity-server,duendesoftware/identityserver,,,authentication,,https://github.com/DuendeSoftware/IdentityServer,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2023-05-25 17:21:30.000000,2023-05-25 17:21:27,4765.0,224.0,38.0,600.0,1037.0,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,290.0,29,True,242.0,41.0,60.0,202.0,2023-05-25 16:47:42,1041.0,,3.0,6.3.1,,1041.0,,,,,,,,,,,,,,,,,,,
41,did-jwt,decentralized-identity/did-jwt,,,decentralized,['dif'],https://github.com/decentralized-identity/did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2023-05-22 02:27:56.000000,2023-05-17 19:03:55,571.0,62.0,39.0,200.0,291.0,Create and verify DID verifiable JWTs in Javascript.,40.0,29,True,18.0,95.0,8.0,73.0,2023-05-17 19:04:34,3351.0,88752.0,1.0,7.2.0,,3351.0,,,,,,,did-jwt,https://www.npmjs.com/package/did-jwt,88752.0,,,,,,,,,,
42,casdoor,casdoor/casdoor,,,idp,,https://github.com/casdoor/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2023-05-25 02:54:54.000000,2023-05-25 02:45:13,1637.0,722.0,50.0,1025.0,6088.0,An open-source Identity and Access Management (IAM) / Single-Sign-On (SSO) platform powered by Casbin and AI gateway..,122.0,28,True,246.0,100.0,98.0,709.0,2023-05-25 02:54:54,1.0,1565.0,2.0,1.323.2,,1.0,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2023-05-24 17:07:19.507806,48538.0,,,,,6.0,,,,,,,,,
43,logto,logto-io/logto,,,idp,,https://github.com/logto-io/logto,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2023-05-25 14:36:15.407652,2023-05-25 05:53:45,4173.0,204.0,35.0,3622.0,5809.0,Logto is a cost-effective open-source alternative to Auth0. It offers a seamless developer experience and is well-..,35.0,28,True,673.0,42.0,49.0,203.0,2023-05-23 15:06:56,6.0,532.0,2.0,1.4.0,1756.0,6.0,,svhd/logto,https://hub.docker.com/r/svhd/logto,2023-05-25 14:36:15.407652,9152.0,,,,,1.0,,,,,,,,,
44,boulder,letsencrypt/boulder,,,pki,['linux-foundation'],https://github.com/letsencrypt/boulder,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2023-05-25 15:28:53.000000,2023-05-24 21:23:27,6197.0,525.0,138.0,4102.0,4640.0,"An ACME-based certificate authority, written in Go.",125.0,28,True,143.0,68.0,181.0,2617.0,2023-05-24 19:23:31,,22764.0,2.0,release-2023-05-22a,52295.0,,,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2023-05-03 02:37:18.589906,1921992.0,,,,,12.0,,,,,,,,,
45,keto,ory/keto,,,authorization,['ory'],https://github.com/ory/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2023-05-23 04:01:36.000000,2023-04-19 14:14:39,1395.0,286.0,59.0,964.0,4041.0,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",66.0,28,True,50.0,50.0,45.0,250.0,,2.0,756123.0,3.0,,14872.0,2.0,,oryd/keto,https://hub.docker.com/r/oryd/keto,2023-03-09 14:30:27.177505,46862585.0,,,,,6.0,,,,,,,,,
46,zitadel,zitadel/zitadel,,,idp,,https://github.com/zitadel/zitadel,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2023-05-25 16:29:56.000000,2023-05-25 10:46:40,2204.0,182.0,23.0,4134.0,3508.0,ZITADEL - The best of Auth0 and Keycloak combined. Built for the serverless era.,54.0,28,True,237.0,100.0,361.0,1127.0,2023-05-15 15:28:02,1.0,367.0,2.0,2.27.0,1838.0,1.0,,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,,https://charts.zitadel.com,,,,,
47,oso,osohq/oso,,,authorization,,https://github.com/osohq/oso,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2023-05-05 21:07:42.000000,2023-05-04 20:09:28,1191.0,147.0,31.0,1503.0,3045.0,Oso is a batteries-included framework for building authorization in your application.,62.0,28,True,18.0,100.0,100.0,97.0,2023-04-03 23:25:23,70.0,44108.0,3.0,0.27.0,2184.0,70.0,,,,,,,,,,,oso,https://pypi.org/project/oso,44028.0,,,,,,
