,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,trending,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-08-03 18:12:53.000000,2023-08-03 18:12:53,23028.0,949.0,191.0,6022.0,1283.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",447.0,34,True,653.0,211.0,893.0,2681.0,2023-07-31 12:40:39,364.0,630.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/SSI-SDK,https://github.com/Sphereon-Opensource/SSI-SDK,Apache-2.0,2021-04-12 14:54:14,2023-08-03 08:58:57.000000,2023-08-02 00:37:42,4031.0,42.0,33.0,463.0,184.0,Self Sovereign Identity SDK.,56.0,25,True,426.0,66.0,10.0,44.0,2023-07-31 01:48:25,119.0,6.0,2.0,0.14.1,11.0,,,,,,,,,,,,,,,,,,,,
2,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-08-01 18:07:13.000000,2023-08-01 17:49:57,1546.0,26.0,14.0,1662.0,50.0,Trinsic SDK repository.,41.0,24,False,45.0,33.0,4.0,370.0,2023-04-24 13:26:38,9.0,1597.0,2.0,1.11.0,,8221.0,,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-08-03 17:40:11.000000,2023-08-03 17:39:51,2539.0,59.0,12.0,317.0,142.0,Use web3 identity / self-sovereign identity (SSI).,46.0,23,True,168.0,139.0,9.0,229.0,2023-08-02 18:20:03,,4425.0,2.0,1.2308021811.0,,55.0,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-08-02 18:20:02.399015,7582.0,,,,,,,,,,,,,,,
4,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/issuer-node,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-11-08 12:11:09,2023-08-03 16:13:28.000000,2023-08-02 08:13:34,1538.0,40.0,12.0,477.0,80.0,Self Hosted Issuer Node.,27.0,22,False,280.0,23.0,20.0,92.0,2023-08-02 08:22:33,34.0,,2.0,2.2.0,,,,,,,0xPolygonID/issuer-node,,,,,,,,,,,,,,
5,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-08-02 15:03:21.000000,2023-07-28 06:24:34,1042.0,407.0,616.0,228.0,8600.0,Solid - Re-decentralizing the web (project directory).,41.0,21,True,36.0,1.0,316.0,210.0,2021-12-21 13:00:06,,,1.0,,,,,,,,,,,,,,,,,,,,,,
6,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-08-03 00:18:54.000000,2023-07-14 13:35:29,1015.0,111.0,77.0,649.0,400.0,A cross-platform toolkit for decentralized identity.,51.0,19,True,9.0,,125.0,197.0,,146.0,,3.0,,40.0,,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,-1.0,,,,,,,,,,,,,
7,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-07-20 15:10:24.000000,2023-04-11 16:19:31,6279.0,55.0,99.0,200.0,97.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,17,False,,100.0,3.0,,2021-03-22 11:09:10,41.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,
8,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-08-03 11:07:39.000000,2023-08-03 11:07:34,7096.0,12.0,8.0,498.0,31.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,17,False,210.0,1.0,71.0,1522.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,,,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-08-03 15:51:08.000000,2023-08-03 14:14:39,2367.0,2107.0,95.0,1890.0,17880.0,Authentication for the Web.,548.0,41,True,115.0,100.0,181.0,3171.0,2023-07-18 20:55:12,117060.0,2321121.0,1.0,next-auth@4.22.3,117060.0,,,,,,,,next-auth,https://www.npmjs.com/package/next-auth,2321121.0,,,,,,,,,,
10,keycloak,keycloak/keycloak,,,idp,['cncf'],https://github.com/keycloak/keycloak,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2023-08-03 17:14:09.000000,2023-08-03 17:14:08,22570.0,5440.0,360.0,12205.0,16964.0,Open Source Identity and Access Management For Modern Applications and Services.,1219.0,41,True,654.0,39.0,1699.0,5222.0,2023-07-18 09:57:40,352.0,60574.0,1.0,22.0.1,352.0,1938392.0,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,,,
11,coredns,coredns/coredns,,,machine,"['linux-foundation', 'cncf']",https://github.com/coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-08-01 21:31:39.000000,2023-07-31 19:34:31,3707.0,1845.0,236.0,3945.0,11055.0,CoreDNS is a DNS server that chains plugins.,365.0,40,True,77.0,65.0,88.0,2069.0,2023-02-06 18:30:04,5387.0,2812722.0,1.0,1.10.1,5387.0,6749988.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-02-06 18:31:58.105381,243094408.0,,-1.0,,,,138.0,,,,,,,,,
12,open-policy-agent,open-policy-agent/opa,,,authorization,"['cncf', 'linux-foundation']",https://github.com/open-policy-agent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2023-08-03 17:58:52.517106,2023-08-03 17:07:36,4720.0,1139.0,120.0,3800.0,8322.0,"An open source, general-purpose policy engine.",411.0,40,True,148.0,100.0,308.0,2010.0,2023-07-27 18:10:47,2665.0,4534668.0,1.0,0.55.0,2665.0,3572248.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2023-08-03 17:58:52.517106,410745438.0,,,,,,38.0,,,,,,,,,
13,cert-manager,cert-manager/cert-manager,,,pki,['linux-foundation'],https://github.com/cert-manager/cert-manager,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2023-08-01 17:12:29.000000,2023-08-01 17:12:29,7937.0,1840.0,145.0,2985.0,10588.0,Automatically provision and manage TLS certificates in Kubernetes.,406.0,39,True,209.0,100.0,168.0,2889.0,2023-07-26 12:33:55,546.0,1397947.0,1.0,1.12.3,546.0,51724074.0,,,,,,,,,,,,,,,,,,,
14,vault,hashicorp/vault,,,pki,['hashicorp'],https://github.com/hashicorp/vault,https://github.com/hashicorp/vault,MPL-2.0,2015-02-25 00:15:59,2023-08-03 18:01:16.000000,2023-08-03 17:42:20,17811.0,3725.0,814.0,16472.0,28146.0,"A tool for secrets management, encryption as a service, and privileged access management.",1363.0,38,True,549.0,100.0,893.0,4707.0,2023-07-25 18:08:48,6506.0,,2.0,1.14.1,6506.0,,,,,,,,,,,,,,,,,,,,
15,oauthlib,oauthlib/oauthlib,,,authentication,,https://github.com/oauthlib/oauthlib,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-06-13 03:01:15.000000,2023-06-13 03:01:14,1646.0,457.0,69.0,481.0,2620.0,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",192.0,38,True,1.0,48.0,75.0,289.0,2023-01-10 13:13:43,410598.0,80386529.0,1.0,3.2.2,410598.0,,,,,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,80386529.0,,,,,,
16,passport,jaredhanson/passport,,,authentication,,https://github.com/jaredhanson/passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2023-06-15 06:35:28.000000,2023-03-10 17:27:55,617.0,1173.0,315.0,152.0,21662.0,"Simple, unobtrusive authentication for Node.js.",38.0,37,True,,,329.0,420.0,,887558.0,8994567.0,2.0,,887558.0,,,,,,,,passport,https://www.npmjs.com/package/passport,8994567.0,,,,,,,,,,
17,speechbrain,speechbrain/speechbrain,,,voice,,https://github.com/speechbrain/speechbrain,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2023-08-03 17:18:10.000000,2023-08-02 14:28:27,8768.0,1096.0,126.0,939.0,6366.0,A PyTorch-based Speech Toolkit.,213.0,37,True,534.0,9.0,120.0,803.0,2023-07-22 18:07:47,860.0,246147.0,1.0,0.5.15,860.0,,,,,,,1.0,,,,,speechbrain,https://pypi.org/project/speechbrain,246147.0,,,,,,
18,ory-hydra,ory/hydra,,,authentication,['ory'],https://github.com/ory/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2023-08-03 15:35:54.000000,2023-08-03 15:35:53,3668.0,1302.0,227.0,1692.0,14345.0,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",288.0,36,True,68.0,100.0,67.0,1378.0,2023-05-24 08:55:23,2.0,4105258.0,2.0,2.1.2,2.0,599736.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2023-06-22 12:03:24.362033,405507222.0,,,,,,74.0,,,,https://k8s.ory.sh/helm/charts,,,,,
19,ory-kratos,ory/kratos,,,idp,['ory'],https://github.com/ory/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2023-08-03 15:37:04.000000,2023-08-03 15:37:02,3867.0,766.0,109.0,1630.0,9158.0,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, PassKeys, MFA, FIDO2, TOTP,..",204.0,36,True,105.0,43.0,191.0,940.0,2023-07-12 20:24:48,322.0,1778532.0,1.0,1.0.0,322.0,31775.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2023-07-12 20:24:47.415774,112001045.0,,,,,,16.0,,,,https://k8s.ory.sh/helm/charts,,,,,
20,casbin,casbin/casbin,,,authorization,,https://github.com/casbin/casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-07-28 10:04:14.000000,2023-07-28 09:58:58,1064.0,1506.0,234.0,465.0,15392.0,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",134.0,35,True,11.0,100.0,18.0,719.0,2023-07-28 10:00:20,2495.0,210233.0,2.0,2.73.0,2495.0,,,,,,,,casbin,https://www.npmjs.com/package/casbin,137753.0,,casbin,https://pypi.org/project/casbin,72480.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,
21,paddlespeech,PaddlePaddle/PaddleSpeech,,,voice,,https://github.com/PaddlePaddle/PaddleSpeech,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2023-07-28 07:24:12.000000,2023-07-26 01:55:52,4725.0,1554.0,185.0,1669.0,8212.0,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",125.0,35,True,69.0,15.0,291.0,1301.0,2023-04-14 09:36:52,66.0,141672.0,3.0,r1.4.1,66.0,,,,,,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,141672.0,,,,,,
22,casl,stalniy/casl,,,authorization,,https://github.com/stalniy/casl,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2023-07-31 00:38:12.000000,2023-07-28 06:28:45,1489.0,246.0,40.0,324.0,5028.0,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,66.0,35,True,18.0,100.0,8.0,419.0,2023-07-28 06:28:52,49879.0,1860767.0,2.0,@casl/mongoose@7.2.1,49879.0,,,,,,,,@casl/ability,https://www.npmjs.com/package/@casl/ability,1860767.0,,,,,,,,,,
23,face-api-js,justadudewhohacks/face-api.js,,,face,,https://github.com/justadudewhohacks/face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2023-01-05 16:14:12.000000,2020-04-22 16:40:10,488.0,3466.0,334.0,106.0,15309.0,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,25.0,33,False,,38.0,420.0,387.0,2020-03-22 14:01:55,6950.0,131104.0,1.0,0.22.2,6950.0,,,,,,,,face-api.js,https://www.npmjs.com/package/face-api.js,131104.0,,,,,,,,,,
24,pomerium,pomerium/pomerium,,,machine,,https://github.com/pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2023-08-03 18:02:42.000000,2023-08-03 17:45:55,3009.0,273.0,34.0,3488.0,3630.0,Pomerium is an identity and context-aware access proxy.,91.0,33,True,164.0,100.0,86.0,814.0,2023-05-26 21:06:13,12.0,11198581.0,2.0,0.21.4,12.0,45802.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2023-08-02 17:53:43.257281,615867240.0,,,,,,10.0,,,,,,,,,
25,insightface,deepinsight/insightface,,,face,,https://github.com/deepinsight/insightface,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2023-08-02 02:25:41.000000,2023-08-02 02:25:41,2260.0,4507.0,483.0,147.0,17050.0,State-of-the-art 2D and 3D Face Analysis Project.,57.0,32,False,25.0,1.0,918.0,1323.0,2023-04-02 07:43:27,582.0,61773.0,2.0,0.7,582.0,247090.0,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,137.0,,,,,,,,,,,,,,,
26,boundary,hashicorp/boundary,,,machine,['hashicorp'],https://github.com/hashicorp/boundary,https://github.com/hashicorp/boundary,MPL-2.0,2020-01-08 18:24:07,2023-08-03 18:08:29.000000,2023-08-03 18:08:28,3300.0,239.0,206.0,3229.0,3667.0,Boundary enables identity-based access management for dynamic infrastructure.,134.0,32,True,397.0,45.0,70.0,231.0,2023-07-18 12:06:27,8.0,192430.0,2.0,0.13.1,8.0,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2023-07-18 12:12:01.655444,8274522.0,,,,,,10.0,,,,,,,,,
27,ockam,build-trust/ockam,,,machine,,https://github.com/build-trust/ockam,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2023-08-03 18:13:56.000000,2023-08-03 12:45:41,6255.0,379.0,57.0,4133.0,3412.0,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",205.0,32,True,760.0,100.0,197.0,1016.0,2023-06-27 03:16:37,180.0,12798.0,2.0,ockam_v0.90.0,180.0,268762.0,,,,,,,,,,,,,,,,,build-trust/ockam/ockam,,
28,spire,spiffe/spire,,,machine,"['cncf', 'linux-foundation']",https://github.com/spiffe/spire,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2023-08-03 14:46:07.000000,2023-08-03 14:45:35,6105.0,389.0,82.0,3143.0,1472.0,The SPIFFE Runtime Environment.,162.0,32,True,153.0,83.0,160.0,1101.0,2023-07-27 23:06:32,116.0,2041.0,2.0,1.7.1,116.0,142890.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,1.0,,,,,,,,,,,,,
29,cas,apereo/cas,,,idp,,https://github.com/apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2023-08-03 14:07:41.000000,2023-08-03 14:04:42,23476.0,3786.0,609.0,4392.0,10389.0,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,338.0,31,True,429.0,100.0,,,2023-06-30 08:34:42,,5754.0,2.0,6.6.9,,,apereo/cas,https://hub.docker.com/r/apereo/cas,2023-08-03 10:48:34.890157,822885.0,,,,,,126.0,,,,,,,,,
30,spicedb,authzed/spicedb,,,authorization,,https://github.com/authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2023-08-03 17:02:06.000000,2023-08-01 20:14:50,3016.0,193.0,34.0,1099.0,3708.0,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",31.0,31,True,320.0,46.0,104.0,266.0,2023-07-18 10:47:20,25.0,27617.0,2.0,1.23.1,25.0,19010.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2023-07-18 11:02:16.917153,643001.0,,,,,,4.0,,,,,,,,,
31,node-oidc-provider,panva/node-oidc-provider,,,authentication,,https://github.com/panva/node-oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2023-07-19 19:54:06.000000,2023-07-19 19:54:04,2398.0,710.0,71.0,221.0,2755.0,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,65.0,31,True,14.0,100.0,,,2023-05-30 16:30:27,1045.0,158239.0,2.0,8.2.2,1045.0,,,,,,,,oidc-provider,https://www.npmjs.com/package/oidc-provider,158239.0,,,,,,,,,,
32,faceswap,deepfakes/faceswap,,,face,,https://github.com/deepfakes/faceswap,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2023-07-14 13:03:06.000000,2023-07-14 13:00:44,1767.0,12353.0,1521.0,509.0,46535.0,Deepfakes Software For All.,97.0,30,True,44.0,4.0,18.0,798.0,2023-06-18 18:08:19,,1063.0,2.0,2.2.0,,57417.0,,,,,,,,,,,,,,,,,,,
33,dex,dexidp/dex,,,authentication,['linux-foundation'],https://github.com/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2023-08-02 04:08:14.000000,2023-08-01 19:39:29,2539.0,1445.0,176.0,1811.0,8313.0,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,219.0,30,True,111.0,80.0,272.0,792.0,2023-06-30 14:12:39,16.0,3.0,3.0,2.37.0,16.0,304.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,,,
34,deepface,serengil/deepface,,,face,,https://github.com/serengil/deepface,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2023-08-03 12:44:06.000000,2023-08-03 12:44:06,1074.0,1413.0,108.0,82.0,7028.0,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",43.0,30,True,64.0,,7.0,724.0,,1706.0,28919.0,2.0,,1706.0,,,,,,,,,,,,deepface,https://pypi.org/project/deepface,28919.0,,,,,,
35,identity-server,duendesoftware/identityserver,,,authentication,,https://github.com/DuendeSoftware/IdentityServer,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2023-07-28 14:27:20.000000,2023-07-28 14:27:17,4946.0,241.0,38.0,666.0,1102.0,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,291.0,30,True,220.0,44.0,51.0,230.0,2023-07-06 18:10:47,1188.0,,3.0,6.3.3,1188.0,,,,,,,,,,,,,,,,,,,,
36,doorkeeper,doorkeeper-gem/doorkeeper,,,authentication,,https://github.com/doorkeeper-gem/doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2023-07-20 14:16:51.000000,2023-06-22 07:30:12,2361.0,1000.0,107.0,812.0,5175.0,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,309.0,29,True,7.0,62.0,23.0,825.0,2023-03-29 07:20:04,7996.0,,3.0,5.6.6,7996.0,,,,,,,,,,,,,,,,,,,doorkeeper,
37,oathkeeper,ory/oathkeeper,,,machine,['ory'],https://github.com/ory/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2023-08-03 16:02:11.000000,2023-08-03 16:02:10,1348.0,310.0,49.0,711.0,3021.0,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",109.0,29,True,38.0,100.0,47.0,270.0,2023-07-18 10:23:06,2.0,1217437.0,3.0,0.40.6,2.0,27345.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2023-07-18 10:23:05.234030,86409971.0,,,,,,27.0,,,,,,,,,
38,did-jwt,decentralized-identity/did-jwt,,,decentralized,['dif'],https://github.com/decentralized-identity/did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2023-07-31 01:51:40.000000,2023-06-26 23:04:02,579.0,62.0,39.0,202.0,299.0,Create and verify DID verifiable JWTs in Javascript.,40.0,29,True,10.0,99.0,8.0,76.0,2023-06-26 23:04:51,3719.0,114967.0,1.0,7.2.4,3719.0,,,,,,,,did-jwt,https://www.npmjs.com/package/did-jwt,114967.0,,,,,,,,,,
39,ageitgey-face-recognition,ageitgey/face_recognition,,,face,,https://github.com/ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-05-23 09:52:12.000000,2022-06-10 09:12:18,238.0,12734.0,1572.0,217.0,48977.0,The worlds simplest facial recognition api for Python and the command line.,54.0,28,False,,2.0,703.0,583.0,2018-04-02 17:18:43,,51689.0,3.0,1.2.2,,1109.0,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,6616.0,,-1.0,,,,16.0,face_recognition,https://pypi.org/project/face_recognition,51590.0,,,,,,
40,authelia,authelia/authelia,,,idp,,https://github.com/authelia/authelia,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2023-08-03 16:55:17.000000,2023-08-03 16:55:16,4557.0,929.0,155.0,4370.0,17032.0,The Single Sign-On Multi-Factor portal for web apps.,128.0,28,True,289.0,100.0,63.0,1056.0,2022-12-21 09:01:04,2.0,579.0,2.0,4.37.5,2.0,24903.0,,,,,,,,,,,,,,,,,,,
41,openface,cmusatyalab/openface,,,face,,https://github.com/cmusatyalab/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-06-14 17:20:44.000000,2023-06-14 17:20:41,735.0,3472.0,761.0,73.0,14819.0,Face recognition with deep neural networks.,30.0,28,True,1.0,4.0,9.0,370.0,2016-02-25 17:42:46,67.0,1685.0,3.0,0.2.1,67.0,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,160168.0,,,,,,70.0,,,,,,,,,
42,casdoor,casdoor/casdoor,,,idp,,https://github.com/casdoor/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2023-08-03 17:24:22.000000,2023-08-03 17:22:57,1829.0,784.0,52.0,1168.0,6783.0,"An open-source Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting OAuth 2.0,..",136.0,28,True,256.0,100.0,102.0,830.0,2023-08-03 11:00:58,1.0,1883.0,2.0,1.381.0,1.0,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2023-08-03 13:56:54.637882,64027.0,,,,,,9.0,,,,,,,,,
43,logto,logto-io/logto,,,idp,,https://github.com/logto-io/logto,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2023-08-03 09:57:26.000000,2023-08-03 09:23:27,4543.0,226.0,34.0,3983.0,6073.0,"Logto is a modern Auth0 alternative for building identity infrastructure with minimal effort, for both your customers..",39.0,28,True,447.0,45.0,52.0,216.0,2023-07-31 12:48:16,7.0,660.0,2.0,1.7.0,7.0,2247.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2023-07-31 12:46:08.698387,13541.0,,,,,,1.0,,,,,,,,,
44,boulder,letsencrypt/boulder,,,pki,['linux-foundation'],https://github.com/letsencrypt/boulder,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2023-08-03 16:05:39.000000,2023-08-02 23:04:28,6266.0,528.0,138.0,4179.0,4706.0,"An ACME-based certificate authority, written in Go.",126.0,28,True,103.0,77.0,186.0,2647.0,2023-08-01 16:58:12,,21864.0,2.0,release-2023-08-01,,55383.0,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2023-08-02 16:29:24.061124,1935187.0,,,,,,12.0,,,,,,,,,
45,zitadel,zitadel/zitadel,,,idp,,https://github.com/zitadel/zitadel,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2023-08-03 15:48:07.000000,2023-08-03 04:42:59,2346.0,221.0,27.0,4394.0,4193.0,ZITADEL - The best of Auth0 and Keycloak combined. Built for the serverless era.,61.0,28,True,192.0,100.0,383.0,1192.0,2023-07-31 14:47:56,1.0,368.0,2.0,2.31.4,1.0,2208.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,,,https://charts.zitadel.com,,,,,
46,keto,ory/keto,,,authorization,['ory'],https://github.com/ory/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2023-08-03 15:44:38.000000,2023-08-03 15:44:37,1452.0,288.0,58.0,1021.0,4156.0,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",68.0,28,True,57.0,50.0,42.0,255.0,,2.0,781043.0,3.0,,2.0,16291.0,oryd/keto,https://hub.docker.com/r/oryd/keto,2023-03-09 14:30:27.177505,50749287.0,,,,,,6.0,,,,,,,,,
47,oso,osohq/oso,,,authorization,,https://github.com/osohq/oso,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2023-07-24 16:02:04.000000,2023-07-24 15:50:06,1200.0,152.0,31.0,1518.0,3152.0,Oso is a batteries-included framework for building authorization in your application.,63.0,28,True,9.0,100.0,101.0,99.0,2023-04-03 23:25:23,74.0,36843.0,3.0,0.27.0,74.0,2551.0,,,,,,-1.0,,,,,oso,https://pypi.org/project/oso,36758.0,,,,,,
48,node-solid-server,nodesolidserver/node-solid-server,,,decentralized,['solid'],https://github.com/nodeSolidServer/node-solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2023-07-23 09:53:03.000000,2023-04-06 13:30:49,2951.0,285.0,80.0,829.0,1742.0,Solid server on top of the file-system in NodeJS.,85.0,28,True,,51.0,279.0,610.0,2023-03-17 17:09:04,38.0,8680.0,1.0,5.7.7,38.0,,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2023-04-06 13:43:13.183129,897685.0,,,solid-server,https://www.npmjs.com/package/solid-server,291.0,4.0,,,,,,,,,
