,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,trending,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
24,face-api-js,justadudewhohacks/face-api.js,,,face,,https://github.com/justadudewhohacks/face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2023-01-05 16:14:12.000000,2020-04-22 16:40:10,488.0,3427.0,335.0,106.0,15100.0,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,25.0,33,False,,38.0,409.0,387.0,2020-03-22 14:01:55,6569.0,104671.0,2.0,0.22.2,,6569.0,,,,,,face-api.js,https://www.npmjs.com/package/face-api.js,104671.0,,,,,,,,,,,
25,pomerium,pomerium/pomerium,,,machine,,https://github.com/pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2023-06-07 23:02:43.000000,2023-06-07 20:05:25,2894.0,271.0,35.0,3316.0,3571.0,Pomerium is an identity and context-aware access proxy.,89.0,33,True,124.0,100.0,71.0,791.0,2023-05-26 21:06:13,12.0,6449890.0,2.0,0.21.4,42598.0,12.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2023-06-07 21:35:03.270230,341792870.0,,,,,10.0,,,,,,,,,,
26,ockam,build-trust/ockam,,,machine,,https://github.com/build-trust/ockam,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2023-06-08 18:12:39.000000,2023-06-08 16:32:47,5795.0,355.0,58.0,3783.0,3274.0,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",189.0,32,True,823.0,100.0,194.0,959.0,2023-05-26 22:03:48,179.0,11359.0,2.0,ockam_v0.88.0,215839.0,179.0,,,,,,,,,,-1.0,,,,,,,build-trust/ockam/ockam,,
27,cas,apereo/cas,,,idp,,https://github.com/apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2023-06-08 01:35:16.091431,2023-06-06 12:15:34,23179.0,3775.0,608.0,4325.0,10292.0,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,337.0,31,True,343.0,100.0,,,2023-05-26 05:00:15,,5757.0,2.0,6.6.8,,,apereo/cas,https://hub.docker.com/r/apereo/cas,2023-06-08 01:35:16.091431,811833.0,,,,,125.0,,,,,,,,,,
28,boundary,hashicorp/boundary,,,machine,['hashicorp'],https://github.com/hashicorp/boundary,https://github.com/hashicorp/boundary,MPL-2.0,2020-01-08 18:24:07,2023-06-08 17:38:50.000000,2023-06-08 16:17:45,3170.0,226.0,75.0,2999.0,3619.0,Boundary enables identity-based access management for dynamic infrastructure.,131.0,31,True,379.0,43.0,73.0,219.0,2023-04-07 19:27:59,8.0,172705.0,2.0,0.12.2,,8.0,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2023-04-07 19:36:45.208207,7080929.0,,,,,10.0,1.0,,,,,,,,,
29,spicedb,authzed/spicedb,,,authorization,,https://github.com/authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2023-06-08 17:29:13.000000,2023-06-08 08:56:31,2880.0,182.0,34.0,1030.0,3553.0,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",28.0,31,True,343.0,35.0,98.0,252.0,2023-05-11 21:44:55,22.0,18296.0,2.0,1.21.0,15237.0,22.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2023-06-07 20:26:55.385523,386569.0,,,,,4.0,,,,,,,,,,
30,node-oidc-provider,panva/node-oidc-provider,,,authentication,,https://github.com/panva/node-oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2023-06-01 19:56:45.000000,2023-06-01 19:56:38,2395.0,709.0,69.0,217.0,2688.0,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,63.0,31,True,30.0,100.0,,,2023-05-30 16:30:27,996.0,117713.0,2.0,8.2.2,,996.0,,,,,,oidc-provider,https://www.npmjs.com/package/oidc-provider,117713.0,,,,,,,,,,,
31,spire,spiffe/spire,,,machine,"['cncf', 'linux-foundation']",https://github.com/spiffe/spire,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2023-06-08 17:57:19.000000,2023-06-08 17:56:14,6014.0,369.0,83.0,3016.0,1421.0,The SPIFFE Runtime Environment.,156.0,31,True,181.0,80.0,166.0,1060.0,2023-05-17 21:56:54,113.0,1875.0,2.0,1.6.4,127561.0,113.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,,,
32,ageitgey-face-recognition,ageitgey/face_recognition,,,face,,https://github.com/ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-05-23 09:52:12.000000,2022-06-10 09:12:18,238.0,12660.0,1575.0,217.0,48501.0,The worlds simplest facial recognition api for Python and the command line.,54.0,30,True,,2.0,698.0,580.0,2018-04-02 17:18:43,,64461.0,2.0,1.2.2,1104.0,,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,6476.0,,,,,15.0,,face_recognition,https://pypi.org/project/face_recognition,64361.0,,,,,,
33,doorkeeper,doorkeeper-gem/doorkeeper,,,authentication,,https://github.com/doorkeeper-gem/doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2023-05-22 09:03:20.000000,2023-05-13 14:03:33,2356.0,998.0,108.0,811.0,5151.0,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,308.0,30,True,22.0,62.0,20.0,825.0,2023-03-29 07:20:04,7846.0,,3.0,5.6.6,,7846.0,,,,,,,,,,,,,,,,,,doorkeeper,
34,openface,cmusatyalab/openface,,,face,,https://github.com/cmusatyalab/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-05-24 04:12:30.000000,2019-11-26 15:56:28,734.0,3468.0,761.0,73.0,14772.0,Face recognition with deep neural networks.,30.0,29,False,,4.0,9.0,370.0,2016-02-25 17:42:46,66.0,1714.0,2.0,0.2.1,,66.0,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,159483.0,,,,,70.0,,,,,,,,,,
35,dex,dexidp/dex,,,authentication,['linux-foundation'],https://github.com/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2023-06-08 11:42:04.000000,2023-06-08 07:46:39,2497.0,1415.0,175.0,1754.0,8157.0,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,218.0,29,True,158.0,79.0,283.0,775.0,2023-03-20 13:29:42,15.0,2.0,3.0,2.36.0,269.0,15.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,,,
36,deepface,serengil/deepface,,,face,,https://github.com/serengil/deepface,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2023-06-05 12:30:31.000000,2023-05-11 15:53:52,1012.0,1336.0,100.0,75.0,6540.0,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",41.0,29,True,20.0,,10.0,688.0,,1514.0,50714.0,2.0,,,1514.0,,,,,,,,,,,deepface,https://pypi.org/project/deepface,50714.0,,,,,,
37,oathkeeper,ory/oathkeeper,,,machine,['ory'],https://github.com/ory/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2023-06-07 22:50:01.000000,2023-06-07 08:18:20,1317.0,305.0,48.0,701.0,2979.0,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",106.0,29,True,30.0,100.0,49.0,265.0,2023-04-26 17:01:50,2.0,1183561.0,3.0,0.40.3,23949.0,2.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2023-04-26 17:01:50.032478,81641455.0,,,,,27.0,,,,,,,,,,
38,node-solid-server,nodesolidserver/node-solid-server,,,decentralized,['solid'],https://github.com/nodeSolidServer/node-solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2023-04-17 21:26:30.000000,2023-04-06 13:30:49,2951.0,284.0,82.0,828.0,1740.0,Solid server on top of the file-system in NodeJS.,85.0,29,True,11.0,51.0,278.0,610.0,2023-03-17 17:09:04,38.0,8560.0,1.0,5.7.7,,38.0,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2023-04-06 13:43:13.183129,864987.0,,solid-server,https://www.npmjs.com/package/solid-server,323.0,4.0,,,,,,,,,,
39,identity-server,duendesoftware/identityserver,,,authentication,,https://github.com/DuendeSoftware/IdentityServer,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2023-06-08 15:22:05.000000,2023-06-02 17:18:13,4826.0,227.0,38.0,625.0,1046.0,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,290.0,29,True,266.0,42.0,59.0,209.0,2023-05-31 23:38:47,1073.0,,3.0,6.3.2,,1073.0,,,,,,,,,,,,,,,,,,,
40,did-jwt,decentralized-identity/did-jwt,,,decentralized,['dif'],https://github.com/decentralized-identity/did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2023-06-07 20:39:35.000000,2023-06-07 20:39:33,575.0,62.0,39.0,200.0,292.0,Create and verify DID verifiable JWTs in Javascript.,40.0,29,True,20.0,97.0,8.0,73.0,2023-06-07 20:40:20,3421.0,75063.0,1.0,7.2.2,,3421.0,,,,,,did-jwt,https://www.npmjs.com/package/did-jwt,75063.0,,,,,,,,,,,
41,faceswap,deepfakes/faceswap,,,face,,https://github.com/deepfakes/faceswap,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2023-06-08 15:45:40.000000,2023-06-08 15:45:18,1726.0,12226.0,1519.0,505.0,45650.0,Deepfakes Software For All.,96.0,28,True,4.0,3.0,21.0,786.0,2020-08-14 17:28:01,,3652.0,3.0,2.0.0,189918.0,,,,,,,,,,,1.0,,,,,,,,,
42,authelia,authelia/authelia,,,idp,,https://github.com/authelia/authelia,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2023-06-08 01:38:10.000000,2023-06-07 23:34:01,4388.0,903.0,156.0,4190.0,16550.0,The Single Sign-On Multi-Factor portal for web apps.,126.0,28,True,387.0,100.0,68.0,1038.0,2022-12-21 09:01:04,2.0,564.0,2.0,4.37.5,23139.0,2.0,,,,,,,,,,-1.0,,,,,,,,,
43,casdoor,casdoor/casdoor,,,idp,,https://github.com/casdoor/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2023-06-08 13:22:32.000000,2023-06-07 16:43:05,1676.0,740.0,51.0,1051.0,6345.0,An open-source Identity and Access Management (IAM) / Single-Sign-On (SSO) platform powered by Casbin and AI gateway..,128.0,28,True,240.0,100.0,102.0,733.0,2023-06-07 17:59:20,1.0,1644.0,2.0,1.332.0,,1.0,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2023-06-07 20:31:28.454064,52624.0,,,,,8.0,,,,,,,,,,
44,logto,logto-io/logto,,,idp,,https://github.com/logto-io/logto,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2023-06-08 15:36:48.000000,2023-06-08 14:56:31,4270.0,212.0,34.0,3715.0,5884.0,Logto is a cost-effective open-source alternative to Auth0. It offers a seamless developer experience and is well-..,36.0,28,True,623.0,43.0,54.0,204.0,2023-06-07 04:49:52,6.0,596.0,2.0,1.5.0,1980.0,6.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2023-06-08 15:07:01.493788,10921.0,,,,,1.0,,,,,,,,,,
45,boulder,letsencrypt/boulder,,,pki,['linux-foundation'],https://github.com/letsencrypt/boulder,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2023-06-08 17:05:20.000000,2023-06-05 17:11:19,6209.0,526.0,139.0,4110.0,4646.0,"An ACME-based certificate authority, written in Go.",125.0,28,True,122.0,70.0,177.0,2623.0,2023-06-05 21:49:10,,22377.0,2.0,release-2023-06-05,52857.0,,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2023-05-03 02:37:18.589906,1923122.0,,,,,12.0,,,,,,,,,,
46,zitadel,zitadel/zitadel,,,idp,,https://github.com/zitadel/zitadel,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2023-06-08 18:05:33.000000,2023-06-08 14:08:13,2223.0,184.0,23.0,4182.0,3599.0,ZITADEL - The best of Auth0 and Keycloak combined. Built for the serverless era.,54.0,28,True,219.0,100.0,363.0,1134.0,2023-06-06 07:31:03,1.0,347.0,2.0,2.28.1,2082.0,1.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,,,https://charts.zitadel.com,,,,,
47,oso,osohq/oso,,,authorization,,https://github.com/osohq/oso,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2023-05-05 21:07:42.000000,2023-05-04 20:09:28,1191.0,147.0,31.0,1503.0,3060.0,Oso is a batteries-included framework for building authorization in your application.,62.0,28,True,16.0,100.0,101.0,98.0,2023-04-03 23:25:23,70.0,43377.0,3.0,0.27.0,2292.0,70.0,,,,,,,,,,,oso,https://pypi.org/project/oso,43296.0,,,,,,
