,name,homepage,category,description,resource,labels,projectrank,show,github_id,dockerhub_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,trending,npm_id,npm_url,npm_monthly_downloads,updated_github_id,maven_id,maven_url,helm_id,gem_url,brew_id,apt_id,github,github-id
12,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2026-03-02 17:48:21.000000,2026-03-02 17:48:19,4611.0,123.0,2331.0,225.0,5204.0,251.0,2232.0,14120.0,2026-01-16 05:35:34,1.14.1,5693417.0,2782712.0,79.0,14567.0,14567.0,472.0,https://hub.docker.com/r/coredns/coredns,2026-01-16 05:37:05.155162,164.0,327932422.0,1.0,,,,,,,,,,,,,,,,
13,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],41,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2026-03-05 16:40:49.000000,2026-03-05 16:40:03,10611.0,345.0,2266.0,144.0,4563.0,155.0,3548.0,13656.0,2026-02-24 17:07:12,1.18.6,112758372.0,2891240.0,100.0,2460.0,2460.0,546.0,,,,,1.0,,,,,,,,,,,,,,,,
14,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,41,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2026-02-28 14:03:09.000000,2026-02-28 14:03:09,1818.0,34.0,490.0,62.0,527.0,84.0,305.0,2956.0,2025-06-20 05:53:03,3.3.1,,283939627.0,50.0,645047.0,645047.0,202.0,,,,,1.0,oauthlib,https://pypi.org/project/oauthlib,283939627.0,2.0,,,,,,,,,,,,
15,nextauthjs,https://github.com/nextauthjs/next-auth,authentication,Authentication for the Web.,,,40,True,nextauthjs/next-auth,,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2026-02-07 21:40:57.000000,2026-02-07 21:40:57,3940.0,1.0,3989.0,110.0,3333.0,384.0,4682.0,28124.0,2025-10-26 02:41:51,@auth/azure-tables-adapter@1.11.1,,13365746.0,100.0,478995.0,478995.0,899.0,,,,,1.0,,,,,next-auth,https://www.npmjs.com/package/next-auth,13365746.0,,,,,,,,,
16,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,39,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2026-03-01 10:18:45.000000,2026-03-01 10:15:23,2113.0,37.0,3005.0,180.0,344.0,6.0,1228.0,22317.0,2026-03-01 10:18:45,0.0.99,,630619.0,19.0,8532.0,8532.0,96.0,,,,,1.0,deepface,https://pypi.org/project/deepface,630619.0,,,,,,,,,,,,,
17,authlib,https://github.com/authlib/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS, JWE, JWK, JWA, JWT included.",,,39,True,lepture/authlib,,https://github.com/authlib/authlib,BSD-3-Clause,2017-10-27 06:52:26,2026-03-02 07:43:15.000000,2026-02-27 07:46:22,1728.0,97.0,513.0,57.0,300.0,116.0,418.0,5235.0,2026-03-02 07:50:44,1.6.9,,82248175.0,50.0,49715.0,49715.0,139.0,,,,,1.0,authlib,https://pypi.org/project/authlib,82248175.0,,,,,authlib/authlib,,,,,,,,
18,casbin,https://github.com/casbin/casbin,authorization,"Apache Casbin: an authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,38,True,casbin/casbin,,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2026-02-24 14:23:00.000000,2026-01-25 08:47:55,1163.0,23.0,1721.0,235.0,639.0,43.0,889.0,19891.0,2026-01-26 17:06:22,3.10.0,,1752841.0,100.0,3583.0,3583.0,163.0,,,,,1.0,casbin,https://pypi.org/project/casbin,1285947.0,,casbin,https://www.npmjs.com/package/casbin,466894.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
19,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,38,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2026-03-01 18:29:27.000000,2026-03-01 18:29:26,10585.0,15.0,1630.0,136.0,1444.0,123.0,1057.0,11281.0,2025-04-07 17:05:07,1.0.3,,1587856.0,14.0,4080.0,4080.0,274.0,,,,,1.0,speechbrain,https://pypi.org/project/speechbrain,1587856.0,,,,,,,,,,,,,
20,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,38,True,stalniy/casl,,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2026-03-05 15:42:39.000000,2026-03-04 10:36:52,1747.0,76.0,298.0,38.0,567.0,17.0,493.0,6828.0,2026-01-18 07:40:26,@casl/vue@2.2.6,,4426088.0,100.0,102019.0,102019.0,77.0,,,,,1.0,,,,,@casl/ability,https://www.npmjs.com/package/@casl/ability,4426088.0,,,,,,,,,
21,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],37,True,hashicorp/vault,,https://github.com/hashicorp/vault,Business Source License 1.1,2015-02-25 00:15:59,2026-03-05 19:05:42.000000,2026-03-05 18:34:17,22800.0,492.0,4486.0,780.0,25108.0,1214.0,5289.0,35161.0,2026-03-05 06:37:01,1.21.4,,,100.0,15507.0,15507.0,1613.0,,,,,1.0,,,,,,,,,,,,,,,,
22,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,37,False,jaredhanson/passport,,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-08-16 21:56:14.000000,2024-08-16 21:56:08,645.0,,1230.0,292.0,162.0,354.0,430.0,23524.0,,,,26108585.0,,1320184.0,1320184.0,38.0,,,,,2.0,,,,,passport,https://www.npmjs.com/package/passport,26108585.0,,,,,,,,,
23,ory-hydra,https://github.com/ory/hydra,authentication,Internet-scale OpenID Certified OpenID Connect and OAuth2.1 provider that integrates with your user management through..,,['ory'],36,True,ory/hydra,oryd/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2026-03-05 16:15:55.000000,2026-03-05 16:15:53,4401.0,67.0,1510.0,235.0,1932.0,96.0,1489.0,17064.0,2025-11-07 14:57:03,25.4.0,533080.0,3305596.0,100.0,,,320.0,https://hub.docker.com/r/oryd/hydra,2025-11-07 14:56:52.769480,78.0,428990355.0,2.0,,,,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
24,ory-kratos,https://github.com/ory/kratos,idp,Headless cloud-native authentication and identity management written in Go. Scales to a billion+ users. Replace..,,['ory'],36,True,ory/kratos,oryd/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2026-03-05 13:27:46.000000,2026-03-05 13:27:45,5023.0,85.0,1092.0,112.0,2249.0,151.0,1277.0,13528.0,2025-11-07 15:48:50,25.4.0,57015.0,1227628.0,48.0,55.0,55.0,244.0,https://hub.docker.com/r/oryd/kratos,2025-11-07 15:48:38.908032,22.0,115324720.0,1.0,,,,,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
25,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,35,False,ageitgey/face_recognition,animcogn/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13467.0,1545.0,250.0,780.0,598.0,56196.0,2018-04-02 17:18:43,1.2.2,1448.0,201212.0,2.0,5616.0,5616.0,54.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,20.0,10655.0,2.0,face_recognition,https://pypi.org/project/face_recognition,201101.0,,,,,,,,,,,,,
26,casdoor,https://github.com/casdoor/casdoor,idp,An open-source AI-first Identity and Access Management (IAM) /AI MCP gateway and auth server with web UI supporting..,,,35,True,casdoor/casdoor,casbin/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2026-03-05 17:51:32.061629,2026-03-05 17:02:16,3316.0,216.0,1565.0,74.0,2641.0,111.0,2103.0,13126.0,2026-03-05 17:43:06,2.341.0,1205.0,16257.0,100.0,12.0,12.0,273.0,https://hub.docker.com/r/casbin/casdoor,2026-03-05 17:51:32.061629,23.0,1017599.0,1.0,,,,,,,,,,,,,,,,
27,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,35,True,apereo/cas,apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2026-03-05 19:03:40.000000,2026-03-05 19:00:42,32066.0,1284.0,3927.0,584.0,7243.0,,,11428.0,2026-02-06 05:18:05,7.3.4,3442.0,8448.0,100.0,21.0,21.0,373.0,https://hub.docker.com/r/apereo/cas,2026-03-05 01:13:16.658578,131.0,1457665.0,1.0,,,,,,,,,,,,,,,,
28,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,34,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2026-03-02 08:02:00.000000,2026-03-02 08:00:24,4898.0,3.0,1940.0,188.0,1916.0,263.0,1757.0,12547.0,2025-03-05 07:11:35,r1.5.0,,1408134.0,17.0,168.0,168.0,161.0,,,,,2.0,paddlepaddle,https://pypi.org/project/paddlepaddle,1408134.0,1.0,,,,,,,,,,,,
29,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",34,True,spiffe/spire,ghcr.io/spiffe/spire-server,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2026-03-05 19:00:20.000000,2026-03-02 19:30:32,7635.0,158.0,572.0,78.0,5027.0,116.0,1558.0,2230.0,2026-03-03 23:05:47,1.14.2,845677.0,14094.0,100.0,207.0,207.0,248.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,2.0,,,,,,,,,,,,,,,,
30,authelia,https://github.com/authelia/authelia,idp,"The Single Sign-On Multi-Factor portal for web apps, now OpenID Certified.",,,33,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2026-03-05 19:00:40.000000,2026-03-05 18:59:04,8972.0,412.0,1347.0,161.0,9024.0,62.0,1350.0,27042.0,2025-11-29 12:13:04,4.39.15,43876.0,696.0,100.0,,,278.0,,,,,2.0,,,,,,,,,,,,,,,,
31,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2026-03-05 18:04:24.000000,2026-03-05 18:04:22,4197.0,160.0,320.0,41.0,5032.0,79.0,997.0,4702.0,2026-02-19 00:39:43,0.32.2,57072.0,18758312.0,100.0,22.0,22.0,101.0,https://hub.docker.com/r/pomerium/pomerium,2026-03-04 23:01:21.495930,13.0,1613141651.0,2.0,,,,,,,,,,,,,,,,
32,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,33,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2026-02-11 01:26:55.000000,2025-10-07 20:35:19,3632.0,,418.0,27.0,561.0,97.0,362.0,604.0,2025-10-07 20:02:21,7.5.4,,2432230.0,55.0,2197.0,2197.0,181.0,,,,,2.0,pysaml2,https://pypi.org/project/pysaml2,2432230.0,,,,,,,,,,,,,
33,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,32,False,deepinsight/insightface,animcogn/insightface,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2026-02-02 04:44:50.000000,2025-11-25 04:00:35,2386.0,,5869.0,511.0,209.0,1216.0,1395.0,27998.0,2023-04-02 07:43:27,0.7,12330079.0,352289.0,1.0,4929.0,4929.0,67.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,250.0,2.0,,,,,,,,,,,,,,,,
34,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data.",,,32,True,authzed/spicedb,authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2026-03-05 18:55:10.000000,2026-03-05 18:34:44,5439.0,140.0,360.0,49.0,2297.0,103.0,465.0,6483.0,2026-03-02 15:24:51,1.49.2,196212.0,129792.0,100.0,149.0,149.0,74.0,https://hub.docker.com/r/authzed/spicedb,2026-03-02 15:33:41.133275,7.0,6898769.0,2.0,,,,,,,,,,,,,,,,
35,keto,https://github.com/ory/keto,authorization,The most scalable and customizable permission server on the market. Fix your slow or broken permission system with..,,['ory'],32,True,ory/keto,oryd/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2026-03-05 13:27:43.000000,2026-03-05 13:27:42,1865.0,63.0,371.0,55.0,1406.0,40.0,294.0,5287.0,2025-11-07 14:48:11,25.4.0,43787.0,536077.0,54.0,40.0,40.0,85.0,https://hub.docker.com/r/oryd/keto,2025-11-07 14:47:59.149121,10.0,51415687.0,2.0,,,,,,,,,,,,,,,,
36,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,32,True,panva/node-oidc-provider,,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2026-03-05 13:25:42.000000,2026-03-05 13:25:33,2766.0,35.0,762.0,66.0,282.0,,,3700.0,2026-02-19 08:01:22,9.6.1,,795946.0,100.0,2049.0,2049.0,76.0,,,,,2.0,,,,,oidc-provider,https://www.npmjs.com/package/oidc-provider,795946.0,,,,,,,,,
37,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],32,True,ory/oathkeeper,oryd/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2026-03-04 13:42:41.000000,2026-03-04 13:42:40,1639.0,44.0,383.0,47.0,769.0,65.0,306.0,3577.0,2025-11-07 14:57:21,25.4.0,25320.0,888932.0,100.0,16.0,16.0,122.0,https://hub.docker.com/r/oryd/oathkeeper,2025-11-07 14:57:11.257698,44.0,90645289.0,2.0,,,,,,,,,,,,,,,,
38,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,wso2/wso2is,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2026-03-05 15:39:34.000000,2026-03-05 15:16:19,17966.0,491.0,949.0,108.0,9209.0,1473.0,16081.0,883.0,2025-10-24 04:51:27,7.2.0,21153.0,14405.0,100.0,,,741.0,https://hub.docker.com/r/wso2/wso2is,2025-11-04 21:41:11.324073,40.0,2006013.0,2.0,,,,,,,,,,,,,,,,
39,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,31,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2026-03-05 19:11:45.000000,2026-03-05 15:34:18,21037.0,1146.0,1492.0,69.0,16096.0,802.0,3208.0,20379.0,2026-03-03 20:13:59,ersion/2026.2.1,4983.0,191.0,100.0,,,513.0,,,,,2.0,,,,,,,,,,,https://charts.goauthentik.io,,,,,
40,logto,https://github.com/logto-io/logto,idp,"Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy,..",,,31,True,logto-io/logto,svhd/logto,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2026-03-05 18:36:29.000000,2026-03-05 08:32:45,8237.0,282.0,707.0,50.0,7490.0,162.0,615.0,11640.0,2026-02-28 09:31:48,1.37.1,7521.0,6665.0,81.0,6.0,6.0,83.0,https://hub.docker.com/r/svhd/logto,2026-03-05 08:38:17.771542,6.0,370789.0,2.0,,,,,,,,,,,,,,,,
41,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,hashicorp/boundary,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2026-03-05 15:56:05.000000,2026-03-05 14:48:19,5016.0,79.0,300.0,189.0,6056.0,109.0,284.0,4022.0,2026-02-13 13:52:10,0.21.1,,304792.0,74.0,13.0,13.0,200.0,https://hub.docker.com/r/hashicorp/boundary,2026-02-13 14:00:41.345158,19.0,22554681.0,3.0,,,,,,,,,,,,,,,,
42,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,30,True,zitadel/zitadel,ghcr.io/zitadel/zitadel,https://github.com/zitadel/zitadel,AGPL-3.0,2020-03-16 13:51:31,2026-03-05 18:19:23.000000,2026-03-05 13:55:42,4337.0,233.0,946.0,61.0,7305.0,832.0,2639.0,13149.0,2026-03-04 12:40:17,4.12.1,15443.0,1403.0,100.0,1.0,1.0,243.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,3.0,,,,,,,,,,,https://charts.zitadel.com,,,,,
43,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],30,True,dexidp/dex,quay.io/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2026-03-05 12:29:50.000000,2026-03-05 12:29:49,3735.0,177.0,1783.0,167.0,3094.0,340.0,872.0,10635.0,2026-03-03 13:43:12,2.45.1,362.0,2.0,94.0,188.0,188.0,289.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,2.0,,,,,,,,,,,,,,,,
44,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,30,True,kanidm/kanidm,kanidm/server,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2026-03-03 01:45:02.000000,2026-03-03 01:45:02,2643.0,78.0,300.0,21.0,2780.0,236.0,952.0,4647.0,2026-02-24 03:04:34,1.9.1,420.0,8845.0,54.0,42.0,42.0,147.0,https://hub.docker.com/r/kanidm/server,2026-02-24 03:58:23.691033,4.0,751448.0,3.0,,,,,,,,,,,,,,,,
45,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2026-03-01 20:53:02.000000,2026-02-18 14:30:05,3027.0,45.0,139.0,59.0,336.0,40.0,322.0,1071.0,2026-01-22 14:54:05,5.9.0,41074.0,36916.0,46.0,224.0,224.0,53.0,,,,,2.0,yubikey-manager,https://pypi.org/project/yubikey-manager,36562.0,,,,,,,,,,,,,
46,jansen,https://github.com/JanssenProject/jans,idp,"The Janssen Project is a home for open source IAM components, featuring Auth Server (OAuth/OpenID), Agama low-code..",,['linux-foundation'],30,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2026-03-05 19:03:54.000000,2026-03-05 11:08:14,35706.0,272.0,163.0,30.0,7772.0,407.0,5034.0,612.0,2026-01-22 17:46:22,1.16.0,9002.0,310.0,100.0,11.0,11.0,142.0,,,,,3.0,,,,,,,,,,,,,,,,
47,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,29,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2025-12-15 10:18:21.000000,2025-06-26 01:05:47,166.0,,11642.0,707.0,356.0,,,95483.0,2025-06-26 01:06:09,20250625,,1646993.0,13.0,21.0,21.0,79.0,,,,,3.0,openai-whisper,https://pypi.org/project/openai-whisper,1646993.0,-1.0,,,,,,,,,,,,
48,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],29,True,letsencrypt/boulder,letsencrypt/boulder-tools,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2026-03-04 05:55:54.000000,2026-03-03 18:15:06,7283.0,89.0,618.0,132.0,5339.0,173.0,3113.0,5680.0,2026-03-03 18:31:40,0.20260303.0,35172.0,16705.0,100.0,,,147.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2026-02-04 20:20:49.475767,13.0,2048769.0,2.0,,,,,,,,,,,,,,,,
49,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2026-03-05 11:28:49.000000,2026-03-04 12:02:44,2534.0,16.0,1039.0,102.0,889.0,48.0,852.0,5460.0,2026-03-04 12:04:39,.5.9.0,,,71.0,11079.0,11079.0,337.0,,,,,2.0,,,,,,,,,,,,doorkeeper,,,,
50,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,29,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2026-01-04 22:01:38.000000,2026-01-04 21:59:47,9734.0,14.0,557.0,52.0,7293.0,,1780.0,4604.0,2025-06-30 22:09:21,ockam_v0.157.0,15048.0,327.0,100.0,189.0,189.0,318.0,,,,,3.0,,,,,,,,,,,,,build-trust/ockam/ockam,,,
51,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],29,True,nodesolidserver/node-solid-server,nodesolidserver/node-solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2026-01-12 11:21:39.000000,2026-01-11 10:32:45,3308.0,46.0,298.0,73.0,893.0,296.0,644.0,1796.0,2026-01-07 15:47:40,6.0.0,,9034.0,60.0,3.0,3.0,90.0,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-04-30 17:23:49.835167,5.0,1005411.0,1.0,,,,,solid-server,https://www.npmjs.com/package/solid-server,1749.0,,,,,,,,,
52,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,28,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2026-03-03 05:25:47.000000,2026-02-27 19:30:27,1860.0,9.0,13275.0,1525.0,537.0,2.0,896.0,55014.0,2025-12-21 02:44:08,3.0.0,74247.0,873.0,5.0,,,98.0,,,,,3.0,,,,,,,,,,,,,,,,
53,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,False,cmusatyalab/openface,bamos/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3482.0,740.0,77.0,5.0,382.0,15476.0,2024-10-04 12:56:15,0.2.2,,1298.0,5.0,96.0,96.0,31.0,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,163636.0,3.0,,,,,,,,,,,,,,,,
