,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,trending,gem_url,apt_id,updated_github_id,github-id
13,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",40,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2024-03-26 13:40:15.000000,2024-03-26 13:40:14,3863.0,52.0,1948.0,239.0,4175.0,108.0,2128.0,11866.0,2023-08-15 20:00:30,1.11.1,67.0,5952.0,5952.0,383.0,,,2876514.0,1.0,7221164.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-08-15 20:02:07.060982,151.0,268442870.0,,,,,,,,,,,,
14,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",40,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2024-03-28 17:44:34.402912,2024-03-28 17:06:40,5023.0,88.0,1233.0,123.0,4141.0,341.0,2151.0,9080.0,2024-03-28 16:33:25,0.63.0,100.0,3701.0,3701.0,448.0,,,5416889.0,1.0,6230532.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2024-03-28 17:44:34.402912,41.0,524849448.0,,,,,,,,,,,,
15,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,39,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2024-02-06 14:46:47.000000,2024-01-06 20:50:34,1694.0,5.0,465.0,68.0,496.0,79.0,293.0,2734.0,2023-01-10 13:13:43,3.2.2,48.0,509414.0,509414.0,195.0,,,104202035.0,1.0,,,,,,,oauthlib,https://pypi.org/project/oauthlib,104202035.0,,,,,,,,,
16,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],38,True,keycloak/keycloak,,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2024-03-28 17:59:27.000000,2024-03-28 13:34:06,24529.0,905.0,6021.0,376.0,14965.0,1745.0,7584.0,19517.0,2024-03-24 22:33:12,24.0.2,54.0,,,1360.0,,,66892.0,1.0,2608811.0,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,
17,speechbrain,https://github.com/speechbrain/speechbrain,biometrics,A PyTorch-based Speech Toolkit.,,,38,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2024-03-28 16:15:29.000000,2024-03-28 16:15:28,9736.0,126.0,1226.0,127.0,1154.0,85.0,926.0,7718.0,2024-02-26 20:54:49,1.0.0,11.0,1661.0,1661.0,231.0,,,2069634.0,1.0,,,,,,,speechbrain,https://pypi.org/project/speechbrain,2069634.0,,,,,,,,,
18,ory-hydra,https://github.com/ory/hydra,authentication,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",,['ory'],37,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2024-03-27 15:40:57.000000,2024-03-27 15:40:00,3801.0,52.0,1345.0,231.0,1767.0,79.0,1406.0,15056.0,2024-02-12 11:37:33,2.2.0,100.0,3.0,3.0,291.0,,,3927501.0,1.0,742219.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2024-02-12 11:37:33.043853,75.0,415222478.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,,
19,deepface,https://github.com/serengil/deepface,biometrics,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,37,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2024-03-27 07:59:23.000000,2024-03-24 16:59:48,1363.0,221.0,1745.0,131.0,175.0,3.0,968.0,9696.0,2024-03-22 10:14:08,0.0.89,9.0,2792.0,2792.0,58.0,,,123916.0,1.0,,,,,,,deepface,https://pypi.org/project/deepface,123916.0,,,,,,,,,
20,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],36,False,hashicorp/vault,,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2024-03-28 18:08:23.000000,2024-03-28 16:53:28,19331.0,610.0,3918.0,824.0,20112.0,993.0,4942.0,29516.0,2024-03-26 17:18:34,1.16.0,100.0,7074.0,7074.0,1461.0,,,,1.0,,,,,,,,,,,,,,,,,,
21,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-02-13 20:03:34.000000,2024-01-26 23:38:34,625.0,1.0,1203.0,309.0,157.0,339.0,428.0,22351.0,,,,1026355.0,1026355.0,38.0,https://www.npmjs.com/package/passport,10784403.0,10784403.0,2.0,,,,,,,,,,,,,,,,,,
22,ory-kratos,https://github.com/ory/kratos,idp,"Next-gen identity server replacing your Auth0, Okta, Firebase with hardened security and PassKeys, SMS, OIDC, Social..",,['ory'],36,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2024-03-28 16:00:41.000000,2024-03-28 13:05:24,4189.0,122.0,896.0,110.0,1883.0,180.0,1062.0,10484.0,2024-02-20 12:26:07,1.1.0,44.0,327.0,327.0,221.0,,,1614640.0,1.0,38659.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2024-02-20 12:26:07.173920,17.0,112970710.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,,
23,authlib,https://github.com/lepture/authlib,authentication,"The ultimate Python library in building OAuth, OpenID Connect clients and servers. JWS,JWE,JWK,JWA,JWT included.",,,36,True,lepture/authlib,,https://github.com/lepture/authlib,BSD-3-Clause,2017-10-27 06:52:26,2024-03-28 13:29:51.000000,2024-02-28 01:46:28,1378.0,7.0,402.0,60.0,192.0,80.0,349.0,4214.0,2023-12-17 12:54:58,1.3.0,33.0,31674.0,31674.0,107.0,,,8591498.0,2.0,,,,,,,authlib,https://pypi.org/project/authlib,8591498.0,,,,,,,,,
24,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,35,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2024-03-27 10:26:12.000000,2024-03-27 10:21:53,1564.0,36.0,251.0,41.0,390.0,12.0,441.0,5528.0,2024-03-27 10:22:02,@casl/mongoose@7.3.1,100.0,68885.0,68885.0,68.0,https://www.npmjs.com/package/@casl/ability,2292444.0,2292444.0,1.0,,,,,,,,,,,,,,,,,,
25,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,34,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2024-03-27 13:04:28.000000,2024-03-18 14:25:25,1089.0,7.0,1575.0,230.0,492.0,46.0,744.0,16731.0,2024-03-18 14:26:40,2.85.0,100.0,2943.0,2943.0,141.0,https://www.npmjs.com/package/casbin,204372.0,329576.0,2.0,,,,,,,casbin,https://pypi.org/project/casbin,125204.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,,,
26,face-api-js,https://github.com/justadudewhohacks/face-api.js,biometrics,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,34,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2024-01-24 09:25:35.000000,2020-04-22 16:40:10,488.0,,3543.0,337.0,109.0,432.0,391.0,16018.0,2020-03-22 14:01:55,0.22.2,38.0,8668.0,8668.0,25.0,https://www.npmjs.com/package/face-api.js,134321.0,134321.0,2.0,,,,,,,,,,,,,,,,,,
27,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,34,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2024-03-28 14:20:15.000000,2024-03-28 13:57:26,8231.0,533.0,554.0,57.0,5896.0,313.0,1437.0,4325.0,2024-03-19 14:02:36,ockam_v0.118.0,100.0,183.0,183.0,309.0,,,13107.0,2.0,353899.0,,,,,,,,,,,,build-trust/ockam/ockam,,,,,
28,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,33,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2024-03-28 00:44:04.124932,2024-03-27 11:17:57,24993.0,602.0,3832.0,606.0,4677.0,,,10727.0,2024-03-01 14:37:08,7.0.2,100.0,21.0,21.0,347.0,,,6215.0,2.0,,apereo/cas,https://hub.docker.com/r/apereo/cas,2024-03-28 00:44:04.124932,129.0,932354.0,,,,,,,,,,,,
29,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired permissions database to enable fine-grained access control for customer..",,,33,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2024-03-28 17:35:01.000000,2024-03-28 16:12:34,3680.0,267.0,236.0,37.0,1385.0,100.0,326.0,4412.0,2024-03-19 12:48:19,1.30.0,69.0,50.0,50.0,43.0,,,70123.0,2.0,54178.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2024-03-19 12:59:32.182440,7.0,2117866.0,,,,,,,,,,,,
30,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2024-03-27 16:14:26.274244,2024-03-27 15:25:37,3384.0,129.0,274.0,39.0,4025.0,78.0,885.0,3822.0,2024-03-13 15:14:20,0.25.1,100.0,17.0,17.0,91.0,,,21669200.0,2.0,54501.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2024-03-27 16:14:26.274244,10.0,1343424216.0,,,,,,,,,,,,
31,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,33,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2024-03-14 14:11:29.000000,2024-01-30 13:06:56,3603.0,4.0,390.0,31.0,523.0,76.0,356.0,538.0,2024-01-30 11:50:06,7.5.0,51.0,1701.0,1701.0,173.0,,,630142.0,2.0,,,,,,,pysaml2,https://pypi.org/project/pysaml2,630142.0,,,,,,,,,
32,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,biometrics,The worlds simplest facial recognition api for Python and the command line.,,,32,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-02-24 12:51:59.000000,2022-06-10 09:12:18,238.0,,13023.0,1565.0,227.0,731.0,584.0,51493.0,2018-04-02 17:18:43,1.2.2,2.0,21.0,21.0,54.0,,,136960.0,2.0,1227.0,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,16.0,7585.0,face_recognition,https://pypi.org/project/face_recognition,136856.0,,,,,,,,,
33,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,biometrics,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,32,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2024-03-19 08:05:33.000000,2024-03-04 02:55:39,4740.0,4.0,1736.0,182.0,1693.0,469.0,1360.0,9972.0,2023-04-14 09:36:52,r1.4.1,15.0,98.0,98.0,136.0,,,256550.0,2.0,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,256550.0,,,,,,,,,
34,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,32,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2024-03-28 17:07:32.951597,2024-03-28 16:52:18,2386.0,233.0,987.0,61.0,1443.0,97.0,1168.0,8438.0,2024-03-28 17:01:53,1.585.0,100.0,3.0,3.0,172.0,,,3731.0,2.0,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2024-03-28 17:07:32.951597,13.0,152996.0,,,,,,,,,,,,
35,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",32,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2024-03-28 16:39:10.000000,2024-03-27 22:22:59,6511.0,169.0,436.0,78.0,3647.0,151.0,1221.0,1656.0,2024-03-25 21:14:22,1.9.2,100.0,142.0,142.0,185.0,,,2883.0,2.0,222033.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,
36,wso2-identity-server,https://github.com/wso2/product-is,idp,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and..,,,32,True,wso2/product-is,,https://github.com/wso2/product-is,Apache-2.0,2014-04-21 08:55:36,2024-03-28 16:48:47.000000,2024-03-28 16:48:47,12900.0,699.0,699.0,117.0,6710.0,4070.0,9206.0,741.0,2024-03-04 08:48:32,7.0.0,100.0,,,699.0,,,16139.0,2.0,10878.0,wso2/wso2is,https://hub.docker.com/r/wso2/wso2is,2024-03-08 07:03:37.681569,35.0,1886622.0,,,,,,,,,,,,
37,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,31,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2024-03-28 17:26:55.000000,2024-03-28 17:25:49,5558.0,443.0,1007.0,157.0,5378.0,60.0,1148.0,19262.0,2024-03-20 05:41:34,4.38.6,100.0,,,154.0,,,739.0,2.0,35499.0,,,,,,,,,,,,,,,,,
38,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2024-03-28 04:57:42.000000,2024-03-22 20:16:21,2801.0,146.0,1518.0,173.0,2111.0,293.0,807.0,8922.0,2024-03-22 20:32:45,2.39.0,82.0,156.0,156.0,234.0,,,3.0,2.0,309.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,
39,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2024-03-27 23:14:50.000000,2024-03-27 23:14:49,4057.0,470.0,261.0,199.0,4238.0,83.0,251.0,3781.0,2024-03-21 20:57:34,0.15.3,54.0,8.0,8.0,155.0,,,267615.0,3.0,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2024-03-21 21:00:35.925884,13.0,13380791.0,,,,,,,,,,,,
40,py_webauthn,https://github.com/duo-labs/py_webauthn,authentication,Pythonic WebAuthn.,,,31,True,duo-labs/py_webauthn,,https://github.com/duo-labs/py_webauthn,BSD-3-Clause,2017-11-10 18:02:28,2024-03-28 16:57:20.000000,2024-02-19 04:26:42,442.0,65.0,156.0,37.0,115.0,4.0,88.0,785.0,2024-01-11 16:18:23,2.0.0,25.0,1012.0,1012.0,27.0,,,78751.0,2.0,,,,,,,webauthn,https://pypi.org/project/webauthn,78751.0,,,,,,,,,
41,insightface,https://github.com/deepinsight/insightface,biometrics,State-of-the-art 2D and 3D Face Analysis Project.,,,30,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2023-12-24 05:29:03.000000,2023-12-24 05:29:03,2283.0,,5046.0,499.0,152.0,1037.0,1353.0,20940.0,2023-04-02 07:43:27,0.7,1.0,1871.0,1871.0,58.0,,,230169.0,3.0,2531852.0,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,141.0,,,,,,,,1.0,,,,
42,logto,https://github.com/logto-io/logto,idp,The better identity infrastructure for developers and the open-source alternative to Auth0.,,,30,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2024-03-28 18:04:28.000000,2024-03-28 15:48:11,5895.0,452.0,317.0,39.0,5169.0,73.0,282.0,7072.0,2024-03-01 07:10:09,1.14.0,55.0,11.0,11.0,50.0,,,2020.0,2.0,2890.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2024-03-01 07:08:17.094617,2.0,62543.0,,,,,,,,,,,,
43,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,30,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2024-03-27 07:51:19.000000,2024-03-26 16:46:53,2700.0,89.0,119.0,61.0,308.0,28.0,255.0,803.0,2024-03-27 08:06:51,5.4.0,37.0,133.0,133.0,46.0,,,88758.0,2.0,9321.0,,,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,88657.0,,,,,,,,,
44,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],30,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2024-03-28 16:21:17.000000,2024-03-25 23:02:49,622.0,10.0,64.0,40.0,215.0,4.0,85.0,319.0,2024-03-25 23:03:17,8.0.4,100.0,4654.0,4654.0,41.0,https://www.npmjs.com/package/did-jwt,203027.0,203027.0,1.0,,,,,,,,,,,,,,1.0,,,,
45,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,29,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2024-03-26 18:27:35.000000,2024-03-26 18:06:48,1799.0,16.0,12719.0,1525.0,518.0,17.0,831.0,48939.0,2023-06-18 18:08:19,2.2.0,4.0,,,97.0,,,4533.0,3.0,276540.0,,,,,,,,,,,,,,,,,
46,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2024-03-26 14:37:49.000000,2024-03-26 14:37:44,2411.0,22.0,1009.0,107.0,831.0,30.0,836.0,5248.0,2024-02-14 08:01:40,.5.6.9,65.0,8583.0,8583.0,322.0,,,,2.0,,,,,,,,,,,,,,,doorkeeper,,,
47,keto,https://github.com/ory/keto,authorization,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",,['ory'],29,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2024-03-25 13:43:30.000000,2024-03-05 09:59:16,1505.0,19.0,324.0,57.0,1123.0,35.0,275.0,4576.0,,,52.0,26.0,26.0,71.0,,,708689.0,2.0,21236.0,oryd/keto,https://hub.docker.com/r/oryd/keto,2024-02-01 15:34:43.379158,7.0,51001789.0,,,,,,,,,,,,
48,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],29,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2024-03-26 15:50:43.000000,2024-02-29 16:18:26,1361.0,7.0,327.0,48.0,721.0,53.0,278.0,3187.0,2024-02-29 16:17:31,0.40.7,100.0,3.0,3.0,110.0,,,1129790.0,3.0,36480.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2024-02-29 16:17:31.079046,36.0,88086220.0,,,,,,,,,,,,
49,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],29,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2024-03-25 19:10:57.000000,2024-03-18 20:41:34,3061.0,48.0,290.0,78.0,852.0,285.0,626.0,1764.0,2024-03-08 08:15:27,5.7.9,53.0,3.0,3.0,87.0,https://www.npmjs.com/package/solid-server,564.0,9338.0,1.0,,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-03-18 20:51:00.665037,5.0,1000315.0,,,,,,,,,,,,
50,identity-server,https://github.com/DuendeSoftware/IdentityServer,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2024-03-21 20:23:24.000000,2024-03-21 20:23:23,5282.0,54.0,292.0,40.0,776.0,54.0,264.0,1306.0,2024-03-21 20:17:49,7.0.3,56.0,1754.0,1754.0,297.0,,,,2.0,,,,,,,,,,,,,,,,,,
51,deepfacelab,https://github.com/iperov/DeepFaceLab,biometrics,DeepFaceLab is the leading software for creating deepfakes.,,,28,True,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-10-24 10:56:48.000000,2023-04-27 06:45:45,1313.0,,9339.0,1121.0,131.0,541.0,801.0,45048.0,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,2.0,21.0,21.0,22.0,,,3685.0,3.0,176925.0,,,,,,,,,,,,,,,,,
52,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-10-25 21:16:29.000000,2023-06-14 17:20:41,735.0,,3502.0,761.0,74.0,10.0,371.0,15038.0,2016-02-25 17:42:46,0.2.1,4.0,72.0,72.0,30.0,,,1582.0,3.0,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,70.0,161444.0,,,,,,,,,,,,
53,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,28,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2024-03-28 17:21:34.000000,2024-03-28 16:22:08,2964.0,200.0,392.0,40.0,5086.0,496.0,1560.0,6643.0,2024-03-27 10:58:43,2.42.17,100.0,,,102.0,,,513.0,3.0,2054.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,https://charts.zitadel.com,,,,1.0,,,,
54,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2024-03-28 00:17:40.000000,2024-03-28 00:17:39,6500.0,98.0,558.0,138.0,4444.0,201.0,2733.0,4970.0,2024-03-26 19:02:45,release-2024-03-26,100.0,,,132.0,,,20805.0,2.0,66894.0,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2024-03-05 20:31:13.477384,13.0,1971952.0,,,,,,,,,,,,
