,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,trending,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
28,spicedb,authzed/spicedb,,,authorization,,https://github.com/authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2023-05-18 17:52:42.000000,2023-05-18 17:44:27,2745.0,181.0,33.0,986.0,3462.0,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",27.0,31,True,243.0,29.0,102.0,232.0,2023-05-11 21:44:55,22.0,14638.0,2.0,1.21.0,13899.0,22.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2023-05-11 18:51:12.222963,292842.0,,,,,,4.0,,,,,,,,,
29,node-oidc-provider,panva/node-oidc-provider,,,authentication,,https://github.com/panva/node-oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2023-05-17 20:59:23.000000,2023-05-17 20:59:20,2390.0,710.0,69.0,216.0,2658.0,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,62.0,31,True,29.0,100.0,,,2023-05-06 15:35:59,972.0,111132.0,2.0,8.2.1,,972.0,,,,,,oidc-provider,https://www.npmjs.com/package/oidc-provider,111132.0,,,,,,,,,,,
30,spire,spiffe/spire,,,machine,"['cncf', 'linux-foundation']",https://github.com/spiffe/spire,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2023-05-18 12:29:06.000000,2023-05-16 14:04:58,5962.0,367.0,83.0,2949.0,1405.0,The SPIFFE Runtime Environment.,156.0,31,True,165.0,80.0,165.0,1046.0,2023-05-17 21:56:54,111.0,1852.0,2.0,1.6.4,124102.0,111.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,,,
31,ageitgey-face-recognition,ageitgey/face_recognition,,,face,,https://github.com/ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-05-17 09:22:26.000000,2022-06-10 09:12:18,238.0,12632.0,1576.0,217.0,48290.0,The worlds simplest facial recognition api for Python and the command line.,54.0,30,True,,2.0,695.0,578.0,2018-04-02 17:18:43,,64079.0,2.0,1.2.2,1104.0,,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,6430.0,,,,,,15.0,face_recognition,https://pypi.org/project/face_recognition,63978.0,,,,,,
32,deepface,serengil/deepface,,,face,,https://github.com/serengil/deepface,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2023-05-12 08:26:05.000000,2023-05-11 15:53:52,1012.0,1312.0,100.0,72.0,6311.0,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",41.0,30,True,47.0,,9.0,674.0,,1417.0,55371.0,2.0,,,1417.0,,,,,,,,,,,deepface,https://pypi.org/project/deepface,55371.0,,,,,,
33,doorkeeper,doorkeeper-gem/doorkeeper,,,authentication,,https://github.com/doorkeeper-gem/doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2023-05-18 09:00:35.000000,2023-05-13 14:03:33,2356.0,997.0,108.0,809.0,5140.0,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,308.0,30,True,25.0,62.0,20.0,825.0,2023-03-29 07:20:04,7777.0,,3.0,5.6.6,,7777.0,,,,,,,,,,,,,,,,,,doorkeeper,
34,boundary,hashicorp/boundary,,,machine,['hashicorp'],https://github.com/hashicorp/boundary,https://github.com/hashicorp/boundary,MPL-2.0,2020-01-08 18:24:07,2023-05-18 16:54:25.000000,2023-05-18 16:54:23,2916.0,229.0,75.0,2935.0,3613.0,Boundary enables identity-based access management for dynamic infrastructure.,130.0,30,True,173.0,43.0,74.0,217.0,2023-04-07 19:27:59,8.0,165701.0,3.0,0.12.2,,8.0,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2023-04-07 19:36:45.208207,6628051.0,,,,,,10.0,,,,,,,,,
35,authelia,authelia/authelia,,,idp,,https://github.com/authelia/authelia,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2023-05-18 15:54:14.000000,2023-05-18 15:51:47,4322.0,900.0,157.0,4120.0,16380.0,The Single Sign-On Multi-Factor portal for web apps.,126.0,29,True,387.0,100.0,67.0,1035.0,2022-12-21 09:01:04,2.0,560.0,2.0,4.37.5,22406.0,2.0,,,,,,,,,,,,,,,,,,,
36,dex,dexidp/dex,,,authentication,['linux-foundation'],https://github.com/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2023-05-18 17:37:28.000000,2023-05-18 17:37:27,2463.0,1411.0,175.0,1729.0,8107.0,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,216.0,29,True,134.0,79.0,280.0,775.0,2023-03-20 13:29:42,15.0,2.0,3.0,2.36.0,258.0,15.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,1.0,,,,,,,,,,
37,oathkeeper,ory/oathkeeper,,,machine,['ory'],https://github.com/ory/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2023-05-13 20:10:49.000000,2023-04-26 17:03:16,1310.0,304.0,48.0,697.0,2963.0,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",105.0,29,True,26.0,100.0,50.0,263.0,2023-04-26 17:01:50,2.0,1140970.0,3.0,0.40.3,23026.0,2.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2023-04-26 17:01:50.032478,77562645.0,,,,,,25.0,,,,,,,,,
