,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,trending
57,permify,permify/permify,,,authorization,,https://github.com/Permify/permify,https://github.com/Permify/permify,Apache-2.0,2022-07-14 11:16:57,2023-04-24 09:08:06.000000,2023-04-24 08:55:15,1258.0,44.0,11.0,327.0,1320.0,Permify is an open-source authorization service inspired by Google Zanzibar.,18.0,22,True,582.0,24.0,25.0,59.0,2023-04-19 16:38:30,,48.0,3.0,0.3.9,390.0,,ghcr.io/permify/permify,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,,
58,gotrue,netlify/gotrue,,,idp,,https://github.com/netlify/gotrue,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2023-03-07 03:09:30.000000,2022-02-10 15:59:24,635.0,252.0,64.0,214.0,3359.0,An SWT based API for managing users and issuing SWT tokens.,37.0,21,False,,2.0,9.0,111.0,2022-02-09 12:50:28,10.0,,3.0,1.0.1,,10.0,,,,,,,,,,,,,,,,,
59,veramo,uport-project/veramo,,,decentralized,,https://github.com/uport-project/veramo,https://github.com/uport-project/veramo,Apache-2.0,2019-11-12 14:18:17,2023-04-24 02:38:52.000000,2023-04-14 22:38:36,1703.0,96.0,19.0,637.0,306.0,A JavaScript Framework for Verifiable Data.,48.0,21,True,71.0,34.0,57.0,331.0,2023-03-16 15:09:58,,,2.0,5.1.4,,,,,,,,,,,,,,,,,,,
60,aries-framework-javascript,hyperledger/aries-framework-javascript,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-framework-javascript,https://github.com/hyperledger/aries-framework-javascript,Apache-2.0,2019-11-20 17:23:33,2023-04-24 12:06:32.000000,2023-04-24 12:03:15,754.0,121.0,26.0,877.0,178.0,Aries Framework JavaScript (Built using TypeScript).,50.0,21,True,114.0,74.0,145.0,391.0,2023-01-18 18:22:49,2.0,,2.0,0.3.3,,2.0,,,,,,,,,,,,,,,,,
61,web-did-resolver,decentralized-identity/web-did-resolver,,,decentralized,['dif'],https://github.com/decentralized-identity/web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2023-04-17 00:44:42.000000,2023-04-03 11:05:53,243.0,13.0,13.0,112.0,67.0,DID resolver for HTTPS domains.,12.0,21,False,7.0,34.0,1.0,10.0,2023-04-03 11:06:06,547.0,21418.0,2.0,2.0.23,,547.0,,,,,,web-did-resolver,https://www.npmjs.com/package/web-did-resolver,21418.0,,,,,,,,,
62,sidetree,decentralized-identity/sidetree,,,standards,['dif'],https://github.com/decentralized-identity/sidetree,https://github.com/decentralized-identity/sidetree,Apache-2.0,2018-09-04 17:20:14,2023-04-06 21:55:29.000000,2023-04-04 19:14:54,1149.0,100.0,42.0,676.0,420.0,Sidetree Specification and Reference Implementation.,47.0,20,True,1.0,12.0,38.0,440.0,2021-03-09 22:06:35,28.0,,2.0,1.0.2,,28.0,,,,,,,,,,,,,,,,,
63,ion,decentralized-identity/ion,,,decentralized,,https://github.com/decentralized-identity/ion,https://github.com/decentralized-identity/ion,Apache-2.0,2019-01-25 00:34:40,2023-03-23 03:45:28.000000,2023-03-20 08:32:40,214.0,155.0,93.0,183.0,1182.0,The Identity Overlay Network (ION) is a DID Method implementation using the Sidetree protocol atop Bitcoin.,30.0,19,True,9.0,17.0,62.0,68.0,2022-06-09 01:42:53,,,2.0,1.0.4,,,,,,,,,,,,,,,,,,,
64,webauthn,w3c/webauthn,,,standards,['w3c'],https://github.com/w3c/webauthn,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2023-04-24 12:31:56.000000,2023-04-21 23:02:11,2028.0,137.0,168.0,782.0,952.0,Web Authentication: An API for accessing Public Key Credentials.,67.0,19,True,25.0,7.0,71.0,986.0,2018-03-20 13:11:25,,,2.0,CR-00-20180320,,,,,,,,,,,,,,,,,,,
65,keystone,openstack/keystone,,,idp,['openstack'],https://github.com/openstack/keystone,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2023-04-21 17:38:20.000000,2023-04-21 17:30:29,14792.0,642.0,115.0,17.0,656.0,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,710.0,19,True,10.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
66,aries-rfcs,hyperledger/aries-rfcs,,,standards,['hyperledger'],https://github.com/hyperledger/aries-rfcs,https://github.com/hyperledger/aries-rfcs,Apache-2.0,2019-05-08 16:49:20,2023-04-16 09:58:48.000000,2023-03-31 16:40:35,2105.0,203.0,58.0,564.0,296.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",84.0,19,True,20.0,,48.0,169.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
