,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
40,did-jwt,decentralized-identity/did-jwt,,,decentralized,['dif'],https://github.com/decentralized-identity/did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2023-05-09 09:09:36.000000,2023-05-03 18:19:34,569.0,62.0,38.0,199.0,291.0,Create and verify DID verifiable JWTs in Javascript.,40.0,29,True,19.0,91.0,6.0,73.0,2023-05-03 18:20:07,3264.0,95508.0,1.0,7.1.0,,3264.0,,,,,,did-jwt,https://www.npmjs.com/package/did-jwt,95508.0,,,,,,,,,,
41,openface,cmusatyalab/openface,,,face,,https://github.com/cmusatyalab/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2022-11-04 19:08:42.000000,2019-11-26 15:56:28,734.0,3463.0,764.0,73.0,14748.0,Face recognition with deep neural networks.,30.0,28,False,,4.0,9.0,370.0,2016-02-25 17:42:46,65.0,1728.0,3.0,0.2.1,,65.0,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,158985.0,,,,,70.0,,,,,,,,,
42,dex,dexidp/dex,,,authentication,['linux-foundation'],https://github.com/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2023-05-11 18:13:27.000000,2023-05-11 18:12:25,2440.0,1411.0,175.0,1715.0,8096.0,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,216.0,28,True,121.0,79.0,279.0,775.0,2023-03-20 13:29:42,15.0,2.0,3.0,2.36.0,258.0,15.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,,
43,casdoor,casdoor/casdoor,,,idp,,https://github.com/casdoor/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2023-05-11 17:01:28.000000,2023-05-11 17:00:06,1582.0,705.0,50.0,1000.0,5961.0,An open-source Identity and Access Management (IAM) / Single-Sign-On (SSO) platform powered by Casbin and AI gateway..,116.0,28,True,232.0,100.0,98.0,676.0,2023-05-09 13:06:57,1.0,1488.0,2.0,1.312.0,,1.0,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2023-04-28 16:56:13.403124,46142.0,,,,,6.0,,,,,,,,,
44,logto,logto-io/logto,,,idp,,https://github.com/logto-io/logto,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2023-05-11 15:46:02.000000,2023-05-10 05:51:02,4106.0,201.0,33.0,3551.0,5736.0,Logto is a cost-effective open-source alternative to Auth0. It offers a seamless developer experience and is well-..,33.0,28,True,764.0,39.0,49.0,197.0,2023-04-27 12:15:06,6.0,487.0,2.0,1.2.3,1604.0,6.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2023-05-10 06:02:38.351343,8381.0,,,,,1.0,,,,,,,,,
45,boulder,letsencrypt/boulder,,,pki,['linux-foundation'],https://github.com/letsencrypt/boulder,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2023-05-11 17:39:56.000000,2023-05-11 17:39:54,6171.0,526.0,138.0,4077.0,4628.0,"An ACME-based certificate authority, written in Go.",125.0,28,True,147.0,65.0,184.0,2605.0,2023-05-08 22:06:21,,22696.0,2.0,release-2023-05-08,51865.0,,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2023-05-03 02:37:18.589906,1918251.0,,,,,12.0,,,,,,,,,
46,keto,ory/keto,,,authorization,['ory'],https://github.com/ory/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2023-05-10 04:00:26.000000,2023-04-19 14:14:39,1395.0,287.0,59.0,960.0,4024.0,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",66.0,28,True,83.0,50.0,45.0,248.0,,2.0,734859.0,3.0,,14749.0,2.0,oryd/keto,https://hub.docker.com/r/oryd/keto,2023-03-09 14:30:27.177505,45544364.0,,,,,6.0,,,,,,,,,
47,zitadel,zitadel/zitadel,,,idp,,https://github.com/zitadel/zitadel,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2023-05-11 16:10:27.000000,2023-05-11 16:02:34,2157.0,181.0,24.0,4080.0,3396.0,ZITADEL - The best of Auth0 and Keycloak combined. Built for the serverless era.,52.0,28,True,231.0,100.0,336.0,1109.0,2023-05-11 16:34:29,1.0,313.0,2.0,2.26.2,1880.0,1.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,,https://charts.zitadel.com,,,,,
48,oso,osohq/oso,,,authorization,,https://github.com/osohq/oso,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2023-05-05 21:07:42.000000,2023-05-04 20:09:28,1191.0,146.0,30.0,1503.0,3034.0,Oso is a batteries-included framework for building authorization in your application.,62.0,28,True,18.0,100.0,99.0,97.0,2023-04-03 23:25:23,70.0,43540.0,3.0,0.27.0,2158.0,70.0,,,,,,,,,,oso,https://pypi.org/project/oso,43461.0,,,,,,
49,cerbos,cerbos/cerbos,,,authorization,,https://github.com/cerbos/cerbos,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2023-05-11 06:52:01.000000,2023-05-11 06:52:01,1237.0,61.0,21.0,1313.0,1366.0,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",18.0,27,True,80.0,49.0,33.0,211.0,2023-04-17 07:47:59,11.0,1309.0,3.0,0.26.0,34035.0,11.0,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,
50,jansen,janssenproject/jans,,,idp,['linux-foundation'],https://github.com/JanssenProject/jans,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2023-05-11 18:02:54.000000,2023-05-11 16:57:16,32280.0,48.0,23.0,2774.0,219.0,"Welcome to the Janssen Project, an open standards-based digital Identity platform introducing Agama, a programming..",107.0,27,True,667.0,100.0,327.0,1836.0,2023-05-10 09:56:13,,224.0,3.0,1.0.13,449.0,,,,,,,,,,,,,,,,,,,
51,did-resolver,decentralized-identity/did-resolver,,,decentralized,['dif'],https://github.com/decentralized-identity/did-resolver,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2023-05-08 01:44:42.000000,2023-03-08 14:05:28,373.0,42.0,23.0,123.0,177.0,Universal did-resolver for javascript environments.,24.0,27,True,2.0,24.0,3.0,18.0,2023-03-08 14:05:37,3936.0,155211.0,1.0,4.1.0,,3936.0,,,,,,did-resolver,https://www.npmjs.com/package/did-resolver,155211.0,,,,,,,,,,
52,whisper,openai/whisper,,,voice,,https://github.com/openai/whisper,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2023-05-08 16:57:19.000000,2023-05-05 07:31:35,115.0,3831.0,338.0,144.0,35888.0,Robust Speech Recognition via Large-Scale Weak Supervision.,54.0,26,True,35.0,6.0,,,2023-03-15 07:40:02,,178019.0,3.0,20230314,,,,,,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,178019.0,,,,,,
53,kanidm,kanidm/kanidm,,,idp,,https://github.com/kanidm/kanidm,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2023-05-11 09:34:27.000000,2023-05-11 07:46:22,1199.0,85.0,15.0,1147.0,1448.0,"Kanidm: A simple, secure and fast identity management platform.",40.0,26,True,199.0,14.0,106.0,352.0,2023-05-01 01:14:41,42.0,102.0,3.0,1.1.0-alpha.12,18.0,42.0,kanidm/server,https://hub.docker.com/r/kanidm/server,2023-05-01 02:10:10.116593,5225.0,,,,,,,,,,,,,,
54,conjur,cyberark/conjur,,,machine,,https://github.com/cyberark/conjur,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2023-05-11 17:53:50.000000,2023-05-04 17:16:42,3282.0,116.0,44.0,1686.0,670.0,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,88.0,26,True,54.0,67.0,206.0,901.0,2023-01-26 20:38:30,,82325.0,3.0,1.19.3,306.0,,cyberark/conjur,https://hub.docker.com/r/cyberark/conjur,2023-05-04 17:46:49.374283,6832709.0,,,,,30.0,,,,,,,,,
