,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-05-11 17:48:42.000000,2023-05-11 17:44:21,22395.0,914.0,193.0,5681.0,1226.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",432.0,34,True,498.0,199.0,823.0,2576.0,2023-05-09 10:57:15,336.0,572.0,1.0,,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-05-11 10:18:52.000000,2023-05-10 20:59:07,1508.0,27.0,11.0,1599.0,49.0,Trinsic SDK repository.,41.0,27,False,81.0,33.0,4.0,370.0,2023-04-24 13:26:38,427.0,1672.0,1.0,1.11.0,7574.0,,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/ssi-sdk,https://github.com/Sphereon-Opensource/ssi-sdk,Apache-2.0,2021-04-12 14:54:14,2023-05-11 14:39:55.000000,2023-05-11 14:39:51,3633.0,29.0,22.0,417.0,140.0,Self Sovereign Identity SDK.,48.0,25,True,1105.0,59.0,6.0,35.0,2023-05-07 22:03:49,106.0,4.0,2.0,0.11.0,,8.0,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-05-11 15:26:28.000000,2023-05-10 16:22:41,2714.0,65.0,12.0,331.0,130.0,Use web3 identity / self-sovereign identity (SSI).,56.0,23,True,483.0,102.0,21.0,259.0,2023-05-08 14:13:55,,457.0,2.0,1.2305081125.0,35.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-05-08 11:34:13.589239,5004.0,,,,,,,,,,,,,,
4,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-05-11 10:33:52.000000,2023-05-05 06:36:04,1006.0,406.0,621.0,210.0,8584.0,Solid - Re-decentralizing the web (project directory).,41.0,21,True,35.0,1.0,313.0,206.0,2021-12-21 13:00:06,,,1.0,,,,,,,,,,,,,,,,,,,,,
5,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-05-11 00:16:51.000000,2023-05-02 16:55:06,1006.0,109.0,75.0,633.0,383.0,A cross-platform toolkit for decentralized identity.,50.0,20,True,18.0,,122.0,193.0,,142.0,,2.0,,,40.0,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,
6,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/issuer-node,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-11-08 12:11:09,2023-05-11 17:09:44.000000,2023-05-09 08:54:28,1269.0,22.0,12.0,388.0,56.0,Self Hosted Issuer Node.,23.0,20,False,822.0,10.0,7.0,77.0,2023-05-09 09:03:04,6.0,,2.0,.2.1.0,,,,,,,0xPolygonID/issuer-node,,,,,,,,,,,,,
7,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,6279.0,55.0,96.0,197.0,91.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,18,False,15.0,100.0,3.0,,2021-03-22 11:09:10,38.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,
8,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-05-11 07:30:23.000000,2023-05-11 07:30:15,6900.0,10.0,7.0,484.0,28.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,18,False,651.0,1.0,81.0,1406.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-05-11 13:46:36.000000,2023-05-10 12:33:08,2271.0,1949.0,92.0,1784.0,16463.0,Authentication for the Web.,527.0,41,True,161.0,100.0,132.0,2880.0,2023-04-28 15:09:18,81398.0,1974557.0,1.0,@next-auth/neo4j-adapter@1.0.6,,81398.0,,,,,,next-auth,https://www.npmjs.com/package/next-auth,1974557.0,,,,,,,,,,
10,coredns,coredns/coredns,,,machine,"['linux-foundation', 'cncf']",https://github.com/coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-05-09 14:11:38.000000,2023-05-09 14:11:38,3637.0,1805.0,235.0,3853.0,10786.0,CoreDNS is a DNS server that chains plugins.,353.0,41,True,82.0,65.0,73.0,2042.0,2023-02-06 18:30:04,5101.0,2798083.0,1.0,1.10.1,6683102.0,5101.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-02-06 18:31:58.105381,233450918.0,,,,,137.0,,,,,,,,,
11,keycloak,keycloak/keycloak,,,idp,['cncf'],https://github.com/keycloak/keycloak,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2023-05-11 16:21:28.000000,2023-05-11 16:20:11,21931.0,5219.0,358.0,11441.0,15983.0,Open Source Identity and Access Management For Modern Applications and Services.,1160.0,40,True,748.0,36.0,1630.0,4487.0,2023-04-26 10:24:38,284.0,59756.0,1.0,21.1.1,1732927.0,284.0,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,,
12,oauthlib,oauthlib/oauthlib,,,authentication,,https://github.com/oauthlib/oauthlib,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-04-14 08:21:48.000000,2023-01-10 13:20:21,1645.0,455.0,68.0,480.0,2579.0,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",191.0,40,True,,48.0,74.0,289.0,2023-01-10 13:13:43,365725.0,80016912.0,1.0,3.2.2,,365725.0,,,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,80016912.0,,,,,,
13,cert-manager,cert-manager/cert-manager,,,pki,['linux-foundation'],https://github.com/cert-manager/cert-manager,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2023-05-11 12:26:11.000000,2023-05-11 12:25:33,7758.0,1803.0,144.0,2884.0,10300.0,Automatically provision and manage TLS certificates in Kubernetes.,393.0,39,True,264.0,100.0,180.0,2805.0,2023-05-09 16:26:06,465.0,1253056.0,1.0,1.11.2,46363085.0,465.0,,,,,,,,,,,,,,,,,,
14,open-policy-agent,open-policy-agent/opa,,,authorization,"['cncf', 'linux-foundation']",https://github.com/open-policy-agent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2023-05-11 14:28:51.000000,2023-05-09 13:11:39,4575.0,1102.0,120.0,3644.0,8019.0,"An open source, general-purpose policy engine.",385.0,39,True,146.0,100.0,303.0,1944.0,2023-04-27 18:26:52,2407.0,3494640.0,1.0,0.52.0,2992197.0,2407.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2023-05-09 14:06:46.520782,305801378.0,,,,,30.0,,,,,,,,,
15,vault,hashicorp/vault,,,pki,['hashicorp'],https://github.com/hashicorp/vault,https://github.com/hashicorp/vault,MPL-2.0,2015-02-25 00:15:59,2023-05-11 16:51:32.000000,2023-05-11 11:56:46,17266.0,3647.0,815.0,14986.0,27651.0,"A tool for secrets management, encryption as a service, and privileged access management.",1336.0,38,True,533.0,90.0,868.0,4605.0,2023-04-26 19:33:13,6207.0,,2.0,1.13.2,,6207.0,,,,,,,,,,,,,,,,,,
16,passport,jaredhanson/passport,,,authentication,,https://github.com/jaredhanson/passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2023-05-02 16:33:16.000000,2023-03-10 17:27:55,617.0,1150.0,317.0,150.0,21443.0,"Simple, unobtrusive authentication for Node.js.",38.0,37,True,7.0,,329.0,416.0,,834482.0,8482460.0,2.0,,,834482.0,,,,,,passport,https://www.npmjs.com/package/passport,8482460.0,,,,,,,,,,
17,ory-hydra,ory/hydra,,,authentication,['ory'],https://github.com/ory/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2023-05-10 12:53:32.000000,2023-05-02 18:20:34,3600.0,1279.0,231.0,1652.0,14094.0,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",282.0,36,True,65.0,100.0,60.0,1370.0,2023-04-11 10:52:32,2.0,4062330.0,2.0,2.1.1,550040.0,2.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2023-04-11 10:52:32.445066,389158695.0,,,,,74.0,,,,https://k8s.ory.sh/helm/charts,,,,,
18,ory-kratos,ory/kratos,,,idp,['ory'],https://github.com/ory/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2023-05-10 14:24:04.000000,2023-05-08 16:38:54,3764.0,735.0,110.0,1564.0,8707.0,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, MFA, FIDO2, TOTP, WebAuthn,..",192.0,36,True,122.0,42.0,232.0,860.0,2023-04-18 17:07:18,316.0,1742796.0,1.0,0.13.0,28944.0,316.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2023-04-18 17:07:17.440071,104524390.0,,,,,16.0,,,,https://k8s.ory.sh/helm/charts,,,,,
