,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,trending,helm_id,maven_id,maven_url,brew_id,updated_github_id,gem_url,apt_id
10,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,38,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-11-20 18:36:48.000000,2023-10-25 05:42:36,1677.0,1.0,459.0,69.0,493.0,77.0,293.0,2678.0,48.0,470015.0,470015.0,195.0,,,84317208.0,1.0,,2023-01-10 13:13:43,3.2.2,,,,,,oauthlib,https://pypi.org/project/oauthlib,84317208.0,-1.0,,,,,,,
11,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,37,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2023-11-27 23:03:09.000000,2023-11-27 22:57:28,624.0,6.0,1185.0,310.0,157.0,334.0,426.0,22015.0,,959991.0,959991.0,38.0,https://www.npmjs.com/package/passport,9624542.0,9624542.0,2.0,,,,,,,,,,,,,,,,,,,
12,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],37,True,keycloak/keycloak,,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2023-12-07 18:09:07.000000,2023-12-07 15:27:16,23498.0,698.0,5697.0,370.0,13604.0,1879.0,6276.0,18247.0,45.0,,,1287.0,,,63095.0,1.0,quay.io/keycloak/keycloak,2023-11-29 06:07:19,23.0.1,2271449.0,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,
13,speechbrain,https://github.com/speechbrain/speechbrain,voice,A PyTorch-based Speech Toolkit.,,,37,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2023-12-07 18:17:49.000000,2023-11-30 20:15:29,9600.0,169.0,1154.0,125.0,1054.0,102.0,871.0,6920.0,10.0,1257.0,1257.0,224.0,,,173118.0,1.0,,2023-11-22 02:28:28,0.5.16,,,,,,speechbrain,https://pypi.org/project/speechbrain,173118.0,,,,,,,,
14,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],36,False,hashicorp/vault,,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2023-12-07 18:17:40.000000,2023-12-07 18:17:24,18640.0,500.0,3844.0,829.0,18495.0,932.0,4844.0,28947.0,100.0,6768.0,6768.0,1424.0,,,,2.0,,2023-12-05 20:48:13,1.15.4,,,,,,,,,,,,,,,,
15,ory-kratos,https://github.com/ory/kratos,idp,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, PassKeys, MFA, FIDO2, TOTP,..",,['ory'],36,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2023-12-07 13:26:55.000000,2023-12-05 08:01:45,4050.0,127.0,823.0,107.0,1770.0,172.0,1017.0,9649.0,43.0,326.0,326.0,215.0,,,1679858.0,1.0,oryd/kratos,2023-07-12 20:24:48,1.0.0,35527.0,https://hub.docker.com/r/oryd/kratos,2023-07-12 20:24:47.415774,17.0,112499943.0,,,,,https://k8s.ory.sh/helm/charts,,,,,,
16,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,35,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2023-12-05 06:07:00.000000,2023-12-05 06:03:50,1525.0,31.0,252.0,42.0,363.0,14.0,428.0,5277.0,100.0,60176.0,60176.0,67.0,https://www.npmjs.com/package/@casl/ability,2110053.0,2110053.0,2.0,,2023-11-21 22:26:52,@casl/angular@8.2.3,,,,,,,,,,,,,,,,
17,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,34,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-11-24 07:59:06.000000,2023-11-24 07:55:12,1080.0,4.0,1538.0,232.0,481.0,35.0,737.0,16125.0,100.0,2613.0,2613.0,135.0,https://www.npmjs.com/package/casbin,178139.0,283523.0,2.0,,2023-11-24 07:56:26,2.79.0,,,,,,casbin,https://pypi.org/project/casbin,105384.0,,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,
18,ory-hydra,https://github.com/ory/hydra,authentication,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",,['ory'],34,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2023-11-27 21:28:19.000000,2023-11-22 16:48:19,3736.0,30.0,1324.0,231.0,1725.0,78.0,1391.0,14730.0,100.0,2.0,2.0,290.0,,,3991249.0,2.0,oryd/hydra,2023-05-24 08:55:23,2.1.2,673866.0,https://hub.docker.com/r/oryd/hydra,2023-08-16 21:09:15.061728,75.0,410092786.0,,,,,https://k8s.ory.sh/helm/charts,,,,,,
19,face-api-js,https://github.com/justadudewhohacks/face-api.js,face,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,33,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2023-09-03 13:34:38.000000,2020-04-22 16:40:10,488.0,,3511.0,335.0,107.0,424.0,389.0,15702.0,38.0,7863.0,7863.0,25.0,https://www.npmjs.com/package/face-api.js,152022.0,152022.0,1.0,,2020-03-22 14:01:55,0.22.2,,,,,,,,,-1.0,,,,,,,
20,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,33,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2023-12-07 14:39:37.000000,2023-12-07 05:53:15,24187.0,524.0,3818.0,607.0,4569.0,,,10575.0,100.0,21.0,21.0,342.0,,,5868.0,2.0,apereo/cas,2023-11-17 08:24:37,6.6.14,,https://hub.docker.com/r/apereo/cas,2023-12-07 05:00:43.112238,129.0,862729.0,,,,,,,,,,,
21,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,33,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2023-12-07 18:16:35.000000,2023-12-07 15:45:41,7477.0,835.0,523.0,58.0,5221.0,290.0,1395.0,3921.0,100.0,183.0,183.0,295.0,,,13497.0,2.0,,2023-12-06 22:19:29,ockam_v0.107.0,337429.0,,,,,,,,,,,,build-trust/ockam/ockam,,,
22,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2023-12-07 18:16:48.000000,2023-12-07 17:54:42,3206.0,146.0,273.0,37.0,3836.0,84.0,863.0,3730.0,100.0,13.0,13.0,91.0,,,17908000.0,2.0,pomerium/pomerium,2023-11-16 19:06:01,0.24.0,49529.0,https://hub.docker.com/r/pomerium/pomerium,2023-12-07 18:16:47.451814,10.0,1056512460.0,,,,,,,,,,,
23,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,face,The worlds simplest facial recognition api for Python and the command line.,,,32,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-11-06 06:38:09.000000,2022-06-10 09:12:18,238.0,,12888.0,1572.0,224.0,718.0,584.0,50450.0,2.0,21.0,21.0,54.0,,,72518.0,2.0,animcogn/face_recognition,2018-04-02 17:18:43,1.2.2,1211.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,16.0,7134.0,face_recognition,https://pypi.org/project/face_recognition,72415.0,,,,,,,,
24,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,voice,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,32,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2023-12-05 06:57:20.000000,2023-12-05 06:57:20,4734.0,6.0,1667.0,182.0,1688.0,415.0,1336.0,9256.0,15.0,85.0,85.0,130.0,,,180307.0,3.0,,2023-04-14 09:36:52,r1.4.1,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,180307.0,,,,,,,,
25,deepface,https://github.com/serengil/deepface,face,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,32,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2023-12-07 09:28:17.000000,2023-12-07 09:14:40,1109.0,28.0,1582.0,117.0,98.0,8.0,802.0,8468.0,,2248.0,2248.0,48.0,,,139928.0,2.0,,,,,,,,,deepface,https://pypi.org/project/deepface,139928.0,,,,,,,,
26,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",32,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2023-12-07 18:03:36.000000,2023-12-06 19:06:01,6312.0,151.0,413.0,82.0,3399.0,142.0,1171.0,1569.0,93.0,124.0,124.0,179.0,,,2317.0,2.0,ghcr.io/spiffe/spire-server,2023-11-22 22:09:56,1.8.5,171464.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,
27,pysaml2,https://github.com/IdentityPython/pysaml2,authentication,Python implementation of SAML2.,,,32,True,IdentityPython/pysaml2,,https://github.com/IdentityPython/pysaml2,Apache-2.0,2012-05-23 21:12:14,2023-11-29 00:13:18.000000,2023-11-07 19:41:15,3599.0,9.0,385.0,31.0,522.0,69.0,353.0,532.0,50.0,1614.0,1614.0,172.0,,,534293.0,2.0,,2023-06-11 17:22:24,7.4.2,,,,,,pysaml2,https://pypi.org/project/pysaml2,534293.0,-1.0,,,,,,,
28,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",,,31,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2023-12-06 18:10:28.000000,2023-12-04 20:24:45,3372.0,253.0,216.0,37.0,1246.0,101.0,306.0,4033.0,63.0,38.0,38.0,38.0,,,55019.0,2.0,authzed/spicedb,2023-11-30 17:07:14,1.28.0,36200.0,https://hub.docker.com/r/authzed/spicedb,2023-11-30 17:07:13.676851,4.0,1503035.0,,,,,,,,,,,
29,insightface,https://github.com/deepinsight/insightface,face,State-of-the-art 2D and 3D Face Analysis Project.,,,30,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2023-11-14 17:36:10.000000,2023-09-10 02:01:49,2281.0,2.0,4834.0,496.0,150.0,985.0,1345.0,19237.0,1.0,1291.0,1291.0,57.0,,,149504.0,2.0,animcogn/insightface,2023-04-02 07:43:27,0.7,1196025.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,138.0,,,,,,,,,,,
30,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],30,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2023-12-06 04:54:57.000000,2023-10-25 14:03:03,2625.0,61.0,1480.0,176.0,1931.0,282.0,797.0,8624.0,80.0,144.0,144.0,223.0,,,3.0,2.0,quay.io/dexidp/dex,2023-06-30 14:12:39,2.37.0,306.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,-1.0,,,,,,,
31,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],30,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2023-12-07 18:11:14.000000,2023-12-07 16:59:34,3568.0,217.0,252.0,200.0,3801.0,75.0,242.0,3724.0,48.0,8.0,8.0,147.0,,,237596.0,3.0,hashicorp/boundary,2023-11-02 16:41:46,0.14.2,,https://hub.docker.com/r/hashicorp/boundary,2023-11-02 16:51:18.717636,11.0,11167047.0,,,,,,,,,,,
32,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],30,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2023-12-07 16:53:35.000000,2023-11-01 11:36:39,608.0,19.0,63.0,40.0,211.0,4.0,83.0,306.0,100.0,4235.0,4235.0,41.0,https://www.npmjs.com/package/did-jwt,164566.0,164566.0,1.0,,2023-11-01 11:37:20,7.4.5,,,,,,,,,,,,,,,,
33,deepfacelab,https://github.com/iperov/DeepFaceLab,face,DeepFaceLab is the leading software for creating deepfakes.,,,29,True,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-10-24 10:56:48.000000,2023-04-27 06:45:45,1313.0,,9011.0,1107.0,131.0,541.0,801.0,43593.0,2.0,21.0,21.0,22.0,,,3720.0,3.0,,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,167418.0,,,,,,,,,,,,,,,
34,openface,https://github.com/cmusatyalab/openface,face,Face recognition with deep neural networks.,,,29,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-10-25 21:16:29.000000,2023-06-14 17:20:41,735.0,,3484.0,759.0,74.0,9.0,370.0,14933.0,4.0,68.0,68.0,30.0,,,1626.0,3.0,bamos/openface,2016-02-25 17:42:46,0.2.1,,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,70.0,161045.0,,,,,,,,,,,
35,casdoor,https://github.com/casbin/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,29,True,casdoor/casdoor,,https://github.com/casbin/casdoor,Apache-2.0,2020-10-22 14:40:03,2023-12-07 09:15:24.026346,2023-12-07 08:59:41,2119.0,174.0,885.0,56.0,1307.0,96.0,1022.0,7539.0,100.0,3.0,3.0,149.0,,,2683.0,2.0,casbin/casdoor,2023-12-07 09:09:54,1.470.0,,https://hub.docker.com/r/casbin/casdoor,2023-12-07 09:15:24.026346,10.0,101969.0,,,,,,,,,casbin/casdoor,,
36,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2023-12-01 16:03:07.000000,2023-12-01 16:01:35,2389.0,25.0,1006.0,107.0,820.0,26.0,831.0,5217.0,64.0,8284.0,8284.0,314.0,,,,3.0,,2023-12-01 16:03:07,.5.6.8,,,,,,,,,-1.0,,,,,,doorkeeper,
37,keto,https://github.com/ory/keto,authorization,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",,['ory'],29,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2023-12-04 03:21:27.000000,2023-10-18 14:17:30,1482.0,19.0,314.0,57.0,1097.0,39.0,262.0,4371.0,50.0,21.0,21.0,71.0,,,736997.0,3.0,oryd/keto,,,18144.0,https://hub.docker.com/r/oryd/keto,2023-03-09 14:30:27.177505,7.0,50832362.0,,,,,,,,,,,
38,identity-server,https://github.com/DuendeSoftware/IdentityServer,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2023-12-05 13:00:35.000000,2023-12-05 12:47:58,5168.0,186.0,273.0,38.0,742.0,52.0,248.0,1212.0,49.0,1493.0,1493.0,295.0,,,,3.0,,2023-11-14 18:44:21,6.3.6,,,,,,,,,,,,,,,,
39,whisper,https://github.com/openai/whisper,voice,Robust Speech Recognition via Large-Scale Weak Supervision.,,,28,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2023-12-02 19:51:51.000000,2023-11-17 19:59:28,134.0,16.0,5730.0,456.0,192.0,,,52095.0,10.0,21.0,21.0,65.0,,,223019.0,3.0,,2023-11-17 19:59:53,20231117,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,223019.0,,,,,,,,
40,faceswap,https://github.com/deepfakes/faceswap,face,Deepfakes Software For All.,,,28,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2023-11-22 21:08:05.000000,2023-11-17 02:09:55,1783.0,7.0,12560.0,1528.0,514.0,16.0,816.0,47795.0,4.0,,,97.0,,,3133.0,3.0,,2023-06-18 18:08:19,2.2.0,181739.0,,,,,,,,,,,,,,,
41,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,28,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2023-12-07 18:09:06.000000,2023-12-07 15:44:10,5040.0,315.0,970.0,158.0,4875.0,68.0,1091.0,18066.0,100.0,,,137.0,,,629.0,2.0,,2022-12-21 09:01:04,4.37.5,29605.0,,,,,,,,,,,,,,,
42,logto,https://github.com/logto-io/logto,idp,Every app needs authentication and authorization. Logto is an Auth0 alternative designed for modern apps and SaaS..,,,28,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2023-12-07 16:20:12.000000,2023-12-07 03:27:55,5347.0,632.0,275.0,35.0,4706.0,73.0,246.0,6529.0,52.0,7.0,7.0,45.0,,,889.0,2.0,svhd/logto,2023-12-06 09:10:56,1.12.0,2718.0,https://hub.docker.com/r/svhd/logto,2023-12-06 13:22:53.608037,2.0,22629.0,,,,,,,,,,,
43,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,28,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2023-12-07 14:27:17.000000,2023-12-07 12:53:53,2737.0,209.0,317.0,33.0,4783.0,449.0,1374.0,5518.0,100.0,,,89.0,,,605.0,2.0,ghcr.io/zitadel/zitadel,2023-12-01 15:25:55,2.40.11,2420.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,https://charts.zitadel.com,,,,,,
44,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2023-12-07 16:56:03.000000,2023-12-07 16:56:02,6370.0,79.0,539.0,139.0,4296.0,196.0,2677.0,4849.0,96.0,,,127.0,,,20941.0,2.0,letsencrypt/boulder-tools,2023-12-04 22:56:40,release-2023-12-04,60195.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2023-12-06 23:48:17.317457,13.0,1952142.0,,,,,,,,,,,
45,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],28,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2023-11-30 10:56:42.000000,2023-09-08 08:05:44,1354.0,,320.0,48.0,716.0,48.0,277.0,3118.0,100.0,2.0,2.0,109.0,,,1169575.0,3.0,oryd/oathkeeper,2023-07-18 10:23:06,0.40.6,32441.0,https://hub.docker.com/r/oryd/oathkeeper,2023-07-18 10:23:05.234030,34.0,87684877.0,,,,1.0,,,,,,,
46,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,28,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2023-12-07 17:01:49.000000,2023-12-07 15:32:20,1453.0,92.0,94.0,28.0,1544.0,47.0,272.0,2106.0,55.0,19.0,19.0,23.0,,,1567.0,3.0,ghcr.io/cerbos/cerbos,2023-11-30 08:51:39,0.32.0,51716.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,
47,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,dids,DID resolver for Ethereum Addresses with support for key management.,,['dif'],28,True,decentralized-identity/ethr-did-resolver,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,Apache-2.0,2018-03-31 18:40:19,2023-12-05 16:34:12.000000,2023-12-05 16:34:10,448.0,19.0,65.0,29.0,142.0,5.0,47.0,183.0,54.0,1412.0,1412.0,26.0,https://www.npmjs.com/package/ethr-did-resolver,26395.0,26395.0,2.0,,2023-12-05 16:34:39,10.1.0,,,,,,,,,,,,,,,,
48,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,27,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2023-12-07 16:52:33.000000,2023-12-07 13:17:05,13142.0,727.0,412.0,28.0,5930.0,434.0,1263.0,5200.0,100.0,,,198.0,,,92.0,3.0,,2023-11-21 19:09:26,ersion/2023.8.5,2489.0,,,,,,,,,https://charts.goauthentik.io,,,,,,
49,oso,https://github.com/osohq/oso,authorization,Oso is a batteries-included framework for building authorization in your application.,,,27,True,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2023-12-06 15:05:05.000000,2023-11-18 02:39:57,1203.0,3.0,162.0,31.0,1523.0,107.0,100.0,3302.0,100.0,79.0,79.0,65.0,,,34575.0,3.0,,2023-04-03 23:25:23,0.27.0,2652.0,,,,,oso,https://pypi.org/project/oso,34497.0,,,,,,,,
50,jansen,https://github.com/JanssenProject/jans,idp,"An open source enterprise digital identity platform that scales: Janssen is a distribution of standards-based,..",,['linux-foundation'],27,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2023-12-07 17:29:49.000000,2023-12-07 17:10:40,33339.0,488.0,53.0,31.0,4027.0,326.0,2538.0,317.0,100.0,,,110.0,,,259.0,3.0,,2023-11-09 16:05:09,1.0.20,777.0,,,,,,,,,,,,,,,
51,did-resolver,https://github.com/decentralized-identity/did-resolver,dids,Universal did-resolver for javascript environments.,,['dif'],27,True,decentralized-identity/did-resolver,did-resolver,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2023-12-06 22:20:59.000000,2023-12-04 00:37:24,382.0,9.0,40.0,24.0,127.0,3.0,18.0,196.0,24.0,5186.0,5186.0,24.0,https://www.npmjs.com/package/did-resolver,182181.0,182181.0,2.0,,2023-03-08 14:05:37,4.1.0,,,,,,,,,,,,,,,,
