,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
96,polygon-js-sdk,0xPolygonID/js-sdk,polygon-id,,decentralized,,https://github.com/0xPolygonID/js-sdk,https://github.com/0xPolygonID/js-sdk,,2022-11-08 12:11:09,2023-11-09 13:02:03.000000,2023-11-03 15:23:44,387.0,21.0,4.0,122.0,39.0,SDK to work with Polygon ID.,15.0,16,False,19.0,26.0,6.0,20.0,2023-11-01 07:56:14,65.0,,3.0,1.4.0,,65.0,,,,,1.0,,,,,,,,,,,,,,
97,did-core,w3c/did-core,,,standards,['w3c'],https://github.com/w3c/did-core,https://github.com/w3c/did-core,W3C,2019-09-10 07:46:26,2023-04-11 23:37:45.000000,2023-04-11 23:37:45,1309.0,84.0,74.0,487.0,387.0,W3C Decentralized Identifier Specification v1.0.,62.0,15,True,,,31.0,324.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
98,tbd-ssi-service,tbd54566975/ssi-service,,,decentralized,['web5'],https://github.com/TBD54566975/ssi-service,https://github.com/TBD54566975/ssi-service,Apache-2.0,2022-03-11 18:07:18,2023-11-06 00:20:10.000000,2023-10-30 14:36:57,437.0,52.0,11.0,494.0,138.0,The Self Sovereign Identity Service.,21.0,15,True,32.0,3.0,87.0,126.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
99,aries-framework-dotnet,hyperledger/aries-framework-dotnet,aries,,decentralized,['hyperledger'],https://github.com/hyperledger/aries-framework-dotnet,https://github.com/hyperledger/aries-framework-dotnet,Apache-2.0,2019-08-19 18:49:27,2023-10-09 17:38:49.000000,2023-10-09 17:38:48,147.0,69.0,27.0,175.0,82.0,Aries Framework .NET for building multiplatform SSI services.,31.0,15,False,1.0,,42.0,28.0,,44.0,,3.0,,,44.0,,,,,,,,,,,,,,,,,,,
100,presentation-exchange,decentralized-identity/presentation-exchange,,,standards,['dif'],https://github.com/decentralized-identity/presentation-exchange,https://github.com/decentralized-identity/presentation-exchange,Apache-2.0,2020-01-07 23:10:12,2023-10-24 10:04:29.000000,2023-10-05 20:28:43,621.0,31.0,31.0,226.0,75.0,Specification that codifies an inter-related pair of data formats for defining proof presentations (Presentation..,36.0,15,False,8.0,,51.0,170.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
101,anoncreds,hyperledger/anoncreds-spec,,,standards,['hyperledger'],https://github.com/hyperledger/anoncreds-spec,https://github.com/hyperledger/anoncreds-spec,Apache-2.0,2022-02-19 17:05:57,2023-11-09 16:08:49.000000,2023-11-09 16:08:24,466.0,25.0,13.0,131.0,39.0,The specification for AnonCreds verifiable credential exchange.,24.0,15,False,94.0,,24.0,25.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
102,openid4vci,sphereon-opensource/openid4vci,sphereon-ssi,,decentralized,,https://github.com/Sphereon-Opensource/OID4VCI,https://github.com/Sphereon-Opensource/OID4VCI,Apache-2.0,2022-10-09 21:29:30,2023-11-03 22:20:01.000000,2023-11-03 22:19:34,619.0,10.0,6.0,64.0,38.0,OpenID for Verifiable Credential Issuance - client and issuer library.,13.0,15,False,55.0,14.0,2.0,8.0,2023-10-14 23:03:15,,,3.0,0.8.1,,,,,,,,Sphereon-Opensource/OID4VCI,,,,,,,,,,,,,
103,pex,sphereon-opensource/pex,sphereon-ssi,,decentralized,,https://github.com/Sphereon-Opensource/PEX,https://github.com/Sphereon-Opensource/PEX,Apache-2.0,2021-04-12 14:54:14,2023-10-12 21:11:44.000000,2023-10-12 21:11:39,933.0,9.0,7.0,104.0,26.0,A Typescript implementation of the DIF Presentation Exchange specification.,15.0,15,False,21.0,26.0,6.0,20.0,2023-09-28 01:02:52,16.0,2.0,3.0,2.1.2,58.0,16.0,,,,,,,,,,,,,,,,,,,
104,verity-sdk,evernym/verity-sdk,evernym-ssi,,decentralized,,https://github.com/evernym/verity-sdk,https://github.com/evernym/verity-sdk,Apache-2.0,2020-06-18 20:16:43,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,1451.0,38.0,13.0,115.0,47.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repo contains..,36.0,14,False,,,,,,14.0,,3.0,,,14.0,,,,,,,,,,,,,,,,,,,
105,waltid-idpkit,walt-id/waltid-idpkit,waltid-ssikit,,decentralized,,https://github.com/walt-id/waltid-idpkit,https://github.com/walt-id/waltid-idpkit,Apache-2.0,2022-03-21 16:28:15,2023-10-27 18:52:56.044331,2023-10-27 18:47:46,349.0,6.0,2.0,36.0,20.0,OIDC identity provider for SSI & NFTs.,9.0,14,False,24.0,28.0,,36.0,2023-09-07 16:06:04,,35.0,3.0,1.2309071555.0,,,waltid/idpkit,https://hub.docker.com/r/waltid/idpkit,2023-10-27 18:52:56.044331,708.0,-1.0,,,,,,,,,,,,,,
106,appauth-js,openid/appauth-js,,,authentication,['openid'],https://github.com/openid/AppAuth-JS,https://github.com/openid/AppAuth-JS,Apache-2.0,2017-04-03 11:22:40,2022-10-15 14:37:14.000000,2022-07-19 15:07:09,89.0,152.0,37.0,93.0,934.0,JavaScript client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,10.0,13,False,,,30.0,102.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
107,fedfm,fedidcg/FedCM,,,standards,['w3c'],https://github.com/fedidcg/FedCM,https://github.com/fedidcg/FedCM,,2020-03-20 21:58:44,2023-11-08 19:32:15.000000,2023-10-24 15:10:21,669.0,51.0,75.0,253.0,295.0,A privacy preserving identity exchange Web API.,31.0,13,False,9.0,,153.0,101.0,,,,3.0,,,,,,,,-1.0,,,,,,,,,,,,,,
